Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 159	P21-D1	main_driving	1	main_driving	58225	236828	30715	558	55	160	4.33403	31	93.42	36.52	303.71	74.66	2.56	0.02	11.92	79.44	2284	1.62	37.82	37.82	1.67
Recording 354	P45-J1	main_driving	1	main_driving	641	169853	0		0			0													
Recording 354	P45-J1	main_driving	2	main_driving	13144	177917	6642	664	10	180	4.89864	6	74.58	34.66	197.15	61.88	2.93	1.33	8.39	17.58	1944	34.15	35.6	34.88	1.43
Recording 39	P04-M1	main_driving	1	main_driving	6933	226450	761	381	2	361	3.68312	4	134.72	56.2	243.11	90.84	3.7	1.05	7.53	14.8	60	154.38	176.34	103.15	4.75
Recording 39	P04-M1	main_driving	2	main_driving	9006	239003	70	70	1	70	3.58862	1	85.22	85.22	85.22		2.6	2.6	2.6	2.6	2244	7.6	85.22	69.8	2.6
Recording 39	P04-M1	main_driving	3	main_driving	23082	258829	12052	389	31	511	4.01349	32	157.83	30.92	432.84	95.25	4.61	1.07	9.8	147.59	1102	283.22	40.6	38.36	4.43
Recording 210	P27-D1	main_driving	1	main_driving	57264	209504	22461	261	86	331	3.60975	56	131.31	30.14	435.64	94.53	4.16	0.5	16.7	232.81	150	13.63	45.29	37.73	1.44
Recording 22	P03-P1	main_driving	1	main_driving	1393	174486	0		0			0													
Recording 22	P03-P1	main_driving	2	main_driving	2605	182190	0		0			0													
Recording 22	P03-P1	main_driving	3	main_driving	10	193561	0		0			0													
Recording 22	P03-P1	main_driving	4	main_driving	14366	200243	4719	169	28	331	4.6954	12	62.14	31.45	214.95	51.94	1.54	0.67	5.71	18.42	2464	0.45	31.45	31.4	0.7
Recording 403	P33-M1	main_driving	1	main_driving	40	229098	0		0			0													
Recording 403	P33-M1	main_driving	2	main_driving	14546	258351	2935	113	26	70	5.86292	7	68.65	34.41	125.03	33.93	1.79	0.71	4.11	12.5	5610	121.14	93.22	74.03	2.82
Recording 414	P47-M1	main_driving	1	main_driving	13314	254542	4558	570	8	60	3.11228	8	52.64	30.89	82.87	20.33	1.83	0.59	2.72	14.63	2755	259.71	57.12	44.6	2.72
Recording 315	P41-D1	main_driving	1	main_driving	48177	207613	26317	306	86	972	3.75563	54	131.39	30.23	299.64	81.09	3.83	0.62	13.65	206.67	2274	78.18	30.23	30.23	0.62
Recording 217	P23-W1	main_driving	1	main_driving	15899	198983	691	99	7	60	5.79725	2	62.42	56.93	67.91	7.77	1.37	1.29	1.44	2.73	10890	175.39	56.93	52.87	1.29
Recording 217	P23-W1	main_driving	2	main_driving	431	220873	240	80	3	80	5.91932	2	55.68	31.08	80.27	34.79	1.86	1.2	2.52	3.73	190	50.53	80.27	64.72	2.52
Recording 217	P23-W1	main_driving	3	main_driving	11651	229268	4208	234	18	160	5.7182	7	85.62	34.54	210.48	80.14	1.87	0.75	4.49	13.08	611	347.98	35.47	34.43	0.98
Recording 344	P29-P1	main_driving	1	main_driving	571	172401	160	160	1	160	3.91997	0													
Recording 344	P29-P1	main_driving	2	main_driving	591	182369	180	90	2	100	3.40958	0													
Recording 344	P29-P1	main_driving	3	main_driving	852	190905	281	140	2	120	3.60402	2	41.24	34.41	48.06	9.65	1.12	1.01	1.23	2.24	521	269.81	48.06	45.68	1.23
Recording 344	P29-P1	main_driving	4	main_driving	25055	198298	4458	372	12	220	4.22765	9	50.97	34.86	103.44	22.58	1.57	0.91	3.11	14.13	491	9.71	103.44	69.88	1.89
Recording 412	P47-J1	main_driving	1	main_driving	43726	179635	17041	189	90	60	2.97932	46	67.9	30.05	237.51	55.69	1.47	0.22	7.55	67.72	5437	290.45	43.49	43.49	0.63
Recording 126	P17-M1	main_driving	1	main_driving	561	231820	170	85	2	90	4.28103	1	30.92	30.92	30.92		1.15	1.15	1.15	1.15	411	255.29	30.92	30.92	1.15
Recording 126	P17-M1	main_driving	2	main_driving	611	244693	0		0			0													
Recording 126	P17-M1	main_driving	3	main_driving	16360	257296	3907	130	30	80	4.17183	11	116.37	30.66	303.88	89.14	3.44	0.57	11.42	37.86	3416	255.09	31.96	31.96	2.7
Recording 29	P07-J1	main_driving	1	main_driving	13605	176390	3607	225	16	70	4.07966	8	38.56	33.26	45.36	4.49	1.12	0.52	1.87	8.96	3987	172.92	33.26	33.26	0.52
Recording 229	P37-M1	main_driving	1	main_driving	441	228735	80	80	1	80	4.56847	0													
Recording 229	P37-M1	main_driving	2	main_driving	29513	238493	5480	261	21	80	4.70897	18	54.77	30.65	90.84	20.33	1.83	0.88	3.49	33.02	4248	256.13	34.18	33.41	1.9
Recording 64	P06-D1	main_driving	1	main_driving	62393	201888	29584	448	66	140	3.45403	41	128.85	32.76	382.24	85.09	3.31	0.42	8.07	135.74	8706	340.75	44.09	43.35	1.59
Recording 314	P41-M1	main_driving	1	main_driving	13985	255141	5540	222	25	100	4.5987	16	117.69	33.17	365.54	79.76	3.71	0.95	10.8	59.34	2404	175.04	149.67	90.21	4.46
Recording 241	P38-J1	main_driving	1	main_driving	511	149191	240	240	1	240	3.18335	1	32.92	32.92	32.92		1.34	1.34	1.34	1.34	230	245.46	32.92	32.92	1.34
Recording 241	P38-J1	main_driving	2	main_driving	691	158598	220	220	1	220	3.40825	2	36.96	34.13	39.79	4	1.7	1.23	2.18	3.41	341	281.08	34.13	34.13	1.23
Recording 241	P38-J1	main_driving	3	main_driving	541	172694	170	170	1	170	3.48239	0													
Recording 241	P38-J1	main_driving	4	main_driving	9327	179867	1232	246	5	100	3.48105	5	100.62	30.5	213.96	76.88	3.39	1.64	7.92	16.95	1913	192.9	144.78	88.78	2.24
Recording 97	P13-J1	main_driving	1	main_driving	15478	180368	6782	377	18	70	5.02299	15	144.28	30.09	457.13	140.09	5.17	1.26	18.58	77.54	361	276.46	39.85	37.4	2.03
Recording 240	P38-P1	main_driving	1	main_driving	942	180140	501	501	1	501	3.12934	0													
Recording 240	P38-P1	main_driving	2	main_driving	601	187182	351	175	2	180	3.24978	1	32.26	32.26	32.26		2.51	2.51	2.51	2.51	391	231.42	32.26	32.26	2.51
Recording 240	P38-P1	main_driving	3	main_driving	16089	199384	6792	377	18	150	3.36376	11	72.1	33.83	196.98	55.98	2.66	0.69	6.4	29.27	250	260.48	47.9	43.18	2.91
Recording 117	P15-W1	main_driving	1	main_driving	962	203779	100	100	1	100	4.48789	1	114.42	114.42	114.42		2.94	2.94	2.94	2.94	751	29.45	114.42	80.82	2.94
Recording 117	P15-W1	main_driving	2	main_driving	12483	224887	5781	214	27	671	5.56303	13	52.58	31.21	146.39	31.58	1.33	0.52	5.03	17.34	3647	255.35	33.3	32.3	0.83
Recording 146	P12-M1	main_driving	1	main_driving	3206	223162	801	200	4	441	4.18225	2	31.12	30.42	31.82	0.99	0.66	0.66	0.66	1.32	2695	97.44	30.42	30.42	0.66
Recording 146	P12-M1	main_driving	2	main_driving	671	245172	130	65	2	60	3.92452	0													
Recording 146	P12-M1	main_driving	3	main_driving	11621	258706	5560	428	13	190	4.5139	13	164.49	56.63	292.31	71	5.18	0.78	12.22	67.32	3797	147.39	56.63	51.96	0.78
Recording 405	P33-P1	main_driving	1	main_driving	12593	217822	1332	89	15	80	5.66822	3	146.19	95.16	213.31	60.7	2.22	1.26	2.7	6.66	3687	156.94	130.09	64.01	1.26
Recording029	P39-P1	main_driving	1	main_driving	13352	203827	9274	273	34	180	3.79052	24	60.33	34.32	117.55	19.21	1.81	0.61	5.82	43.39	2299	300.39	34.32	34.32	3.45
Recording 42	P04-J1	main_driving	1	main_driving	862	152536	210	210	1	210	4.92849	1	31.9	31.9	31.9		2.23	2.23	2.23	2.23	461	282.94	31.9	31.9	2.23
Recording 42	P04-J1	main_driving	2	main_driving	20477	164298	7053	641	11	110	3.80868	8	124.31	33.37	240.66	61.93	4.15	0.87	7.76	33.16	291	268.55	33.37	33.37	3.47
Recording 19 (2)	P05-J1	main_driving	1	main_driving	18704	169863	9547	477	20	150	3.10455	13	74.18	30.14	176.25	44.5	1.89	0.56	5.89	24.6	9768	276.58	56.86	54.33	1.97
Recording 362	P46-P1	main_driving	1	main_driving	19485	205866	11661	389	30	200	4.34575	9	89.88	35.04	206.88	70.45	3.38	1.42	8.35	30.46	391	282.45	36.63	36.63	2.06
Recording 53	P10-M1	main_driving	1	main_driving	361	223408	0		0			0													
Recording 53	P10-M1	main_driving	2	main_driving	441	233877	0		0			0													
Recording 53	P10-M1	main_driving	3	main_driving	13815	255145	9597	355	27	110	4.27784	17	78.58	30.77	190.61	47.46	2.41	0.58	5.88	40.96	661	249.05	36.87	35.56	2.7
Recording021	P28-J1	main_driving	1	main_driving	15411	189055	9874	429	23	500	3.55444	17	152.27	45.41	327.62	85.93	6.31	1.63	12.71	107.31	4457	187.74	85.26	58.97	1.63
Recording 274	P24-W1	main_driving	1	main_driving	39832	218915	11901	476	25	80	4.50417	14	57.24	34.05	177.18	42.12	2.1	0.86	5.06	29.35	551	252.77	44.86	40.29	0.86
Recording 392	P48-W1	main_driving	1	main_driving	3206	213711	0		0			0													
Recording 392	P48-W1	main_driving	2	main_driving	31798	225031	180	90	2	70	4.59095	0													
Recording 96	P13-P1	main_driving	1	main_driving	551	182526	250	250	1	250	4.50903	0													
Recording 96	P13-P1	main_driving	2	main_driving	491	196792	0		0			0													
Recording 96	P13-P1	main_driving	3	main_driving	14186	213662	5109	301	17	180	4.96332	14	149.47	34.74	345.56	85.93	3.8	0.78	8.13	53.18	2795	262.47	57.48	57.38	3.02
Recording 366	P46-D1	main_driving	1	main_driving	63114	209856	35044	381	92	431	3.95306	41	86.04	30.95	230.81	51.27	2.76	0.55	10.27	113.28	7844	198.35	39.66	39.66	1.3
Recording 353	P45-P1	main_driving	1	main_driving	10499	215273	5169	470	11	581	4.72021	10	76.99	30.88	367.25	102.83	1.65	0.57	3.54	16.46	801	265.26	367.25	171.99	3.54
Recording 11	P02-D1	main_driving	1	main_driving	49089	206698	32519	533	61	1573	3.24168	25	139.75	32.66	686.18	152.57	3.69	0.62	12.43	92.14	2625	61.12	41.2	40.8	1.12
Recording 413	P47-W1	main_driving	1	main_driving	14717	224995	9828	655	15	70	3.01076	13	84.37	30.31	234.51	63.39	3	0.57	12.3	39	1954	301.17	49.84	47.43	2.01
Recording 134	P20-D1	main_driving	1	main_driving	72847	210425	35154	378	93	250	4.21373	63	162.85	30.19	395.63	111.38	5.1	0.59	16.69	321.35	1673	217.89	32.23	31.15	0.86
Recording 208	P27-W1	main_driving	1	main_driving	1443	271306	932	311	3	210	3.42903	1	56.09	56.09	56.09		2.99	2.99	2.99	2.99	1312	276.06	56.09	48.14	2.99
Recording 208	P27-W1	main_driving	2	main_driving	20537	290550	8235	412	20	100	4.17425	17	126	39.22	286.38	76.87	3.64	0.77	10.18	61.96	331	106.83	128.98	88.02	2.9
Recording 116	P15-J1	main_driving	1	main_driving	10	155483	0		0			0													
Recording 116	P15-J1	main_driving	2	main_driving	1142	165031	541	90	6	70	5.70375	3	60.38	34.43	107.2	40.62	1.84	1.37	2.74	5.51	220	279.26	107.2	70.09	2.74
Recording 116	P15-J1	main_driving	3	main_driving	26969	179457	8064	158	51	110	6.01816	18	83.81	30.05	167.81	48.77	2.34	0.62	7.49	42.04	6442	324.84	56.06	48.84	0.67
Recording 180	P19-W1	main_driving	1	main_driving	601	194040	140	140	1	140	2.60323	0													
Recording 180	P19-W1	main_driving	2	main_driving	19956	228853	4498	141	32	60	3.65439	8	112.04	31.44	183.12	49.97	3.18	1.13	6.93	25.42	2485	327.19	31.44	31.44	1.13
Recording 219	P23-D1	main_driving	1	main_driving	61792	208857	34472	627	55	611	4.41002	33	116.23	30.5	393.22	77.62	3.68	0.59	14.8	121.45	3436	200.25	151.19	103.71	3.65
Recording 239	P38-D1	main_driving	1	main_driving	42938	208820	18894	484	39	3456	3.21701	14	242.59	44.98	572.29	174.79	6.42	0.37	25.82	89.93	5891	245.93	572.29	257.51	25.82
Recording 393	P48-M1	main_driving	1	main_driving	100	234121	0		0			0													
Recording 393	P48-M1	main_driving	2	main_driving	36346	240633	220	73	3	80	4.00772	0													
Recording 281	P42-W1	main_driving	1	main_driving	50	199972	0		0			0													
Recording 281	P42-W1	main_driving	2	main_driving	14075	206934	1713	343	5	90	5.04933	3	35.13	30.66	39.52	4.43	1.13	0.82	1.35	3.39	3316	59.23	30.66	30.66	0.82
Recording 281	P42-W1	main_driving	3	main_driving	12002	230837	1072	107	10	60	5.24859	2	59.51	59.5	59.53	0.03	1.86	1.46	2.27	3.73	972	236.37	59.5	49.34	2.27
Recording 262	P22-P1	main_driving	1	main_driving	20200	215586	9868	176	56	90	4.06316	30	106.75	34.18	367.43	86.65	1.98	0.37	5.97	59.44	573	293.59	64.78	40.82	2.81
Recording 6 (3)	P50-D1	main_driving	1	main_driving	58225	207611	26829	426	63	892	4.1471	52	130.78	31.48	394.99	88.91	4.3	0.67	16.31	223.65	761	208.97	65.21	59.73	0.98
Recording 52	P10-W1	main_driving	1	main_driving	12322	227751	7914	440	18	110	4.19254	8	66.83	32.64	120.36	32.78	2.02	0.67	3.75	16.14	341	127.83	55.6	46.93	3.54
Recording 186	P25-D1	main_driving	1	main_driving	66641	222084	23102	413	56	1352	3.04641	30	131.24	30.33	397	106.17	4.5	0.67	19.65	135.03	3046	187.78	71.35	54.69	1.82
Recording 293	P40-W1	main_driving	1	main_driving	11541	225690	2294	382	6	100	3.52817	6	57	31.48	109.02	30	2.49	1.51	3.46	14.96	491	55.71	31.48	31.48	2.17
Recording 406	P33-J1	main_driving	1	main_driving	8976	179563	2565	112	23	70	5.76963	7	83.71	51.01	121.33	28.18	1.32	0.54	1.89	9.24	711	313.44	51.01	46.38	1.05
Recording 105	P14-P1	main_driving	1	main_driving	41766	197224	11441	381	30	140	4.51862	18	98.96	30.55	297.73	81.21	3.16	1.15	7.12	56.83	5370	308.33	42.07	42.07	1.76
Recording 326	P32-P1	main_driving	1	main_driving	13104	209220	7063	336	21	70	3.95078	17	62.09	32.84	105.19	23.61	2	0.79	3.11	34.03	1352	27.2	80.93	61.37	2.32
Recording028	P39-D1	main_driving	1	main_driving	57845	209285	17310	298	58	300	3.34475	39	86.66	33.7	320.86	60.67	3.78	0.73	23.03	147.44	100	46.62	41.78	41.78	0.89
Recording 84	P11-J1	main_driving	1	main_driving	20657	182944	5991	146	41	120	3.68785	22	66.59	30.44	176.39	42.44	2.14	0.54	5.44	47.08	852	280.24	51.76	40.03	3.3
Recording 175	P19-M1	main_driving	1	main_driving	2925	233580	431	86	5	60	2.84944	0													
Recording 175	P19-M1	main_driving	2	main_driving	2024	258566	531	106	5	80	2.80844	3	166.3	35.69	396.9	200.29	6.28	1.41	16.01	18.84	661	178.62	396.9	236.12	16.01
Recording 175	P19-M1	main_driving	3	main_driving	9127	266490	2224	139	16	281	3.90625	5	61.63	32	114.77	33.64	1.21	0.79	1.58	6.03	501	6.62	64.58	46.13	1.58
Recording 20 (2)	P05-W1	main_driving	1	main_driving	521	188345	0		0			1	54.89	54.89	54.89		4.41	4.41	4.41	4.41	230	237.22	54.89	42.21	4.41
Recording 20 (2)	P05-W1	main_driving	2	main_driving	15288	220753	7694	405	19	140	3.46077	15	62.48	30.51	207.11	50.8	2.21	0.53	5.09	33.18	511	256.72	32.45	31.71	2.27
Recording 250	P16-M1	main_driving	1	main_driving	12202	259124	5650	217	26	80	4.67885	15	71.11	33.56	150.77	39.77	2.13	0.76	5.2	31.91	421	277.2	41.21	37.27	2.46
Recording 168	P18-P1	main_driving	1	main_driving	922	199158	0		0			0													
Recording 168	P18-P1	main_driving	2	main_driving	441	206652	0		0			0													
Recording 168	P18-P1	main_driving	3	main_driving	16370	221880	7323	262	28	60	4.12949	16	104.33	43.34	294.74	73.95	3.02	1.09	12.48	48.28	801	94.29	90.88	66.92	2.2
Recording 169	P18-J1	main_driving	1	main_driving	3576	166142	110	110	1	110	5.24895	0													
Recording 169	P18-J1	main_driving	2	main_driving	14717	174908	5911	281	21	200	4.30003	13	102.74	35.79	248.7	58.07	3.31	1.19	6.87	43.02	411	282.04	39.36	39.36	1.78
Recording 336	P43-J1	main_driving	1	main_driving	17842	177651	9577	416	23	431	5.01556	19	124.84	33.29	344.9	90.25	3.86	1.25	10.87	73.3	2134	240.7	33.29	32.5	3.57
Recording 136	P20-J1	main_driving	1	main_driving	14867	188703	9157	295	31	240	5.41492	25	116.36	31.89	207.48	47.8	3.38	0.53	6.29	84.59	811	208.81	33.56	33.56	2.24
Recording 355	P45-W1	main_driving	1	main_driving	2725	199002	190	95	2	80	4.27473	0													
Recording 355	P45-W1	main_driving	2	main_driving	601	221363	271	135	2	130	4.47045	2	47.57	44.2	50.95	4.77	1.98	1.77	2.18	3.96	280	281.35	50.95	41.25	2.18
Recording 355	P45-W1	main_driving	3	main_driving	8626	228416	2424	346	7	1142	4.64084	6	112.55	70.62	175.25	38.49	3.19	1.38	6.01	19.14	4408	104.19	105.83	75.01	2.01
Recording 23	P03-J1	main_driving	1	main_driving	23062	137765	140	140	1	140	4.04211	0													
Recording 23	P03-J1	main_driving	2	main_driving	11250	169302	5360	315	17	200	4.76401	11	107.12	37.02	231.16	72.64	2.23	0.61	6.68	24.58	4178	266.37	55.43	40.82	1.42
Recording 63	P06-M1	main_driving	1	main_driving	16560	219554	2304	384	6	200	3.32404	6	145.64	45.9	348.52	129.39	4.33	1.22	9.96	25.99	551	187.36	348.52	198.58	9.96
Recording 63	P06-M1	main_driving	2	main_driving	24825	246823	6301	180	35	140	3.62907	21	95.45	30.75	438.43	105.64	2.92	0.51	14.17	61.33	4608	269.96	31.59	31.59	1.91
Recording 230	P37-D1	main_driving	1	main_driving	54268	209780	25186	840	30	150	3.90746	20	116.35	30.58	268.17	72.32	3.62	0.64	8.25	72.35	1132	231.83	56.41	53.83	1.49
Recording 22 (2)	P05-M2	main_driving	1	main_driving	13725	252288	5700	380	15	90	3.50225	12	113.11	33.17	389.65	102.25	3.73	0.8	17.49	44.72	5680	15.59	59.53	42.31	1.71
Recording 383	P44-D1	main_driving	1	main_driving	67392	208865	38710	425	91	100	4.14303	66	118.89	30.92	310.75	79.8	3.66	0.55	13.29	241.62	150	247.95	35.26	35.26	2.88
Recording 282	P42-M1	main_driving	1	main_driving	441	250891	0		0			0													
Recording 282	P42-M1	main_driving	2	main_driving	25897	257974	8355	178	47	60	4.92008	20	140.04	30.54	329.81	92.7	4.26	0.9	15.99	85.12	431	260.98	85.65	66.97	2.51
Recording 198	P26-J1	main_driving	1	main_driving	12543	266358	962	321	3	220	4.32098	6	81.53	35.42	182.12	62.47	2.29	0.78	5.7	13.74	7013	319.12	35.42	35.38	2.56
Recording 272	P24-P1	main_driving	1	main_driving	571	186282	0		0			0													
Recording 272	P24-P1	main_driving	2	main_driving	5520	198895	291	145	2	70	4.85131	1	30.59	30.59	30.59		1	1	1	1	5249	249.09	30.59	30.59	1
Recording 272	P24-P1	main_driving	3	main_driving	14747	210857	7574	399	19	190	4.66792	15	61.17	33.29	124.96	29.22	2	0.56	3.41	29.95	1623	73.5	37.74	37.74	0.56
Recording 292	P40-J1	main_driving	1	main_driving	19595	178242	7784	599	13	110	3.3886	13	82.3	30.61	141.22	39	3.44	0.52	5.83	44.78	4338	294.53	35.18	35.18	3.45
Recording 261	P22-D1	main_driving	1	main_driving	50041	215831	31747	305	104	922	3.78859	73	65.15	30.13	327.59	49.22	1.7	0.21	6.75	123.86	140	128.82	31.78	31.78	0.7
Recording 249	P16-W1	main_driving	1	main_driving	16430	238154	6903	187	37	90	4.51307	14	71.84	30.83	228.96	59.94	1.99	0.71	5.94	27.92	2845	144.98	45.99	42.03	0.95
