Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 73	P09-J1	A	1	scenevideo	30000	144700	24194	310	78	311	5.92011	51	109.89	30.46	488.98	79.38	3.51	0.53	20.77	179.23	318	1.45	50.18	40.94	2.47
Recording 73	P09-J1	B	1	scenevideo	13233	174700	9908	367	27	170	5.72734	20	116.78	30.03	443.99	115.83	4.58	0.6	25.6	91.62	492	218.79	113.32	85.39	4.05
Recording 73	P09-J1	C	1	scenevideo	483	187933	120	60	2	60	5.51171	2	58.59	37.63	79.55	29.64	2.56	2.31	2.8	5.12	263	74.73	79.55	57.12	2.8
Recording 147	P12-D1	A	1	scenevideo	30000	210215	24404	642	38	2855	3.9227	26	142.13	31.64	443.36	101.57	4.22	0.71	13.92	109.59	3533	17.93	51.66	51.66	3.03
Recording 147	P12-D1	B	1	scenevideo	15700	240215	12693	635	20	311	4.44536	16	106.25	34.22	386.58	105.63	3.33	0.92	27	53.28	1013	95.5	65.61	63.84	1.71
Recording 147	P12-D1	C	1	scenevideo	10463	255915	8025	334	24	311	3.85272	21	182.15	34.43	301.13	66.49	5.54	0.82	12.05	116.3	851	147.78	140.25	85.93	3.71
Recording 324	P32-M1	A	1	scenevideo	30000	247936	24464	521	47	180	3.95861	27	118.04	32.18	445.66	110.15	2.66	0.63	8.17	71.93	955	180.21	239.42	140.83	8.17
Recording 324	P32-M1	B	1	scenevideo	13684	277936	8726	336	26	130	3.87205	15	137.63	47.26	473.72	123.37	5.21	1.48	23.18	78.12	3584	133.56	120.26	95.41	4.38
Recording 324	P32-M1	C	1	scenevideo	3450	291620	2164	216	10	200	3.91594	8	87.68	30.63	244.42	74.29	3.01	0.66	8.12	24.05	860	160.32	147.22	108.48	4.87
Recording 8 (2)	P08-M1	A	1	scenevideo	30000	223575	23793	567	42	1082	4.96947	29	163.11	32.72	428.19	141.51	5.36	0.62	13.66	155.49	101	31.26	93.02	68.24	3.25
Recording 8 (2)	P08-M1	B	1	scenevideo	14367	253575	11341	515	22	220	4.91727	20	113.37	33.47	338.85	81.69	3.39	0.71	10.37	67.84	1078	67.53	47.27	40.51	1.29
Recording 8 (2)	P08-M1	C	1	scenevideo	5750	267942	4558	326	14	541	4.32514	12	125.28	37.49	282.54	76.92	3.69	1.1	8.85	44.24	596	269.01	107.53	70.87	4.26
Recording 323	P32-W1	A	1	scenevideo	30000	193531	23503	398	59	250	3.58876	44	140.63	31.95	347.11	88.67	4.52	0.7	21.34	198.84	36	285.9	110.06	79.28	3.84
Recording 323	P32-W1	B	1	scenevideo	17683	223531	13534	366	37	140	3.77742	25	137.08	30.68	467.69	113.1	5.22	1.15	20.94	130.45	431	2.24	117.44	81.58	3.41
Recording 323	P32-W1	C	1	scenevideo	8535	241214	5029	359	14	220	3.60186	9	117.66	32.77	268.25	80.3	3.84	0.91	7.7	34.54	1031	187.07	268.25	183.33	7.7
Recording 17 (2)	P05-D1	A	1	scenevideo	30000	223139	20597	528	39	3036	2.76958	25	130.94	30.97	365.76	108.64	4.17	0.52	11.06	104.16	3993	334.24	56.66	42.66	4.54
Recording 17 (2)	P05-D1	B	1	scenevideo	13784	253139	10419	1042	10	170	3.22526	7	132.46	34.39	437.08	152.02	6.58	1.37	29.55	46.09	2134	9.72	239.39	143.45	5.84
Recording 17 (2)	P05-D1	C	1	scenevideo	13701	266923	9357	292	32	120	2.92447	21	153.98	32.17	312.24	84.98	5.36	0.73	20.51	112.63	1143	229.46	247.9	170.9	10.79
Recording 307	P41-P0	A	1	scenevideo	30000	90600	14356	138	104	130	3.91247	33	75.44	31.26	180.15	37.77	1.82	0.58	4.51	59.93	145	109.26	51.78	43.83	0.92
Recording 294	P40-M1	A	1	scenevideo	30000	225269	26027	964	27	2404	3.57212	22	128.74	30.59	466.13	136.13	3.96	0.55	15.86	87.06	908	47.28	57.12	47.01	1.57
Recording 294	P40-M1	B	1	scenevideo	11450	255269	8706	967	9	1062	3.44215	5	258.09	30.8	659.52	250.2	8.69	0.56	23.45	43.47	31	160.66	323.59	224.41	6.42
Recording 294	P40-M1	C	1	scenevideo	2254	266719	391	195	2	180	3.28179	2	174.8	141.74	207.87	46.76	4.99	3.9	6.07	9.97	994	212.33	141.74	93.22	3.9
Recording031	P39-W1	A	1	fullstream	30000	197732	16210	416	39	120	4.05082	24	99.7	30.91	232.41	68.13	3.9	0.6	9.32	93.6	117	309.37	31.25	31.25	1.37
Recording031	P39-W1	B	1	fullstream	14650	227732	10833	602	18	1279	3.90264	9	132.82	33.57	442.09	162.18	7.67	1.23	28.29	69.05	239	79.96	33.57	33.57	1.53
Recording031	P39-W1	C	1	fullstream	5062	242382	1939	194	10	420	3.98064	4	58.77	33.66	100.05	29.59	3.85	2.16	5.62	15.39	40	104.9	59.67	41.51	5.35
Recording 81	P11-M0	A	1	scenevideo	30000	86171	24414	349	70	180	4.04425	50	164.9	31.32	462.38	139.07	4.77	0.59	16.66	238.66	681	106.1	114.37	84.85	0.83
Recording 408	P47-J0	A	1	scenevideo	30000	93797	26558	354	75	321	3.22807	72	136.48	31.7	381.49	91.32	3.9	0.53	16.03	280.76	168	182.12	139.56	99.94	3.19
Recording 14 (2)	P05-J0	A	1	scenevideo	30000	76952	21188	214	99	170	2.93202	67	174.45	31.96	526.93	104.51	5.2	0.77	19.27	348.72	16	172.54	368.14	194.51	8.97
Recording 107	P14-W1	A	1	scenevideo	30000	194642	21489	448	48	130	4.83792	25	88.21	31.04	255.53	61.67	2.5	0.71	4.75	62.5	227	268.85	37.32	37.32	2.36
Recording 107	P14-W1	B	1	scenevideo	15517	224642	12322	616	20	90	4.81139	13	127.72	30.96	488.59	125.74	5.06	0.85	29.85	65.79	461	288.14	32.11	32.11	2.81
Recording 107	P14-W1	C	1	scenevideo	3398	240159	2454	614	4	801	4.57699	3	87.06	32.81	183.34	83.6	3.27	1.67	6.11	9.82	12	204.15	45.04	38.39	2.04
Recording 302	P31-J1	A	1	scenevideo	30000	145135	20998	179	117	311	5.32974	72	66.3	30.03	222.53	51.53	1.77	0.55	5.97	127.72	1366	114.55	215.97	94.15	3.96
Recording 302	P31-J1	B	1	scenevideo	18517	175135	11461	249	46	120	4.42572	24	96.43	30.24	464.51	98.07	3.6	0.77	22.66	86.36	168	84.32	87.23	71.88	3.23
Recording 302	P31-J1	C	1	scenevideo	2888	193652	1783	223	8	70	3.98865	5	196.9	34.79	462	166.31	7.36	1.41	20.67	36.81	75	86.93	34.79	34.79	1.41
Recording 108	P15-B0	A	1	scenevideo	30000	250109	20447	444	46	401	4.31434	27	149.26	32	406.33	120.1	5.25	0.78	25.19	141.87	2099	9.81	85.14	62.46	2.31
Recording 196	P26-M0	A	1	scenevideo	30000	85607	27920	901	31	160	5.14838	30	155.15	30.56	393.62	122.71	4.56	0.54	12.27	136.7	68	163.47	41.52	39.76	1.72
Recording 17	P03-P0	A	1	scenevideo	30000	86505	5350	114	47	160	3.67818	6	126.37	34.78	385.34	136.36	2.44	0.87	7.4	14.62	2390	175.89	168.94	118.36	2
Recording 44	P10-B0	A	1	scenevideo	30000	292721	21559	459	47	130	3.09867	22	76.01	32.89	187.5	47.55	2.1	0.69	7.57	46.25	2725	142.05	39.88	35	1.27
Recording 170	P19-B0	A	1	scenevideo	30000	264102	22711	366	62	90	2.90661	39	141.41	30.39	540.65	141	3.96	0.54	18.53	154.36	1071	157.18	51.2	39.03	0.67
Recording 70	P09-M1	A	1	scenevideo	30000	223495	25777	548	47	751	5.58336	40	136.32	30.77	424.51	115.69	4.95	0.75	19.62	198.09	1720	312.34	31.04	31.04	0.91
Recording025	P39-J0	A	1	fullstream	30000	92059	23166	322	72	340	5.21164	62	165.35	31.25	468.93	121.27	6.8	0.95	20.75	421.32	117	82.18	97.23	56.33	3.7
Recording 200	P26-M1	A	1	scenevideo	30000	232477	23763	1828	13	100	4.89637	9	134.35	30.23	357.07	140.18	5	0.84	13.67	44.97	1697	81.14	58.87	57.77	1.18
Recording 200	P26-M1	B	1	scenevideo	10383	262477	5430	418	13	351	4.22089	7	114.12	30.81	381.6	122.44	5.32	0.92	24.83	37.21	2824	299.42	86.81	67.2	4.19
Recording 200	P26-M1	C	1	scenevideo	1835	272860	932	186	5	130	4.052	2	265.52	121.79	409.26	203.27	17.25	3.88	30.61	34.49	545	41.37	409.26	270.02	30.61
Recording 9	P08-D1	A	1	scenevideo	30000	219580	25075	964	26	4288	4.02105	15	81.29	30.81	186.35	49.42	2.14	0.51	5.98	32.05	4682	210.26	141.56	103.35	1.33
Recording 9	P08-D1	B	1	scenevideo	15367	249580	11601	352	33	100	4.82552	27	135.87	32.74	363.16	115.49	5.75	1.22	17.62	155.15	379	285.7	117.3	76.73	3.26
Recording 9	P08-D1	C	1	scenevideo	8930	264947	6782	283	24	351	4.28044	21	145.61	51.46	345.99	73.68	4.38	1.85	9.06	92.07	199	278.61	160.97	94.25	4.9
Recording 242	P16-B0	A	1	scenevideo	30000	254497	21479	316	68	381	4.06446	41	160.86	31.19	429.49	121.66	5.97	0.74	19.01	244.76	157	11.85	304.37	174.12	10.16
Recording 227	P37-J1	A	1	scenevideo	30000	152610	20177	222	91	200	4.74739	55	130.52	31.66	378.75	89.38	3.66	0.69	12.08	201.32	1243	133.52	40.65	40.65	1.34
Recording 227	P37-J1	B	1	scenevideo	14342	182610	10108	230	44	60	4.78983	27	133.21	30.08	440.26	129.74	4.44	0.53	21.4	119.86	616	159.17	35.66	35.66	2.14
Recording 227	P37-J1	C	1	scenevideo	2720	196952	1483	247	6	471	4.44738	3	182.62	111.23	236.99	64.58	5.2	3.15	6.94	15.61	831	82.77	199.64	137.31	5.52
Recording 3	P02-J0	A	1	scenevideo	30000	455016	23843	251	95	341	3.37954	74	120.36	32.08	432.33	92.33	3.94	0.78	18.68	291.55	430	91.42	42.43	38.23	1.2
Recording 205	P27-M0	A	1	scenevideo	30000	83517	21389	271	79	301	5.70461	51	124.63	30.09	534.17	121.56	3.87	0.57	13.87	197.36	2801	104.8	180.42	98.06	8.12
Recording 10 (3)	P50-M1	A	1	scenevideo	30000	225161	14226	148	96	150	4.80243	40	75.69	31.98	346.13	56.62	1.84	0.35	12.7	73.45	485	147.4	47.17	45.7	1.22
Recording 10 (3)	P50-M1	B	1	scenevideo	14683	255161	9597	291	33	190	4.41664	21	108.18	32.35	289.17	67.25	3.58	1.02	13.89	75.19	1231	70.1	190.95	139.22	3.76
Recording 10 (3)	P50-M1	C	1	scenevideo	4514	269844	2495	227	11	471	4.73821	10	69.76	37.41	98.12	20.91	2.02	1.12	3.13	20.25	92	226.37	79.06	61.33	2.21
Recording 245	P16-W0	A	1	scenevideo	30000	80684	12953	209	62	260	5.44997	24	86.39	30.07	337.96	82.1	2	0.63	6.15	47.93	3899	169.65	41.89	41.89	0.85
Recording 283	P42-D1	A	1	scenevideo	30000	209416	24825	801	31	5911	4.29727	17	184.87	33.44	394.65	104.29	6.64	0.91	19.82	112.8	511	135.22	52.09	46.86	0.91
Recording 283	P42-D1	B	1	scenevideo	13550	239416	9668	691	14	290	5.30061	8	162.05	35.32	471.05	173.86	5.41	1.05	27.15	43.32	1787	278.55	35.32	35.32	2.99
Recording 110	P15-J0	A	1	scenevideo	30000	86083	19365	184	105	90	5.53784	58	78.22	30.08	268.06	56.68	2.05	0.52	8.53	119.09	40	311.47	48.43	43.96	1.4
Recording 174	P19-W0	A	1	scenevideo	30000	92389	20477	330	62	60	2.78211	40	72.7	30.27	289.65	69.35	2.39	0.66	11.75	95.79	94	275.06	42.3	41.52	1.33
Recording 112	P15-M0	A	1	scenevideo	30000	91116	14085	198	71	331	5.39089	25	218.73	31.78	2481.9	497.59	5.57	0.52	47.75	139.23	163	186.08	31.78	31.78	0.56
Recording 98	P14-B0	A	1	scenevideo	30000	286190	15057	376	40	60	3.84481	16	95.49	30.07	327.7	72.17	2.78	0.51	6.13	44.41	2379	237.95	33.53	33.53	0.77
Recording015	P28-P0	A	1	fullstream	30000	80079	26924	441	61	340	4.20306	60	104.9	30.77	394.06	88.98	4.47	0.82	17.49	268.11	44	66.97	33.81	33.03	1.79
Recording 7 (3)	P50-P1	A	1	scenevideo	30000	180057	19004	190	100	60	4.43094	60	91.98	30.71	284.51	63.77	2.54	0.5	9.13	152.12	125	23.18	108.58	76.39	4.94
Recording 7 (3)	P50-P1	B	1	scenevideo	17550	210057	12913	369	35	311	4.55717	25	110.61	36.06	449.56	86.58	3.49	0.77	18.03	87.28	29	280.91	142.09	96.48	3.91
Recording 7 (3)	P50-P1	C	1	scenevideo	3415	227607	1302	130	10	80	4.95146	6	102.96	33.06	183.61	66.88	2.84	0.59	5.29	17.04	1172	167.96	174.82	111.29	4.37
Recording 201	P26-D1	A	1	scenevideo	30000	209295	23272	646	36	1212	3.31692	29	168.49	30.52	516.23	131.61	6.54	0.97	20.5	189.71	1934	44.38	379.7	176.88	1.56
Recording 201	P26-D1	B	1	scenevideo	11427	239295	9167	1019	9	3717	3.99408	9	163.49	35.68	404.84	114.91	9.06	1.25	30.2	81.56	5305	231.08	35.68	35.68	1.25
Recording 375	P35-W1	A	1	scenevideo	30000	191740	24875	408	61	100	3.53024	46	68.87	31.12	213.91	42.7	1.99	0.48	6.49	91.7	101	229.61	213.91	127.23	6.49
Recording 375	P35-W1	B	1	scenevideo	13393	221740	9207	256	36	180	4.01656	22	74.3	30.04	459.5	92.38	3.06	0.58	31.2	67.25	416	24.16	34.38	34.38	0.98
Recording 375	P35-W1	C	1	scenevideo	3518	235133	2024	202	10	240	3.68866	6	80.31	35.47	172.21	65.21	2.42	0.74	6.3	14.53	126	33.62	37.88	35.13	1.61
Recording 4 (3)	P50-W0	A	1	scenevideo	30000	84587	25897	498	52	260	5.01455	42	152.61	30.81	508.43	133.18	4.77	0.69	25.18	200.19	315	38.75	45.77	43.2	0.96
Recording 33	P07-P1	A	1	scenevideo	30000	170341	17632	186	95	70	3.51376	55	102.57	32.69	337.4	63.91	2.73	0.58	9.6	150.32	806	14.91	140.8	92.4	2.99
Recording 33	P07-P1	B	1	scenevideo	12700	200341	8526	533	16	180	3.89874	4	40.36	32.76	45.45	5.45	1.02	0.54	1.7	4.1	169	32.46	45.45	37.83	1.7
Recording 33	P07-P1	C	1	scenevideo	5091	213041	2224	278	8	100	3.83038	3	114.3	74.65	175.83	54.02	3.13	2.06	5	9.39	222	321.89	74.65	55.34	2.06
Recording 233	P38-W0	A	1	scenevideo	30000	87314	25226	485	52	240	4.39229	34	126.45	33.84	513.9	99.52	3.19	0.78	9.47	108.6	242	267.15	50.41	47.94	2.29
Recording 102	P14-W0	A	1	scenevideo	30000	116545	24434	627	39	60	4.63048	23	108.7	31.27	392.99	102.67	3.55	0.79	11.79	81.65	308	58.55	44.03	37.65	1.76
Recording 301	P31-P1	A	1	scenevideo	30000	171732	21348	225	95	270	4.42491	54	96.25	30.14	420.28	83.33	2.98	0.52	19.76	160.69	229	326.69	33.36	33.36	0.52
Recording 301	P31-P1	B	1	scenevideo	22917	201732	15688	275	57	90	4.25488	36	109.65	30.46	324.15	76.09	3.71	0.52	15.73	133.61	313	81.09	33.78	33.78	0.78
Recording 301	P31-P1	C	1	scenevideo	2910	224649	1302	186	7	230	3.87428	6	170.97	101.37	338.04	89.03	6.61	3.03	16.26	39.64	227	253.03	113.31	67.63	3.89
Recording 154	P21-M0	A	1	scenevideo	30000	89658	24013	480	50	1713	5.14929	35	126.26	30.01	462.55	102.38	3.62	1.04	14.95	126.75	1752	341.49	75.17	62.28	3.15
Recording 231	P37-P1	A	1	scenevideo	30000	154198	18122	149	122	70	4.35527	55	78.53	30.57	375.34	53.65	1.43	0.32	5.2	78.91	211	257.37	89.77	89.77	0.56
Recording 231	P37-P1	B	1	scenevideo	8576	184198	3516	167	21	120	4.56414	6	77.81	46.67	95.55	17.98	1.44	0.7	2.2	8.61	446	150.58	89.42	66.19	1.33
Recording 231	P37-P1	C	1	scenevideo	845	192773	260	87	3	120	4.74925	2	89.93	33.6	146.27	79.67	2.39	1.06	3.71	4.78	706	70.03	33.6	33.6	1.06
Recording 303	P31-W1	A	1	scenevideo	30000	192738	19685	161	122	631	5.08797	69	55.74	30.39	228.49	30.8	1.38	0.26	9.64	95.45	34	72.81	30.93	30.93	0.71
Recording 303	P31-W1	B	1	scenevideo	17700	222738	11701	249	47	80	4.36576	27	100.2	30.01	316.2	81.85	3.85	1.31	11.68	104.06	389	348.12	66.01	60.78	1.54
Recording 303	P31-W1	C	1	scenevideo	4862	240438	2925	209	14	220	3.85295	9	156.02	36.31	327.34	105.34	6.34	0.89	19.3	57.04	101	233.24	200.54	105.07	9.98
Recording 257	P22-P0	A	1	scenevideo	30000	83965	27480	466	59	441	4.27902	58	87.48	30.35	330.98	73.73	2.51	0.56	10.33	145.59	595	353.61	35.52	35.52	0.6
Recording 267	P24-W0	A	1	scenevideo	30000	89606	24054	330	73	90	4.98531	49	71.47	30.36	242.18	45.83	2.11	0.5	8.84	103.57	240	65.74	35.9	35.9	0.91
Recording 218	P23-M1	A	1	scenevideo	30000	225276	25637	827	31	811	6.39086	25	150.93	32.4	688.85	165.44	3.27	1.1	8.45	81.7	933	294.04	62.87	43.47	1.77
Recording 218	P23-M1	B	1	scenevideo	13600	255276	8485	274	31	70	6.219	17	124.13	30.72	454.71	112.38	4.25	0.98	21.75	72.22	186	248.84	280.27	167.27	8.39
Recording 218	P23-M1	C	1	scenevideo	1688	268876	1132	283	4	571	5.70535	4	111.59	30.54	160.43	60.28	2.75	1.38	4.38	10.99	161	284.06	154.4	115.32	2.33
Recording 258	P22-J1	A	1	scenevideo	30000	147114	26368	326	81	70	4.82661	80	133.81	30.44	589.51	99.43	4.4	0.48	45.74	352.15	251	177.68	100.5	64.88	2.87
Recording 258	P22-J1	B	1	scenevideo	14146	177114	11030	235	47	170	4.45391	28	117.49	32	572.6	141.8	4.37	0.82	29.83	122.39	65	168.45	32	31.59	1.74
Recording 258	P22-J1	C	1	scenevideo	5851	191259	4117	229	18	471	3.93588	10	107.44	39.67	185.76	50.22	3.15	0.58	7.35	31.51	506	162.6	83.75	68.14	3.12
Recording 145	P12-W1	A	1	scenevideo	30000	199713	24044	572	42	60	4.43741	33	135.19	31.28	525.26	141.19	4.26	0.84	16.38	140.56	442	81.03	42.11	35.9	3.79
Recording 145	P12-W1	B	1	scenevideo	14304	229713	8996	428	21	801	4.76779	15	219.59	36.09	635.84	217.56	10.76	0.66	38.83	161.47	205	291.9	63.44	60.89	3.58
Recording 145	P12-W1	C	1	scenevideo	2782	244017	932	186	5	511	4.49781	3	183.37	35.17	432.2	216.8	7.1	1.84	17.3	21.3	1039	127.24	82.75	57.7	2.17
Recording040	P34-J1	A	1	fullstream	30000	143040	20168	232	87	140	6.89184	49	59.93	30.29	306.38	52.5	2.28	0.51	9.35	111.77	583	72.79	30.29	30.29	0.69
Recording 188	P25-J1	A	1	scenevideo	30000	146284	14426	140	103	210	4.25737	42	119.42	32.34	396.62	96.08	3.29	0.56	9.26	138.35	405	139.11	101.62	81.71	1.1
Recording 188	P25-J1	B	1	scenevideo	14233	176284	7714	184	42	80	3.77713	16	104.19	31.99	285.27	83.25	2.56	0.28	7.22	41	68	81.48	175.21	96.14	5.15
Recording 188	P25-J1	C	1	scenevideo	2105	190517	802	100	8	110	3.64965	4	168.32	58.69	312.08	121.59	5.04	0.58	9.49	20.15	1	103.04	58.69	43.4	0.58
Recording 348	P45-P0	A	1	scenevideo	30000	92415	23823	234	102	170	4.72787	76	82.17	30.47	421.56	66.79	2.39	0.58	9.8	181.45	183	161.21	84.73	69.74	2.71
Recording 297	P31-P0	A	1	scenevideo	30000	81714	4618	86	54	60	4.49884	12	74.13	33.5	330.65	82.2	1.66	0.77	6.02	19.88	1669	280.95	64.24	46.31	1.67
Recording 13 (2)	P05-P0	A	1	scenevideo	30000	85228	26618	341	78	381	2.92958	72	96.75	30.81	439.24	78.02	3.24	0.59	16.57	233.2	678	346.4	40.83	36.3	1.77
Recording 199	P26-W1	A	1	scenevideo	30000	195638	23302	666	35	1573	4.51651	24	78.76	30.11	309.1	70.25	2.08	1.04	6.76	50.03	668	78.66	309.1	141.14	1.29
Recording 199	P26-W1	B	1	scenevideo	9063	225638	4187	349	12	291	4.37041	8	114.77	41.52	382.51	113.68	3.66	0.54	19.07	29.28	1013	254.49	91.07	61.76	1.69
Recording 199	P26-W1	C	1	scenevideo	1801	234701	461	230	2	351	4.04815	0													
Recording 46	P10-J0	A	1	scenevideo	30000	83699	23773	276	86	351	4.77403	62	172.31	30.86	637.42	147.35	5.18	0.59	22.09	321	19	43.06	373.92	180.85	11.85
Recording 278	P42-P0	A	1	scenevideo	30000	85207	16189	162	100	60	3.98422	54	115.61	31.45	336.2	81.29	3.26	0.79	11.91	175.9	1042	125.12	37.53	37.53	1.32
Recording 275	P42-B0	A	1	scenevideo	30000	273454	24204	692	35	70	3.97572	18	101.08	34.32	427.63	94.67	3.68	0.93	30.85	66.29	1585	128.6	41.88	41.88	0.96
Recording 187	P25-P1	A	1	scenevideo	30000	175655	22200	195	114	70	3.29771	85	136.63	30.07	517.6	105.02	4.21	0.69	28.11	358.26	101	194.64	99.38	76.45	2.8
Recording 187	P25-P1	B	1	scenevideo	19735	205655	13034	237	55	140	3.81936	30	147.97	30.74	698.21	161.65	4.49	0.08	31.01	134.7	727	10.66	235.34	144.56	4.71
Recording 187	P25-P1	C	1	scenevideo	9212	225390	2595	137	19	110	3.53321	7	178.23	30.41	375.75	139.16	6.48	1.27	13.45	45.35	617	266.26	269.98	156.7	8.67
Recording 30	P07-W1	A	1	scenevideo	30000	190589	11441	163	70	200	3.49362	24	97.04	30.99	324.26	85.72	2.36	0.57	7.63	56.66	2416	45.35	47.24	41.48	1.45
Recording 30	P07-W1	B	1	scenevideo	12967	220589	6081	276	22	100	3.85198	9	55.69	36.99	92.44	21.17	1.78	0.59	2.75	16.02	4754	61.1	46.9	42.19	2.67
Recording 30	P07-W1	C	1	scenevideo	5071	233556	60	60	1	60	4.12034	0													
Recording 85	P11-W1	A	1	scenevideo	30000	197878	15478	235	66	140	4.33285	34	72.32	31.78	286.03	51.68	2.29	0.18	9.53	77.92	257	233.73	78.63	75.78	1.93
Recording 85	P11-W1	B	1	scenevideo	16550	227878	9277	226	41	110	3.98776	23	93.41	32.21	365	103.23	2.7	0.55	11.67	62.03	31	353.31	309.91	141.67	9.87
Recording 85	P11-W1	C	1	scenevideo	7910	244428	2104	124	17	240	3.40139	10	72.13	32.69	266.91	69.82	1.82	0.69	5.93	18.17	11	21.69	72.08	56.56	2.65
Recording 321	P32-P0	A	1	scenevideo	30000	87986	25296	287	88	270	3.83228	82	125.45	31.42	361.42	86.03	4.32	0.55	17.35	353.95	280	60.04	73.21	60.39	2.73
Recording017	P28-W1	A	1	fullstream	30000	198544	12133	311	39	320	4.28153	27	75.13	31.66	181.89	41.91	2.7	0.67	6.92	72.82	3006	65.5	59.05	59.05	1.55
Recording017	P28-W1	B	1	fullstream	13375	228544	8195	431	19	120	3.82672	13	100.72	30.37	188.84	50.05	4.77	2.2	8.16	62.05	130	235.14	30.37	30.37	2.84
Recording017	P28-W1	C	1	fullstream	19136	241919	9814	258	38	160	3.6214	32	198.97	32.45	401.64	129.89	10.19	1.89	24.58	326.19	87	253.38	374.88	279.07	14.75
Recording 378	P44-M0	A	1	scenevideo	30000	80577	2855	238	12	210	4.18384	5	72.8	30.89	187.58	66.21	2.19	0.62	5.55	10.93	13696	79.15	37.27	36.07	1.67
Recording 197	P26-P1	A	1	scenevideo	30000	185722	25977	361	72	90	4.49171	61	89.79	30.2	369.21	78.82	2.97	0.79	13.17	181.08	422	150.81	78.78	75.16	1.92
Recording 197	P26-P1	B	1	scenevideo	13267	215722	10569	480	22	90	4.46422	18	86.15	33.83	358.25	82.91	3.58	0.58	16.42	64.37	56	75.96	39.07	37.9	0.89
Recording 197	P26-P1	C	1	scenevideo	18702	228989	13304	309	43	601	3.97369	30	157.22	33.1	565.34	147.41	6.3	0.68	31.72	189.09	203	209.59	49.13	48.4	0.68
Recording 380	P44-J0	A	1	scenevideo	30000	87083	22761	268	85	130	4.83935	57	144.15	31.65	484.64	107.09	4.38	0.65	16.16	249.46	139	184.33	484.64	256.77	16.16
Recording 304	P31-M1	A	1	scenevideo	30000	221987	16089	155	104	170	4.63818	51	104.9	30.75	615.19	122.58	2.72	0.51	18.1	138.88	525	76.92	30.75	30.75	1.2
Recording 304	P31-M1	B	1	scenevideo	17917	251987	11751	356	33	140	4.02168	17	121.02	36.26	376.27	97.41	5.02	0.72	24.23	85.28	1061	343.87	52.22	44.04	1.5
Recording 304	P31-M1	C	1	scenevideo	3811	269904	2665	333	8	471	3.75689	8	119.26	55.2	196.47	51.36	3.41	1.39	5.75	27.29	134	221.77	55.2	46.07	1.39
Recording 416	P47-P1	A	1	scenevideo	30000	191674	27910	570	49	321	3.31902	49	110.91	31.16	406.81	95.61	3.46	0.63	17.45	169.44	304	277.68	53.74	45.52	0.96
Recording 416	P47-P1	B	1	scenevideo	12333	221674	9938	497	20	1282	3.13541	17	102.23	39.93	464.02	103.38	4.17	1.03	25.25	70.88	68	264.62	63.11	55.42	1.69
Recording 416	P47-P1	C	1	scenevideo	8976	234007	6442	339	19	210	3.02654	18	231.26	48.81	412.91	125.03	8.65	1.19	19.49	155.63	819	147.08	141.43	96.46	2.71
Recording 138	P20-M1	A	1	scenevideo	30000	224253	16830	281	60	1833	5.36495	29	98.55	30.17	480.46	103.15	3.35	0.53	16.03	97.11	872	34.5	30.17	30.17	1.65
Recording 138	P20-M1	B	1	scenevideo	11517	254253	8325	378	22	291	5.06367	18	178.65	50.8	656.3	149.08	6.79	0.95	25.29	122.23	105	98.25	319.15	193.83	22.82
Recording 138	P20-M1	C	1	scenevideo	2513	265770	962	160	6	291	4.86071	4	162.57	91.52	261.22	75.9	4.95	3.43	7.43	19.79	470	265.46	91.52	70.51	3.53
Recording 127	P17-D1	A	1	scenevideo	30000	212631	11501	129	89	60	3.3969	21	61.97	30.92	155.03	38.39	1.07	0.37	2.35	22.57	184	277.96	43.5	43.5	0.77
Recording 127	P17-D1	B	1	scenevideo	16800	242631	4258	93	46	60	3.71391	9	97.69	38.12	214.61	58.04	1.8	0.12	4.98	16.16	1341	257.31	62.42	62.42	0.12
Recording 127	P17-D1	C	1	scenevideo	12321	259431	3326	151	22	150	3.8211	4	221.94	65.39	651.81	286.75	7.26	0.72	25.1	29.04	8424	179.59	81.43	61.59	1.5
Recording 178	P19-P1	A	1	scenevideo	30000	183078	12573	182	69	120	3.20549	39	78.62	30.08	333.89	64.58	2.12	0.5	10.44	82.82	3265	201.07	68.21	51.66	2.88
Recording 178	P19-P1	B	1	scenevideo	21816	213078	11190	193	58	160	3.68127	31	147.91	30.03	786.65	172.26	5.08	0.32	35.05	157.51	2007	233.77	330.48	145.5	8.24
Recording 178	P19-P1	C	1	scenevideo	14042	234894	5249	159	33	250	3.39472	12	239.04	37.03	538.5	200.54	10.45	0.34	32.54	125.38	187	14.56	115.93	74.09	2.62
