Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 148	P12-P1	B	1	scenevideo	15524	202066	11772	420	28	611	4.74368	24	119.28	30.31	460.57	115.38	4.04	0.9	29.44	96.88	109	36.92	332.84	139.54	7.68
Recording 148	P12-P1	C	1	scenevideo	2652	217590	1453	484	3	260	4.46502	3	120.76	30.56	232.85	102.91	2.78	1.04	4.43	8.35	243	271.3	98.87	75.44	2.89
Recording 313	P41-W1	A	1	scenevideo	30000	198096	15318	158	97	70	4.52156	49	71.1	30.94	295.67	49.63	1.66	0.51	7.2	81.39	689	109.85	62.3	60.5	1.36
Recording 313	P41-W1	B	1	scenevideo	16666	228096	5169	120	43	130	4.5645	17	71.19	30.68	176.04	46.92	1.88	0.56	7.11	31.94	42	63.87	57.15	46.93	0.71
Recording 313	P41-W1	C	1	scenevideo	6878	244762	1783	119	15	90	4.67057	3	42.3	32.86	50.99	9.09	1.25	0.82	1.82	3.74	1288	89.71	50.99	50.65	1.82
Recording 361	P46-M0	A	1	scenevideo	30000	87240	22110	351	63	100	4.0582	36	134.97	31.84	430.57	131.26	4.84	0.41	17.88	174.3	1743	138.34	38.37	38.37	0.41
Recording 119	P17-B0	A	1	scenevideo	30000	269188	14817	206	72	70	3.64572	36	111.76	30.05	302.86	77.9	3.69	0.51	26.56	132.8	1778	166.44	99.06	68.3	3.55
Recording 298	P31-J0	A	1	scenevideo	30000	87422	11772	125	94	120	5.69345	40	84.95	31.67	291.61	67.51	2.13	0.57	6.78	85.05	483	256.57	33	33	0.83
Recording 331	P43-J0	A	1	scenevideo	30000	83797	20707	241	86	100	4.30981	59	195.68	32.01	477.74	129.72	5.55	0.76	16.93	327.42	72	3.43	282.33	120.72	8.87
Recording 203	P27-J0	A	1	scenevideo	30000	84170	23793	294	81	150	5.48454	57	156.82	30.23	551.82	120.5	5.09	0.62	19.93	290	109	142.66	127.72	94.94	3.12
Recording 172	P19-P0	A	1	scenevideo	30000	80352	21539	263	82	260	2.95467	51	86.75	30.04	418.86	82.75	2.69	0.52	20.79	136.94	105	165.19	114.89	64.55	3.32
Recording 8	P02-W1	A	1	scenevideo	30000	194085	23152	526	44	521	4.14213	34	131.89	30.89	939.21	157.68	3.43	0.67	13.89	116.48	4585	141.12	67.3	55.33	2.64
Recording 8	P02-W1	B	1	scenevideo	11083	224085	7944	497	16	501	3.98346	9	74.83	36.33	189.68	49.59	3.06	1.29	6.21	27.56	141	165.62	120.47	80.34	3.44
Recording 8	P02-W1	C	1	scenevideo	5473	235168	3857	321	12	421	3.68308	7	92.15	36.81	162.68	56.73	3.41	1.81	6.72	23.88	629	64.97	37.58	34.3	2.49
Recording 386	P44-W1	A	1	scenevideo	30000	193599	12482	250	50	270	4.00061	37	148.38	30.35	424.81	103.92	5.68	0.7	18.16	210.34	1734	3.73	424.81	209.91	18.16
Recording 386	P44-W1	B	1	scenevideo	15563	223599	10358	370	28	60	4.69898	21	132.88	38.03	476.25	114.05	4.68	0.85	23.87	98.38	2690	94.35	38.03	38.03	0.97
Recording 386	P44-W1	C	1	scenevideo	2368	239162	872	291	3	140	3.97478	3	160.98	106.25	259.02	85.1	4.73	2.75	8.19	14.2	892	192.47	106.25	74.32	3.27
Recording 329	P43-M0	A	1	scenevideo	30000	85892	22811	380	60	70	3.79689	36	172.85	30.24	491.79	138.5	4.48	0.95	22.28	161.16	7	75.62	92.29	64.02	2.46
Recording 259	P22-W1	A	1	scenevideo	30000	192509	26408	498	53	932	4.60675	48	118.44	30.4	288.8	69.74	3.4	0.91	9.73	163.33	341	357.62	119.64	92.25	4.06
Recording 259	P22-W1	B	1	scenevideo	12296	222509	8936	288	31	60	4.37098	16	138.88	30.36	658.47	181.91	5.89	0.37	33.61	94.31	1758	80.95	180.24	119.67	4.24
Recording 259	P22-W1	C	1	scenevideo	6187	234805	4097	195	21	120	3.90417	18	145.86	30.54	540.03	131.67	5.9	0.72	42.32	106.19	652	94.84	50.78	46.66	0.85
