"id","task","drv_percentage","pupil_raw","pupil_z","pupil_change","fix_count","fix_dur","fix_rate","mean_fix_dur","switch_count.x","grid_transition","entropy_log2","spatial_density","drv_scanpath_len","drv_saccade_len","drv_convex_hull","drv_fix_count","drv_fix_dur","drv_fix_rate","drv_mean_fix_dur","drv_grid_transition","drv_entropy_log2","drv_spatial_density","drv_NNI","drv_percentage_B","pupil_raw_B","pupil_z_B","pupil_change_B","fix_count_B","fix_dur_B","fix_rate_B","mean_fix_dur_B","grid_transition_B.x","drv_scanpath_len_B","drv_saccade_len_B","drv_convex_hull_B","drv_fix_count_B","drv_fix_dur_B","drv_fix_rate_B","drv_mean_fix_dur_B","drv_grid_transition_B","entropy_log2_B","drv_entropy_log2_B","drv_NNI_B","grid_transition_B.y","y_first_fix","y_first_gaze","switch_count.y"
"03","W",0.352106969205835,3.82153808752026,-0.111748827397517,-0.00641216497237536,79,7.72421799999999,2.63333333333333,0.0977749113924049,6,53.9333333333333,8.88676554835008,0.0360243055555556,3622.53218881664,120.751072960555,83866.5,31,3.12569299999999,1.03333333333333,0.100828806451613,79.5166858457998,8.53476977502431,0.0529513888888889,453.435606710912,0.667053364269142,4.45170939675174,2.74363823260102,0.157430385460536,56,8.696111,3.12981505978701,0.155287696428571,30.7666666666667,2758.35763463365,74.5502063414499,58005,38,6.331715,2.12380307628404,0.166624078947368,71.9130434782609,8.48103539693536,8.6147459041084,568.523782430227,30.7666666666667,6.561906,1.172174,7
"04","D",0.917882592466916,3.15913403461147,0.670078576579409,0.0529216640836893,39,26.217651,1.3,0.672247461538461,9,15.7333333333333,5.2202592023567,0.0100790895061728,3585.97422317882,108.665885550873,62206,34,24.854992,1.13333333333333,0.731029176470588,24.4731977818854,6.28114624970682,0.0317925347222222,510.665639909539,0.913738019169329,3.73214376996805,3.08822308649677,0.243902596667643,37,16.549436,1.94794614086862,0.447282054054054,9.93333333333333,1538.82123402399,54.9579012151424,20238,29,15.257396,1.52676859689703,0.526117103448276,27.1561771561772,5.4111799799932,5.76145956702328,228.276443589333,9.93333333333333,0,0.090212,9
"04","J",0.108719052744887,4.93158127018299,8.1499402392234,0.643668391614681,74,21.689056,2.46666666666667,0.293095351351351,6,27,7.98121169627637,0.027440200617284,237.783952656946,59.4459881642366,1402.5,5,2.324209,0.166666666666667,0.464841799999999,39.2739273927393,4.99597288826018,0.0115017361111111,134.060063307445,0.851758793969849,3.9871256281407,4.16426585230602,0.328886620604861,14,9.918009,1.10037260974507,0.708429214285714,9.3,526.536789945774,65.8170987432217,12011.5,9,9.106567,0.707382391978975,1.01184077777778,29.8918387413963,6.31327597444718,5.71030656862207,225.138998972678,9.3,2.294127,1.793239,3
"04","M",0.354764107308048,4.16528677150786,4.9161193796214,0.388266730943317,38,18.092788,1.26666666666667,0.476126,8,18,7.18469067760947,0.0150462962962963,717.127484915771,71.7127484915771,11099.5,11,6.85239,0.366666666666667,0.622944545454545,40.6779661016949,6.10052292818144,0.0171440972222222,319.382360554751,0.810253953042645,4.11329228557738,4.69669870848651,0.37093726025632,39,16.690112,1.79812911581381,0.42795158974359,18.4333333333333,2504.18051054349,86.3510520877065,55345.5,30,14.546251,1.3831762429337,0.484875033333334,30.2188054405677,6.90443329701364,6.67964132832744,330.152495897291,18.4333333333333,2.805076,2.304188,7
"04","P",0.095929203539823,4.79271044247788,7.56389482169863,0.597383523230508,73,23.452716,2.43333333333333,0.321270082191781,5,21,7.37799797291622,0.0190489969135802,132.640907494416,44.2136358314721,482,4,1.582852,0.133333333333333,0.395713000000001,45.3874538745387,5.46821838295651,0.0110677083333333,160.312351949194,0.819310344827586,4.00612413793103,4.24444100346207,0.335218717415057,20,12.031753,1.35993271052948,0.60158765,10.9666666666667,419.361443782427,41.9361443782427,7189,11,10.919777,0.747962990791216,0.992707,23.5690235690236,6.02424141478011,5.17228074422837,232.862600908035,10.9666666666667,2.163918,1.893403,3
"04","W",0.208695652173913,4.29348405797101,5.45712164418896,0.430994167865884,51,18.213197,1.7,0.357121509803922,6,27.8,7.88738849820918,0.0250771604938272,1086.75047654209,155.250068077442,37967,8,2.454377,0.266666666666667,0.306797125,57.3412698412698,7.01752611690165,0.0230034722222222,220.971745368037,0.861016949152542,3.91324152542373,3.85246933938283,0.304261463352976,16,10.52918,1.3005741465856,0.65807375,7.83333333333333,507.289596183644,46.1172360166949,5684,12,6.041104,0.975430609939199,0.503425333333333,28.5433070866142,6.33876460811359,5.79058600097344,276.199552079336,7.83333333333333,1.542775,1.212203,5
"05","D",0.883532723434201,2.77370478536242,0.0536807135500729,0.00297665176736291,42,23.723233,1.4,0.564838880952381,8,24.4333333333333,6.76724351969655,0.0186631944444444,4395.82874983598,146.527624994533,66940,31,19.81607,1.03333333333333,0.639228064516129,33.1342094782955,7.03698560467366,0.0394965277777778,847.468966338961,0.81524926686217,3.19673826979472,2.81232422298993,0.155946322527025,12,12.412433,0.871146664219712,1.03436941666667,7.7,129.541001512123,25.9082003024247,241.5,6,11.120053,0.435573332109856,1.85334216666667,17.6258992805755,5.33609792281475,4.25165240717015,244.010003973851,7.7,0,0.090131,4
"05","J",0.192934782608696,3.18517934782609,2.7369473409266,0.151766595500803,90,19.845813,3,0.220509033333333,5,37.1,8.78537920290456,0.039014274691358,425.022343966233,47.224704885137,3973,10,3.957116,0.333333333333333,0.3957116,49.6478873239437,6.57169123778163,0.0171440972222222,233.609864870015,0.489465153970827,3.00032414910859,1.53148816832097,0.0849226223246023,27,9.85818,2.15954735887358,0.365117777777778,11.2,444.316122899242,49.3684580999157,5109.5,10,5.389961,0.799832355138363,0.5389961,37.4172185430464,6.69685769524288,5.68942568729209,259.614870828549,11.2,0.009991,0.090136,4
"05","M",0,3.13138162782844,2.38612704760315,0.132313242944788,73,21.539147,2.43333333333333,0.295056808219178,0,28.6333333333333,7.66512187842356,0.0231963734567901,0,0,0,0,0,0,0,0,0,0,0,0.583141762452107,3.54224291187739,5.06539442532102,0.280881424097642,34,8.695534,2.47907731658838,0.255751,16.6666666666667,1506.06688035304,115.851298488695,33734.5,14,5.720139,1.02079654212463,0.408581357142857,44.8094612352168,7.4948030242277,6.60835692301494,242.09043246571,16.6666666666667,3.035517,2.885219,7
"05","P",0.0158998646820027,2.83054736129905,0.424356815887137,0.0235310297212178,97,23.472302,3.23333333333333,0.241982494845361,0,26.9666666666667,8.1907555699651,0.0243055555555556,0,0,0,0,0,0,0,78.7234042553192,4.51992522437784,0.0029296875,53.9268947058065,0.678244972577697,3.33822166361974,3.73495153366889,0.207106972848636,57,14.015106,2.45245158892833,0.245879052631579,30.4666666666667,3725.17349014065,100.680364598396,53967,38,10.398647,1.63496772595222,0.273648605263158,52.6954177897574,8.35390737513943,7.71198862157987,559.999891920684,30.4666666666667,5.279577,1.943533,11
