id,seq,task,cognitive,interrupt,mental,physical,temp,perf,effort,frus,overall
25,2,P,12,11,15,3,9,11,10,7,11
26,1,P,14,4,12,5,15,6,14,2,11.86666667
27,5,P,6,14,4,0,7,6,6,1,5.533333333
28,4,P,12,5,8,1,2,5,8,3,5.666666667
29,3,P,15,1,3,2,12,2,3,3,4.6
31,1,P,16,14,12,1,8,8,14,4,9.266666667
32,5,P,18,4,10,7,7,4,12,10,7.333333333
33,4,P,14,16,14,7,9,6,10,5,10.4
34,3,P,15,10,15,5,10,5,15,5,6.666666667
35,2,P,14,4,2,0,4,12,4,8,5.2
37,5,P,14,8,15,2,17,9,16,8,13.6
38,4,P,13,2,6,1,0,6,6,0,4.933333333
39,3,P,12,12,12,0,13,8,13,10,11.8
40,2,P,16,2,8,0,7,1,16,1,5.933333333
41,1,P,14,5,10,1,6,4,16,1,8.866666667
42,5,P,17,11,12,0,8,12,15,3,11
43,4,P,15,2,5,1,2,4,10,0,5.733333333
44,3,P,17,14,18,10,16,3,20,2,12.2
45,2,P,14,5,7,0,8,12,6,5,7.866666667
46,1,P,20,0,6,0,10,6,10,6,7.866666667
47,5,P,6,2,6,0,3,15,3,0,7.4
48,4,P,20,16,12,5,5,15,15,17,13.26666667
50,1,P,18,3,11,0,17,8,11,14,12.4
2,2,W,10,2,8,4,4,1,8,4,6.2
3,1,W,16,2,16,1,5,8,16,1,11.2
4,5,W,18,6,9,1,12,7,10,4,9.133333333
5,4,W,16,11,12,0,15,5,17,3,11.8
6,3,W,10,8,11,4,10,12,11,4,10.33333333
7,2,W,18,6,20,2,10,18,19,3,16
8,1,W,20,2,12,4,0,15,4,2,4.666666667
9,5,W,6,4,14,7,15,5,13,18,14.86666667
10,4,W,14,4,10,1,12,10,14,3,10.46666667
11,3,W,9,6,10,4,10,16,8,10,10.66666667
12,2,W,6,2,7,2,10,9,6,1,7.8
13,1,W,17,9,13,4,9,5,14,2,9.133333333
14,5,W,15,12,12,9,12,6,12,5,10.2
15,4,W,9,6,10,13,10,9,13,8,11.4
16,3,W,12,0,8,0,4,2,4,0,2.666666667
17,2,W,15,2,14,4,16,4,17,1,10.4
18,1,W,11,4,12,1,8,8,11,1,9.4
19,5,W,11,10,11,8,11,17,9,2,10.13333333
20,4,W,15,8,7,2,5,8,10,17,6
21,3,W,8,6,8,14,12,4,12,4,10.66666667
22,2,W,11,6,10,3,10,1,10,0,6.8
23,1,W,16,4,15,0,16,6,19,9,14.46666667
24,5,W,11,3,9,0,10,8,9,2,8.666666667
25,4,W,18,4,14,3,12,9,14,7,11.8
26,3,W,12,13,12,0,16,11,15,3,12.86666667
27,2,W,9,5,7,0,4,2,6,1,4.2
28,1,W,8,6,9,1,3,6,12,2,7.466666667
29,5,W,7,1,4,2,2,2,1,0,2.4
31,3,W,14,2,14,1,14,5,12,15,12.13333333
