id,task,Frame,stream_1,AD_State
15,D,121865,8,1
15,D,123126,8,1
15,J,160357,0,1
15,J,170476,7,1
15,J,170734,7,0
15,J,170736,7,1
15,J,170746,7,0
15,J,171033,8,0
15,J,172039,8,1
15,J,172648,8,1
15,M,214218,0,1
15,M,229022,7,1
15,M,229308,7,0
15,M,229310,7,1
15,M,229312,7,0
15,M,229576,8,0
15,M,229969,8,1
15,M,230676,8,1
15,P,128095,0,1
15,P,140015,7,1
15,P,140308,7,0
15,P,140310,7,1
15,P,140358,7,0
15,P,140568,8,0
15,P,141715,8,1
15,P,142679,8,1
15,W,185546,0,1
15,W,198494,7,1
15,W,198762,7,0
15,W,198764,7,1
15,W,198778,7,0
15,W,199048,8,0
15,W,199296,8,1
15,W,201679,8,1
16,D,59243,0,1
16,D,73081,7,1
16,D,73208,7,0
16,D,73210,7,1
16,D,73246,7,0
16,D,73649,8,0
16,D,74345,8,1
16,D,76175,8,1
16,J,1286569,0,1
16,J,1296622,7,1
16,J,1296848,7,0
16,J,1296850,7,1
16,J,1296894,7,0
16,J,1297180,8,0
16,J,1297541,8,1
16,J,1298252,8,1
16,M,32585,0,1
16,M,47387,7,1
16,M,47611,7,0
16,M,47613,7,1
16,M,47623,7,0
16,M,47942,8,0
16,M,48141,8,1
16,M,48630,8,1
16,P,1255755,0,0
16,P,1267930,7,1
16,P,1268273,7,0
16,P,1268479,8,0
16,P,1268985,8,1
16,P,1270282,8,1
16,W,8221,0,0
16,W,21163,7,1
16,W,21362,7,0
16,W,21364,7,1
16,W,21387,7,0
16,W,21717,8,0
16,W,22098,8,1
16,W,23001,8,1
17,D,56726,0,1
17,D,70756,7,1
17,D,70911,7,0
17,D,70913,7,1
17,D,70923,7,0
17,D,71323,8,0
17,D,71764,8,1
17,D,71827,8,0
17,D,72022,8,1
17,D,72515,8,1
17,J,183579,0,1
17,J,193632,7,1
17,J,193945,7,0
17,J,193947,7,1
17,J,193969,7,0
17,J,194183,8,0
17,J,194616,8,1
17,J,194678,8,0
17,J,195390,8,1
17,J,195453,8,0
17,J,195584,8,1
17,J,196380,8,1
17,M,32604,0,1
17,M,47344,7,1
17,M,47617,7,0
17,M,47619,7,1
17,M,47643,7,0
17,M,47893,8,0
17,M,48225,8,1
17,M,49614,8,1
17,P,81752,0,1
17,P,93484,7,1
17,P,93732,7,0
17,P,93734,7,1
17,P,93758,7,0
17,P,94041,8,0
17,P,94470,8,1
17,P,96260,8,1
17,W,6689,0,0
17,W,19632,7,1
17,W,19963,7,0
17,W,19965,7,1
17,W,19985,7,0
17,W,20182,8,0
17,W,20567,8,1
17,W,21458,8,1
18,D,250872,0,1
18,D,264964,7,1
18,D,265243,7,0
18,D,265245,7,1
18,D,265263,7,0
18,D,265517,8,0
18,D,265717,8,1
18,D,266913,8,1
18,J,309071,0,1
18,J,319061,7,1
18,J,319410,7,0
18,J,319412,7,1
18,J,319462,7,0
18,J,319612,8,0
18,J,319916,8,1
18,J,320738,8,1
18,M,218245,0,1
18,M,232987,7,1
18,M,233413,7,0
18,M,233530,8,0
18,M,233866,8,1
18,M,236294,8,1
18,P,277871,0,1
18,P,289793,7,1
18,P,290133,7,0
18,P,290343,8,0
18,P,290651,8,1
18,P,291854,8,1
18,W,184496,0,0
18,W,197506,7,1
18,W,197980,7,0
18,W,197982,7,1
18,W,197984,7,0
18,W,198048,8,0
18,W,198373,8,1
18,W,198500,8,0
18,W,198631,8,1
18,W,200133,8,1
19,D,34660,0,1
19,D,48497,7,1
19,D,48700,7,0
19,D,48702,7,1
19,D,48729,7,0
19,D,49055,8,0
19,D,49507,8,1
19,D,50014,8,1
19,J,8034,0,0
19,J,17958,7,1
19,J,18412,7,0
19,J,18414,7,1
19,J,18426,7,0
19,J,18503,8,0
19,J,19654,8,1
19,J,21104,8,1
19,M,226074,0,1
19,M,241006,7,1
19,M,241475,7,0
19,M,241477,7,1
19,M,241498,7,0
19,M,241550,8,0
19,M,241760,8,0
19,P,54626,0,1
19,P,66357,7,1
19,P,66585,7,0
19,P,66587,7,1
19,P,66632,7,0
19,P,66914,8,0
19,P,67666,8,1
19,P,69377,8,1
19,W,31873,0,1
19,W,44819,7,1
19,W,45223,7,0
19,W,45225,7,1
19,W,45235,7,0
19,W,45364,8,0
19,W,45688,8,1
19,W,48597,8,1
2,D,26286,0,1
2,D,40508,7,1
2,D,40742,7,0
2,D,41069,8,0
2,D,41196,8,1
2,D,41689,8,1
2,J,82342,0,1
2,J,92459,7,1
2,J,92860,7,0
2,J,93005,8,0
2,J,93185,8,1
2,J,93693,8,1
2,M,1708,0,0
2,M,16571,7,1
2,M,17002,7,0
2,M,17115,8,0
2,M,17327,8,1
2,M,18541,8,1
2,P,46858,0,1
2,P,58717,7,1
2,P,59056,7,0
2,P,59265,8,0
2,P,59380,8,1
2,P,60362,8,1
2,W,255622,0,1
2,W,269141,7,1
2,W,269494,7,0
2,W,269692,8,0
2,W,269819,8,1
2,W,275579,8,1
20,D,135351,0,1
20,D,149248,7,1
20,D,149482,7,0
20,D,149484,7,1
20,D,149486,7,0
20,D,149798,8,0
20,D,150195,8,1
20,D,151802,8,1
20,J,9902,0,0
20,J,20017,7,1
20,J,20515,7,0
20,J,20517,7,1
20,J,20552,7,0
20,J,20560,8,0
20,J,21201,8,1
20,J,21957,8,1
20,M,70103,0,1
20,M,84905,7,1
20,M,85090,7,0
20,M,85092,7,1
20,M,85143,7,0
20,M,85473,8,0
20,M,85596,8,1
20,M,86729,8,1
20,P,156352,0,1
20,P,168144,7,1
20,P,168460,7,0
20,P,168462,7,1
20,P,168484,7,0
20,P,168694,8,0
20,P,169003,8,1
20,P,170375,8,1
20,W,43667,0,1
20,W,56613,7,1
20,W,56927,7,0
20,W,56929,7,1
20,W,56962,7,0
20,W,57163,8,0
20,W,57673,8,1
20,W,61695,8,1
21,D,345114,0,1
21,D,359854,7,1
21,D,360086,7,0
21,D,360412,8,0
21,D,360733,8,1
21,D,360796,8,0
21,D,360862,8,1
21,D,361528,8,1
21,J,263741,0,1
21,J,273923,7,1
21,J,274284,7,0
21,J,274286,7,1
21,J,274324,7,0
21,J,274469,8,0
21,J,274778,8,1
21,J,276290,8,1
21,M,317554,0,1
