task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
D,65.6064,73.046,914.5455,45.0053,11,1.576,1082.922,0.189685012,1.832027225,0.119102678,62,21.268423,7.194975294,0.022569444,3567.52221,84.94100499,60548.5,43,14.055393,57.53951303,0.05718316,777.2326306,2.8,53.94359822
J,66.6218,70.1919,900.6061,46.0309,6.6,0.6658,1190.6125,1,5.715601861,0.371579352,83,22.830955,8.269035232,0.025993441,0,0,0,0,0,0,0,0,4.533333333,45.16517574
M,82.093,90.1984,730.878,23.8787,5.857143,0.7425,260.8031,0.863851351,5.258278927,0.341848142,92,18.994394,7.831290892,0.020785108,405.7387164,45.0820796,4956,10,2.945405,47.39454094,0.014105903,187.1078662,4.983333333,40.23462479
P,65.4955,70.3235,916.0937,55.9158,8,0.6234,2606.3501,0.959197552,4.418312867,0.287240762,85,22.400141,7.862848851,0.019338349,378.3525973,126.1175324,13859,4,0.400678,81.66666667,0.009657118,105.7323413,4.6,34.64423282
W,65.0716,70.1426,922.0606,54.2594,6.6,0.9959,1998.7933,0.862092862,3.158256795,0.205322736,78,17.77204,7.369452158,0.017071759,1195.834289,132.8704766,16639.5,10,1.382433,72.36180905,0.026692708,237.893319,3.666666667,23.62068828
D,76.9155,83.426,780.0769,50.9652,7.8,0.2794,1006.5895,0.084974471,1.220899638,0.072664676,54,22.810955,5.823405013,0.01480517,5842.610009,129.835778,42220.5,46,20.54703,29.61339179,0.03515625,636.905833,4.933333333,86.45359323
J,92.1874,93.633,650.8478,13.0257,2.875,1.141,55.7609,1,9.609237965,0.571916107,105,13.45431,9.224710577,0.04451196,0,0,0,0,0,0,0,0,5.6,31.34721067
M,79.0995,82.2368,758.5385,40.7781,4.875,2.0564,326.9457,1,5.541699353,0.329827103,101,15.387435,8.73286136,0.037326389,0,0,0,0,0,0,0,0,7.133333333,40.14515058
P,85.2808,88.1057,703.5581,28.4697,4.777778,0.5588,285.0844,0.942655936,3.700866435,0.220265658,115,21.148533,8.818279826,0.033661265,106.5692263,106.5692263,0,2,0.280583,57.89473684,0.009006076,47.65034599,7.833333333,57.89361323
W,84.9744,87.745,706.0952,25.2824,6,1.1463,502.7816,0.977351916,5.53837375,0.329629172,86,21.648845,8.135437267,0.024546682,0,0,0,1,0.140235,81.53846154,0.004991319,44.79357773,5.85,95.14126322
D,67.0898,73.3496,894.3235,113.9038,8.5,1.0285,9570.967,0.125594026,0.483195915,0.017525253,38,25.84676,6.43757422,0.017843364,3269.959957,136.2483315,71815.5,25,21.979932,33.26863354,0.048177083,632.9949724,2.083333333,50.48343539
J,72.8524,84.2933,823.5833,131.5733,12,2.0611,9352.3221,1,15.25592704,0.553324163,71,25.005309,7.837441291,0.020495756,0,0,0,0,0,0,0,0,7.8,77.77354703
M,66.4675,77.2599,902.697,154.2992,11,1.0319,9729.3722,1,13.51019176,0.490007296,15,28.732254,5.632238412,0.007330247,0,0,0,0,0,0,0,0,6.05,78.62266676
P,69.1221,83.4957,868.0294,150.6123,11.333333,0.6755,23219.2904,1,10.3640793,0.37589951,74,25.727143,7.163136701,0.014612269,0,0,0,0,0,0,0,0,7.9,35.10264806
W,68.6545,84.0572,873.9412,141.1705,11.333333,0.3367,10181.0813,0.963079067,10.47705612,0.379997118,37,25.396042,6.316958322,0.011140046,0,0,0,1,0.621181,49.05660377,0.005533854,36.6223411,5.25,66.42150965
D,64.6334,76.6871,928.3125,101.748,8,0.1194,7905.8626,0.089475759,-0.566652141,-0.053336626,64,17.240984,7.979937182,0.028549383,6558.0844,119.2378982,217266,56,13.604503,49.74025974,0.060546875,874.3716425,3.833333333,36.23222845
J,70.0631,81.103,856.3714,73.112,11.666667,0.7304,5959.9073,1,6.004433223,0.565172499,75,23.983281,7.904095597,0.023533951,0,0,0,0,0,0,0,0,8.1,54.48386508
M,70.6044,75.358,849.8056,84.1132,12,0.428,4297.5768,1,6.56102445,0.617562132,55,25.416351,7.600559389,0.018614969,0,0,0,0,0,0,0,0,5.033333333,71.58663004
P,63.7556,72.7449,941.0938,81.5687,6.4,0.5459,3762.7578,1,4.61956039,0.434820139,78,24.845645,7.375882633,0.015625,0,0,0,0,0,0,0,0,4.566666667,103.8878138
W,67.3218,72.5689,891.2424,92.2213,8.25,0.5834,6542.5463,0.921402214,2.817347507,0.265185284,66,19.044545,7.921556099,0.025511188,197.814887,39.56297739,2628,6,1.091886,66.1971831,0.009982639,121.4518235,5.883333333,55.50396005
D,86.6142,96,692.7273,19.9545,6.285714,0.905,303.3078,0.208815029,0.466836259,0.027442663,35,21.327105,7.669840775,0.021122685,2078.418387,98.97230413,38174,22,9.634253,56.52968037,0.027560764,373.4977437,3.866666667,45.14839719
J,82.3596,87.2347,728.5122,28.1147,6.833333,1.6137,687.2188,1,3.300790754,0.194034821,64,12.312585,8.085421252,0.018566744,0,0,0,0,0,0,0,0,5.6,39.90351878
M,82.6989,87.6937,725.5238,23.6555,8.4,3.3124,658.6313,0.938596491,4.588487943,0.269731256,4,1.07934,5.573242458,0.003520448,0,0,0,0,0,71.42857143,0.000651042,11.58706488,8.233333333,69.57186915
P,79.2978,84.0807,756.641,27.0336,6.5,3.1112,979.1451,1,2.513669998,0.147764443,66,17.869084,8.337501715,0.022665895,0,0,0,0,0,0,0,0,5.65,71.4426395
W,78.841,85.5676,761.0256,29.217,7.8,5.8186,1613.4908,0.945167286,5.183299797,0.30469688,52,15.130992,8.093802879,0.019434799,121.2525364,60.62626822,425,3,0.63962,86.44067797,0.004123264,63.33181957,5.816666667,110.7031628
D,100.8844,106.1571,594.74,9.2554,4.545455,9.9265,303.3179,0.056783407,0.247446109,0.026173398,57,25.386036,6.148275759,0.009837963,3930.286055,75.58242414,30978.5,53,24.233926,46.68348955,0.034722222,959.0219279,4.9,73.20478524
J,96.6406,100.7049,620.8571,8.3224,4.454545,3.7202,179.9803,0.949897049,3.077142703,0.325482105,75,17.671697,8.713582791,0.039351852,530.4974581,106.0994916,12428,6,0.520978,80.1369863,0.011610243,100.3682419,6.683333333,42.33177427
M,92.2676,106.1196,650.2826,16.3222,4.6,2.4396,317.5446,0.947206034,2.464667563,0.260698077,56,22.621048,7.615680639,0.023678627,0,0,0,0,0,74.02597403,0.011067708,106.5485213,7.133333333,41.92579297
P,100.9455,105.1156,594.38,7.5987,5,11.5478,254.7079,0.917525773,1.43583806,0.151874527,93,20.667633,8.489895595,0.031635802,701.0147371,116.8357895,12498,7,0.841555,81.25,0.017361111,165.9556825,5.65,45.56238117
W,103.4792,109.0513,579.8269,8.4398,7.428571,19.8807,527.2779,0.779426993,0.591226942,0.062536518,81,20.396569,7.798190865,0.021749614,647.3077575,53.94231313,7145,13,4.468221,46.79186228,0.017578125,296.1413224,6.883333333,13.57202774
D,86.8658,94.0144,690.7209,29.7079,7.166667,3.2595,1618.9727,0.148621385,-0.091908595,-0.005645309,26,27.129168,5.929367675,0.012779707,3283.806975,218.920465,51356,16,22.139968,26.65876777,0.025499132,568.5592645,6.016666667,53.88909144
J,91.7248,96.5251,654.1304,23.7177,5.75,4.8932,2090.9082,1,9.41356036,0.578209845,118,19.875965,7.510747793,0.016830633,0,0,0,0,0,0,0,0,6.666666667,68.90656721
M,90.4099,96.9619,663.6444,24.9431,6.428571,3.0827,580.4235,1,6.108112412,0.37517906,106,15.197629,8.341552346,0.02652392,0,0,0,0,0,0,0,0,7.133333333,65.13251727
P,91.7157,94.6671,654.1957,20.218,6.571429,0.3441,431.3074,1,5.156731119,0.316742294,96,20.617276,8.014728957,0.022087191,0,0,0,0,0,0,0,0,8.9,79.58532004
W,93.7874,99.9001,639.7447,21.1908,5.222222,1.2241,335.1968,1,8.320649654,0.511079906,123,18.483123,7.27592574,0.014998071,0,0,0,0,0,0,0,0,6.916666667,65.31702404
D,77.1768,80.2139,777.4359,20.5443,4.875,1.3619,378.0441,0.063497453,-0.006462726,-0.000625524,35,27.148787,5.305796429,0.008873457,3600.963544,120.0321181,43039.5,31,25.946538,24.14793328,0.032986111,503.5299415,2.783333333,101.5222884
J,75.0518,76.8246,799.4474,28.6806,5.428571,0.8028,186.7093,1,2.691458266,0.260504815,84,22.790776,8.398374071,0.030864198,0,0,0,0,0,0,0,0,5.616666667,58.30713739
M,79.6363,82.5083,753.425,17.9073,5,1.4829,201.5326,1,2.52880642,0.244761829,48,24.153522,7.167441259,0.018036265,0,0,0,0,0,0,0,0,5.05,64.90875971
P,73.7125,77.24,813.973,30.0987,7.4,1.3156,773.8956,1,1.294158728,0.125260935,101,23.222398,8.501986514,0.028935185,0,0,0,0,0,0,0,0,3.516666667,45.13045058
W,78.513,82.8729,764.2051,22.2677,6.5,1.3449,689.1278,1,1.315696247,0.12734554,61,23.743041,6.939167403,0.01716821,0,0,0,0,0,0,0,0,3.666666667,51.29408426
D,65.5781,79.6601,914.9394,87.0693,16.5,1.2976,4484.5475,0.044704264,0.610331213,0.070018399,36,25.716487,5.912186339,0.012104552,3844.014673,116.4852931,79057.5,34,24.784908,45.10439165,0.055013021,696.8547424,3.866666667,31.50567398
J,72.2988,77.4393,829.8889,51.4534,7.2,0.8496,2004.6076,1,3.849960342,0.441675037,79,9.96748,8.979674843,0.038049769,0,0,0,0,0,0,0,0,6.683333333,15.66862362
M,79.067,87.8477,758.85,66.1506,5.714286,0.5654,2056.2386,0.998565794,2.91133245,0.333993796,83,19.325347,8.108513515,0.022955247,0,0,0,0,0,75,0.000434028,13.10339363,7.083333333,46.08438975
P,66.8524,73.278,897.5,67.9336,5.666667,0.9636,3840.339,1,4.712551438,0.540633187,95,11.58009,9.214009931,0.043981481,0,0,0,0,0,0,0,0,7.866666667,42.72142932
W,73.8351,85.5432,812.6216,77.1783,12.333333,1.287,4398.7378,1,3.177854183,0.364569694,81,13.764745,8.49082218,0.031876929,0,0,0,0,0,0,0,0,10.18333333,57.68145845
D,88.0235,91.3798,681.6364,19.2236,4.888889,0.7861,444.7497,0.152588556,0.524343142,0.040392982,23,26.484129,5.723759165,0.011525849,1998.330799,166.5275666,39179.5,13,19.828123,48.87459807,0.027018229,383.3155058,2.8,50.991957
J,93.492,95.057,641.766,9.9338,3.357143,0.7354,100.3371,1,9.599316711,0.739487172,90,18.688626,9.061508218,0.03515625,0,0,0,0,0,0,0,0,14.08333333,58.00475174
M,97.4672,102.9866,615.5918,14.6768,5.444444,3.5511,671.4224,0.936507937,5.939007722,0.457513816,56,18.029361,8.260171165,0.023341049,163.3284406,54.44281352,2142,4,1.219232,58.75,0.004014757,70.06680621,7.166666667,32.060033
P,92.2413,97.5927,650.4681,18.6877,5.222222,1.7623,823.3544,1,4.614174247,0.355454744,43,27.003698,7.645442787,0.015769676,0,0,0,0,0,0,0,0,7.8,102.8096614
W,90.4311,95.9693,663.4889,12.5728,5,4.102,361.5854,1,5.119518189,0.394384115,54,24.864708,7.968437403,0.018277392,0,0,0,0,0,0,0,0,5.833333333,131.2849421
D,67.3267,69.3161,891.1765,25.1908,4.857143,0.5556,643.2583,0.091038915,1.159774949,0.054539782,40,25.135355,5.128287762,0.009741512,3780.875705,130.3750243,37414.5,30,21.929546,30.51846033,0.035264757,533.1417883,4.866666667,75.59448341
J,66.778,69.735,898.5,35.7783,6.8,0.5032,647.999,1,4.404329605,0.207118784,99,13.204343,9.059490357,0.043209877,0,0,0,0,0,0,0,0,5.616666667,36.2856538
M,64.5791,69.2361,929.0937,45.9454,8,0.5278,2732.0966,1,4.380711638,0.206008122,80,22.400777,7.721875448,0.023003472,0,0,0,0,0,0,0,0,7.116666667,37.12271637
P,66.0308,68.8705,908.6667,40.1958,6.6,0.1527,1160.878,1,3.958286656,0.186143089,103,22.880983,8.242311454,0.024353781,0,0,0,0,0,0,0,0,8.866666667,42.83524651
W,67.2136,70.555,892.6765,41.4332,4.857143,0.7243,705.3594,1,2.323167781,0.1092497,63,26.637917,6.967059646,0.011429398,0,0,0,0,0,0,0,0,5.833333333,103.6973237
D,57.0829,62.1118,1051.1034,53.2579,9.666667,8.0274,3260.3346,0.034950797,2.627295609,0.189118369,22,27.139059,4.556404475,0.00863233,1668.025252,98.11913246,20130,18,21.809426,27.25035162,0.025065104,538.2102088,3.833333333,147.7586495
J,71.1158,73.4394,843.6944,26.8189,5.142857,3.7651,1256.5136,0.991245791,7.217448725,0.519527428,92,19.365181,8.797318939,0.037615741,0,0,0,1,0.07012,61.53846154,0.002061632,24.95162912,8.5,38.88230891
M,70.65,79.1766,849.2571,32.9042,5.833333,4.1079,2282.5926,0.909319899,6.265939796,0.451035776,83,20.166885,7.74721947,0.023678627,202.8150132,50.7037533,1248,5,1.041962,59.92063492,0.012044271,118.0653578,4.983333333,34.15607061
P,65.1766,69.0449,920.5758,33.9615,6.6,3.5894,1648.5265,0.966315073,5.491477317,0.395288307,122,16.900491,8.030413878,0.0234375,26.17250466,26.17250466,0,2,0.370638,79.7979798,0.006510417,56.57377499,4.566666667,14.79054661
W,68.4748,73.928,876.2353,32.9298,6.8,3.6977,1525.305,0.938319745,5.092939757,0.366600719,82,20.317266,7.681987981,0.019579475,88.36243381,44.1812169,823,3,0.510873,81.6091954,0.012803819,146.7187306,6.716666667,16.69022988
D,76.0304,79.2184,789.1579,37.5319,6.333333,0.3421,1283.1361,0.022350152,0.086652379,0.006693873,19,27.10891,3.801565231,0.008101852,1375.244492,85.95278077,44606,17,26.928643,24.24662279,0.02593316,508.9231559,3.033333333,49.35450712
J,83.0744,86.3061,722.2439,31.4528,5.857143,1.6147,398.8421,0.946192893,3.338566711,0.257903389,96,20.467202,8.579736124,0.035204475,267.4907888,66.87269721,1573,5,0.741358,64.77987421,0.009657118,92.68381238,2.533333333,42.57328636
M,84.7116,89.1266,708.2857,30.8188,7,0.6746,734.8133,0.823549372,3.247657383,0.250880667,70,21.60886,8.147143802,0.031491127,1296.394208,99.72263138,17907.5,14,2.063825,73.26923077,0.032443576,286.5166514,3.9,14.37604809
P,84.4766,88.6525,710.2558,27.7808,7.166667,0.6004,777.4666,0.910321489,1.222863734,0.094465898,94,22.00045,8.14378369,0.028018904,679.5868572,97.08383674,12151.5,8,1.753205,58.49056604,0.014322917,142.1421491,2.933333333,27.08307392
W,86.7373,93.633,691.7442,37.1925,6.142857,0.352,1406.8588,0.76434215,2.24586136,0.173492192,72,19.94583,7.976777677,0.029128086,908.1983587,75.68319656,8534.5,13,3.165689,65.59766764,0.031141493,400.0930643,4.833333333,46.81946531
D,73.0527,73.8189,821.3243,27.0992,6.166667,0.0826,287.0491,0.03125,0.389705051,0.026091589,40,19.048548,5.649227269,0.009066358,2230.504309,58.6974818,32887,39,19.008583,49.86922406,0.025499132,468.6543601,3.9,44.21386882
J,79.228,82.3497,757.3077,18.1219,4.333333,1.2682,198.0409,1,6.956293856,0.46573879,66,20.487451,8.602873941,0.029369213,0,0,0,0,0,0,0,0,5.65,38.3414517
M,74.813,77.9423,802,17.5217,6.333333,3.6428,477.753,1,3.435002653,0.229980793,36,20.447707,7.790102715,0.018132716,0,0,0,0,0,0,0,0,6.05,46.45481222
P,75.1193,76.7656,798.7297,19.9542,6.166667,0.4216,228.1658,1,4.67376038,0.31291828,66,22.726291,8.147908985,0.021653164,0,0,0,0,0,0,0,0,5.65,22.76499892
W,73.5026,75.3769,816.2973,22.51,5.285714,0.5002,258.079,1,4.164587603,0.27882807,51,20.027638,7.979736033,0.019917052,0,0,0,0,0,0,0,0,6.016666667,18.14800904
D,91.4271,93.985,656.2609,4.6409,3.285714,5.0965,68.2165,1,1.462143467,0.06657075,52,20.256507,8.265089102,0.03833912,0,0,0,0,0,0,0,0,4.983333333,80.76872715
J,102.0034,102.8454,588.2157,1.7029,1.821429,9.2669,13.3093,1,13.17287613,0.599755261,70,26.417819,7.057684046,0.012683256,0,0,0,0,0,0,0,0,21.78333333,28.99225585
M,99.3243,103.2702,604.0816,3.6977,2.333333,64.8109,101.5644,1,8.047222016,0.366386482,29,27.349516,6.01433384,0.009259259,0,0,0,0,0,0,0,0,6.05,29.62849169
P,99.6612,103.4126,602.04,3.4456,2.380952,16.0861,31.4653,1,4.603750843,0.209606753,64,26.988656,6.997360716,0.01171875,0,0,0,0,0,0,0,0,6.733333333,15.40455872
W,105.2809,106.7996,569.9038,2.859,2.363636,8.2159,43.6346,1,7.191482125,0.327425021,38,27.048997,6.387306607,0.010320216,0,0,0,0,0,0,0,0,5.816666667,6.984872511
D,100.4857,106.9519,597.1,19.114,4.545455,0.7265,608.1617,0.198287671,-0.988453346,-0.060852152,64,21.629289,7.493920238,0.024353781,6025.311413,111.579841,149313,55,17.942734,49.12430585,0.049587674,827.9091041,4.933333333,35.9762653
J,99.681,106.99,601.92,16.031,6.25,4.9133,858.7922,1,6.188989133,0.381012728,44,3.726686,9.45996198,0.047839506,0,0,0,0,0,0,0,0,6.683333333,70.56422292
M,105.9012,114.0684,566.566,14.9322,5.888889,28.9419,493.1944,1,3.873225587,0.238447381,60,21.759617,7.464212935,0.021267361,0,0,0,0,0,0,0,0,6.083333333,35.42350253
P,111.1111,117.7856,540,14.2753,4,3.6216,479.0947,1,3.679394935,0.226514584,108,19.365375,8.131517125,0.022280093,0,0,0,0,0,0,0,0,18.58333333,111.9894918
W,101.854,107.5654,589.0784,14.1084,4.636364,1.3842,122.6732,1,3.033095706,0.186726466,99,14.687181,8.167525022,0.025462963,0,0,0,0,0,0,0,0,8.4,8.537746734
D,72.5709,75.0563,826.7778,39.674,7.2,1.4764,896.1471,0.136943774,1.07267497,0.082476972,34,25.275409,6.053373545,0.016927083,4636.853,201.6023043,46942,24,20.48688,40.76738609,0.039930556,664.2829319,4.916666667,81.96932524
J,93.7625,97.2447,639.9149,14.628,3.357143,1.02,239.284,0.997277986,5.999701394,0.461311411,57,5.780333,8.98646156,0.040846836,0,0,0,0,0,87.5,0.000868056,5.520992788,6.683333333,28.81066485
M,81.9618,84.4357,732.0488,23.406,5.125,0.7403,310.9274,0.98915009,1.86397675,0.143319423,42,5.039161,9.158268919,0.046199846,0,0,0,0,0,83.33333333,0.002712674,36.49111143,8.2,32.66142553
P,79.4123,85.6164,755.55,24.4862,8,2.4343,564.8004,1,0.81438063,0.062616963,87,12.121914,9.209855403,0.043740355,0,0,0,0,0,0,0,0,5.65,27.60063202
W,83.9776,89.4721,714.4762,20.2718,5.25,0.9762,257.0293,0.860661765,3.721195839,0.286119257,73,12.803297,8.957557743,0.039448302,275.5441302,39.36344717,4784.5,8,2.204108,50.13192612,0.017252604,193.4240216,8,45.43318139
D,70.5124,84.0572,850.9143,51.6841,8.75,3.6587,4202.5368,0.085419735,0.680465322,0.03993184,31,22.861414,5.601505946,0.013406636,1764.044633,76.69759274,78628.5,24,19.204674,37.43961353,0.040581597,723.6657384,4.933333333,88.25291178
J,65.4459,68.4151,916.7879,40.2192,5.5,2.0552,1170.6365,1,2.960925368,0.173756389,81,23.361938,8.224757819,0.027777778,0,0,0,0,0,0,0,0,7.766666667,24.55521647
M,71.3696,75.3201,840.6944,39.6988,5.142857,0.6326,415.0891,0.877038043,2.408325724,0.141328109,80,20.627574,8.019054727,0.024787809,735.3115552,147.062311,16833,6,2.404343,33.42541436,0.009657118,106.7795931,7.133333333,34.35127544
P,67.6684,70.8717,886.6765,58.6617,8.5,1.6164,1413.7951,0.99866176,1.353999661,0.079456948,92,21.939599,8.313918306,0.027584877,0,0,0,0,0,0,0.000108507,16,5.7,31.87876083
W,82.6641,86.3807,725.8293,27.0974,5.857143,0.5641,269.264,0.771096686,-0.313455181,-0.018394533,72,21.699269,7.779381731,0.022907022,1806.062023,112.8788764,21543,17,3.376207,54.02985075,0.023546007,270.4314367,6.95,45.52458589
D,91.1731,97.2132,658.0889,20.1006,7.5,14.9321,1784.7285,0.088183422,0.457678957,0.029729692,42,23.983238,5.806365702,0.016203704,2815.179869,80.43371056,78365.5,36,23.262127,26.11218569,0.027777778,474.5567855,4.933333333,110.1436726
J,91.3393,96.8679,656.8913,20.2812,7.666667,1.4405,553.9295,0.972250771,3.933383661,0.255502867,91,17.451912,8.927271704,0.03988233,173.3666635,173.3666635,0,2,0.170277,66.66666667,0.005750868,51.23194882,5.616666667,39.94759296
M,96.8699,103.8062,619.3878,16.1215,5.444444,28.9123,934.1874,0.225030084,0.758120271,0.049245616,23,4.768524,7.529326792,0.013744213,2367.208098,169.0862927,90057,15,3.436028,62.57763975,0.031684028,327.244875,8.4,48.5882324
P,95.3421,101.7984,629.3125,16.8197,3.692308,0.1992,174.0843,0.922945789,1.740784731,0.113077067,91,22.63085,8.083613657,0.02271412,111.4804503,55.74022516,1132,3,0.99182,69.91150442,0.014648438,130.1793963,5.65,228.4703083
W,93.9249,98.6193,638.8085,16.2206,5.222222,0.3589,190.8102,0.738222698,0.861737432,0.055976331,53,12.652934,8.135543819,0.025655864,2317.464647,231.7464647,42672,11,3.055584,41.51329243,0.01812066,152.4184531,5.55,86.41062945
D,73.5782,78.1657,815.4595,31.481,7.4,0.4239,813.5755,0.16462585,-1.273151303,-0.069547209,39,23.783451,6.848440636,0.023678627,4242.361283,169.6944513,104727.5,26,17.712255,38.76221498,0.046766493,689.0606746,3.85,100.2701163
J,70.2247,75.2068,854.4,58.413,5,0.9938,1392.7026,0.993033786,4.515310619,0.246653522,86,20.326783,8.272173591,0.027922454,0,0,0,0,0,90,0.001953125,29.52727952,6.683333333,31.29750902
M,72.4322,75.4148,828.3611,34.3829,6,1.0799,929.766,0.985412668,0.298626468,0.01631278,68,16.319433,8.60670961,0.034239969,0,0,0,0,0,86.84210526,0.003146701,35.64743413,7.133333333,26.85790598
P,73.5952,76.2389,815.2703,34.7227,3.7,0.6983,639.3303,1,-0.09607939,-0.005248436,108,21.919743,8.277242353,0.023389275,0,0,0,0,0,0,0,0,5.666666667,30.55881668
W,73.7566,78.5135,813.4865,41.2591,7.4,0.3292,487.7933,0.929072486,1.144258897,0.062506328,73,11.741273,8.80910237,0.032503858,853.2543048,170.650861,18973.5,6,0.761538,67.58241758,0.011935764,96.62064397,6.9,47.41269264
D,71.49,74.4048,839.2778,39.1279,5.142857,2.3527,1838.6298,0.083712121,-0.275189009,-0.017442459,49,22.250266,5.751388629,0.012297454,3602.169855,83.77139197,43500,44,19.795812,43.61306325,0.049045139,781.1431335,4.966666667,110.1870692
J,84.7971,90.7716,707.5714,22.4802,7,1.9935,554.7775,1,0.972969766,0.061670288,95,15.447608,8.803199125,0.036554784,0,0,0,0,0,0,0,0,5.6,34.78635784
M,81.1399,86.4803,739.4634,30.5331,5.857143,2.9324,1525.7923,1,-0.096423142,-0.006111642,71,22.410562,7.565928295,0.020495756,0,0,0,0,0,0,0,0,5.016666667,45.07303747
P,84.1965,92.908,712.619,27.609,7,1.377,972.2304,1,-1.629382868,-0.103276088,111,20.838018,8.217815278,0.025607639,0,0,0,0,0,0,0,0,6.716666667,26.0176692
W,80.0721,84.7697,749.325,29.111,6.666667,0.7775,567.3565,1,-1.481659403,-0.093912849,72,21.168389,6.99523688,0.016203704,0,0,0,0,0,0,0,0,6.966666667,80.03513576
D,74.7852,77.3196,802.2973,27.7902,6.166667,0.2669,419.087,0.128248397,0.078242093,0.003992372,15,28.742019,3.689127146,0.004774306,1268.638581,105.7198817,12708.5,13,21.949749,26.13240418,0.032552083,488.7499643,3.366666667,95.46114965
J,75.1087,78.0437,798.8421,30.4102,4.75,0.8701,470.8658,1,4.000297354,0.204118732,63,27.27958,6.865901208,0.010850694,0,0,0,0,0,0,0,0,8.883333333,13.20408213
M,78,80.9498,769.2308,15.9774,4.333333,2.5914,134.982,1,5.132505675,0.261890669,29,28.57153,6.041408012,0.006317515,0,0,0,0,0,0,0,0,6.083333333,38.41591863
P,79.6178,82.5083,753.6,18.1017,4.444444,2.4959,246.3399,1,5.361467963,0.273573673,51,27.810312,6.243007509,0.00945216,0,0,0,0,0,0,0,0,4.766666667,42.49270017
W,77.0396,80.6668,778.8205,22.1154,5.571429,3.5349,753.289,1,3.254809159,0.166079533,21,28.742126,4.879240631,0.005353009,0,0,0,0,0,0,0,0,4.783333333,17.63323623
D,94.9719,97.9112,631.766,10.5555,3.615385,0.6368,154.0854,0.160899037,0.453029454,0.040826199,77,10.659127,8.180302459,0.027826003,6691.67159,92.9398832,129351,73,9.807575,67.17687075,0.081814236,1215.273662,3.366666667,73.2570534
J,97.0489,98.6842,618.2449,10.2274,3.266667,1.1723,23.6371,0.985559567,3.151770714,0.284031904,48,3.836858,9.764162498,0.056086034,0,0,0,1,0.050098,85,0.003580729,30.25171868,6.7,20.56879524
M,95.5287,99.0099,628.0833,10.1574,4,0.8911,91.4339,0.803427959,-0.450578563,-0.040605329,31,4.257701,9.439830289,0.045765818,181.2208597,181.2208597,0,2,0.130204,95.36784741,0.033637153,269.5184227,4.966666667,42.19577282
P,94.0188,96.0922,638.1702,9.8818,2.611111,0.9689,98.4591,0.929075381,-0.055809843,-0.005029483,40,2.915414,9.691524063,0.054446373,112.2035875,56.10179374,1347,3,0.230328,84.29319372,0.016276042,133.4573397,4.566666667,43.50026212
W,96.6313,99.2063,620.9167,11.6981,4,0.5659,113.4745,0.945935583,-0.101122722,-0.009112998,48,5.03898,9.534848116,0.050925926,0,0,0,1,0.080146,90.07092199,0.013563368,98.72630181,4.783333333,54.45179453
D,94.876,96.1538,632.4043,11.7283,2.35,12.7976,20.9411,0.166208791,2.012839736,0.139706498,36,26.297349,5.888912082,0.010368441,2393.824463,92.07017167,51075.5,27,20.977694,24.67051071,0.027018229,508.7532928,2.75,56.97251464
J,98.1636,102.7749,611.2245,10.348,3.5,3.5202,59.6652,1,5.15823356,0.358020927,87,20.818039,8.171145203,0.028211806,0,0,0,0,0,0,0,0,5.616666667,68.93862064
M,95.172,97.4659,630.4375,7.8374,2,0.6655,27.6437,1,5.106919502,0.354459339,98,13.404415,7.757084632,0.02025463,0,0,0,0,0,0,0,0,6.05,23.75566876
P,98.8826,103.9501,606.78,9.8113,3.846154,8.6706,162.6105,0.985324232,3.494119623,0.242518671,102,18.403238,8.731428432,0.034384645,0,0,0,1,0.420742,62.79069767,0.003038194,36.29095863,4.616666667,66.5469278
W,96.5244,99.5685,621.6042,9.0681,3.692308,0.7275,53.0719,1,3.705162781,0.257166683,69,23.572543,6.575943109,0.01089892,0,0,0,0,0,0,0,0,5.85,59.42365226
