task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
D,65.9978,71.0564,909.1212,69.4362,8.25,0.4618,1999.7348,0.028080028,0.283992879,0.031409205,49,22.841619,5.991685826,0.012827932,3563.257927,75.81399844,97885.5,48,22.521038,39.4005056,0.049913194,851.22692,6.3,114.6036225
J,76.428,80.4721,785.0526,67.8466,7.6,0.042,1758.9486,1,2.228917862,0.246515118,88,13.674704,8.790255523,0.035638503,0,0,0,0,0,0,0,0,7.3,54.16654297
M,74.7701,81.3008,802.4595,57.7792,6.166667,0.5879,1536.6861,1,2.293686287,0.253678412,61,21.158337,7.239532237,0.017119985,0,0,0,0,0,0,0,0,7.366666667,68.09035627
P,74.1608,84.9858,809.0526,62.404,7.6,0.3829,1991.1416,1,1.439139675,0.159166783,99,17.882425,8.577557534,0.030864198,0,0,0,0,0,0,0,0,7.65,32.24188012
W,72.5158,75.7384,827.4054,64.0389,9.25,0.2414,1836.4468,1,1.714056387,0.189572177,74,11.290317,8.430143787,0.026957948,0,0,0,0,0,0,0,0,7.816666667,75.09465183
D,57.496,62.2924,1043.5517,65.0522,7.25,0.281,1001.5486,0.030323915,-0.275352232,-0.022182828,28,25.446016,5.464311016,0.013213735,1751.210857,64.85966137,26903.5,28,25.446016,31.91186923,0.028211806,675.1914447,4.016666667,14.28340431
J,58.5071,60.4595,1025.5172,33.9716,7.25,0.2349,1056.0874,0.971621622,4.380879197,0.352930818,85,22.791119,8.217789394,0.024787809,203.8877385,67.96257951,2194,4,0.511036,61.9047619,0.004231771,47.57128058,4.533333333,24.63749513
M,64.8351,70.7047,925.4242,39.7749,6.6,13.9412,5382.678,0.944291609,2.363319405,0.19039289,44,23.482625,7.393839125,0.02117091,0,0,0,1,0.180384,61.11111111,0.009982639,102.3943643,5.7,69.1597245
P,56.7721,59.5593,1056.8571,42.2397,7,2.614,2051.5955,1,1.412465889,0.11379057,84,25.947286,7.385177359,0.013551312,0,0,0,0,0,0,0,0,4.966666667,29.75779918
W,60.2591,64.3915,995.7,38.0392,7.5,0.7856,842.5649,0.920812183,3.578853508,0.288318312,53,25.365962,6.296563373,0.013310185,330.5859261,55.09765436,4070,7,1.492754,60.25641026,0.010416667,112.1181132,4.616666667,22.73445485
