id,task,y_first_fix,y_first_gaze,RT_adoff,RT_steer,mean_hand,mean_eye,big_maneuver
35,M,6.942567,3.356021,7.116666667,7.216666667,37.12271637,22.2308957,0
37,M,2.41442,1.683045,4.983333333,4.633333333,34.15607061,9.069436492,0
38,M,0,0.090137,3.9,4.75,14.37604809,23.86751322,0
39,M,1.978812,1.898848,6.05,5.533333333,46.45481222,30.43205884,0
40,M,3.436212,3.085585,6.05,5.6,29.62849169,45.3186981,0
41,M,5.299595,3.406164,6.083333333,5.966666667,35.42350253,34.67603668,0
42,M,4.538177,3.967177,8.2,7.65,32.66142553,26.1540622,1
43,M,1.833267,0.100164,7.133333333,7.066666667,34.35127544,7.132744348,1
44,M,3.135644,3.145712,8.4,8.633333333,48.5882324,9.28289963,1
45,M,5.540031,5.389734,7.133333333,6.5,26.85790598,31.03198852,0
46,M,4.708461,3.836934,5.016666667,5.283333333,45.07303747,26.98027145,0
47,M,1.92348,1.76319,6.083333333,5.666666667,38.41591863,30.8623852,0
48,M,0,0.160289,4.966666667,6.216666667,42.19577282,6.701090219,0
50,M,2.304189,2.224044,6.05,6.266666667,23.75566876,17.98200367,0
2,P,2.394325,1.903386,4.75,5.083333333,22.55243409,42.93180304,0
3,P,4.117399,2.073702,5.533333333,5.75,26.62273094,6.421154136,0
4,P,2.163918,1.893403,2.333333333,2.633333333,48.94014849,39.20210872,0
5,P,5.279577,1.943533,7.583333333,6.033333333,26.76991187,20.78091298,1
6,P,0,0,8.9,8.7,29.33294379,13.96604498,1
7,P,3.035485,2.765003,7.65,6.416666667,32.24188012,17.04076996,1
8,P,1.92348,1.653042,4.966666667,4,29.75779918,34.46050382,0
9,P,4.748574,4.418,5.8,6.183333333,19.11529775,53.43103837,0
10,P,6.551912,6.030968,8.083333333,7.316666667,39.56472577,28.97161405,1
11,P,4.297743,3.766814,11.68333333,7.45,134.9552573,42.69198607,1
12,P,2.023643,1.6029,7.833333333,6.166666667,17.07711978,19.96041659,1
13,P,3.576523,3.255943,6.75,6.983333333,37.27077056,9.280059174,1
14,P,0,0.090215,5.666666667,4.933333333,29.81586077,13.8478942,0
15,P,0,0.090171,5.716666667,5.6,31.92025656,4.966197126,0
16,P,12.913339,12.522599,5.716666667,4.733333333,60.99672239,33.84911464,0
17,P,2.304188,2.053685,4.566666667,3.55,39.9350465,23.27422437,0
18,P,3.646598,3.165728,5.666666667,6.366666667,33.1374758,44.33494301,0
19,P,0.580995,0.420705,4.583333333,5.45,57.7360801,44.00800132,0
20,P,4.61833,2.334198,5.666666667,5.083333333,26.85526683,36.73085945,0
21,P,0,0,6.866666667,4.983333333,62.07487664,22.34229238,0
22,P,2.624731,2.023643,4.616666667,4.4,56.4339601,82.23593569,0
23,P,1.963553,1.833349,6.783333333,5.533333333,37.42473463,28.62562664,0
24,P,2.755017,1.993639,4.6,4.633333333,34.64423282,12.78897281,0
25,P,4.718486,1.332417,7.833333333,6.316666667,57.89361323,5.542341137,1
26,P,5.399763,4.508099,7.9,6.716666667,35.10264806,39.39034022,1
27,P,3.29597,1.713048,4.566666667,4.133333333,103.8878138,22.03971791,0
28,P,1.758928,1.858878,5.65,3.65,71.4426395,35.38732083,0
29,P,0.841523,0.510957,5.65,6.3,45.56238117,9.916765665,0
31,P,2.033712,1.76319,8.9,8.716666667,79.58532004,40.43090794,1
32,P,2.003625,0.711236,3.516666667,4.016666667,66.96638714,27.8377978,0
33,P,7.132905,4.117481,7.866666667,6.816666667,42.72142932,38.30107033,1
34,P,2.238622,2.178676,7.8,6.2,102.8096614,40.19460861,1
35,P,8.24495,6.952637,8.866666667,8.333333333,42.83524651,16.73849652,1
37,P,2.975358,2.845147,4.566666667,4.75,14.79054661,15.05101183,0
38,P,1.923481,1.272252,2.933333333,3.3,27.08307392,12.51137184,0
39,P,1.858877,1.858877,5.65,5.75,22.76499892,37.79176668,0
40,P,5.119296,1.61297,6.733333333,6.516666667,15.40455872,22.91700955,1
41,P,3.095568,2.975351,18.58333333,8.116666667,111.9894918,47.35520194,1
42,P,2.394365,2.143937,5.65,5.65,27.60063202,22.95562296,0
43,P,1.92348,1.522755,5.7,6.083333333,31.87876083,7.859962212,0
44,P,3.937132,3.79682,5.65,6.533333333,228.4703083,23.88253832,1
45,P,1.69303,1.562828,5.666666667,5.833333333,30.55881668,27.07130828,0
46,P,2.744984,2.43443,6.716666667,5.85,26.0176692,19.34146138,0
47,P,2.845148,2.644785,4.766666667,4.266666667,42.49270017,34.21139253,0
48,P,6.862384,0.090131,4.566666667,4.3,43.50026212,13.88667554,0
50,P,1.803263,1.69307,4.616666667,4.7,66.5469278,31.99676503,0
2,W,2.163914,1.753203,5.7,5.216666667,51.8812726,34.24441945,0
3,W,6.561906,1.172174,8.016666667,7.233333333,124.9468185,60.71656021,1
4,W,1.542775,1.212203,2.466666667,3.45,91.59632571,54.39705247,0
5,W,1.652964,1.372458,7.383333333,7.95,85.11218195,23.392376,1
6,W,0,0.090213,7.633333333,7.9,50.3781786,17.00176172,1
7,W,4.187558,3.766815,7.816666667,5.25,75.09465183,39.14763161,1
8,W,1.923481,1.512762,4.616666667,4.066666667,22.73445485,47.15898301,0
9,W,3.716673,3.406162,3.683333333,4.033333333,4.765266133,10.56902044,0
10,W,4.117474,3.997256,6.166666667,5.916666667,16.85247623,31.40773224,0
11,W,6.131093,5.059121,6.333333333,6.766666667,46.11767179,122.1536182,1
12,W,5.299557,1.803263,6.95,6.783333333,27.16546465,30.04216228,1
13,W,4.728556,3.997258,8.1,7.5,139.3442555,38.11497017,1
14,W,0.911675,0.781432,5.816666667,5.883333333,35.00499222,13.41899497,0
15,W,2.093756,2.013612,4.733333333,4.483333333,70.05079412,11.91098024,0
16,W,2.394283,1.582847,3.733333333,3.166666667,48.50059705,67.23802003,0
17,W,1.903461,1.492669,5.883333333,4.116666667,35.70830624,32.82219419,0
18,W,1.51277,1.262342,7.966666667,6.05,63.82878125,58.40016905,1
19,W,7.012689,5.950785,6.933333333,6.6,102.2764288,41.8835538,1
20,W,4.077409,3.095651,5.816666667,4.166666667,22.397445,77.49923173,0
21,W,0.16029,0.09017,6.9,5.383333333,143.6559547,68.42613335,1
22,W,2.304151,0.470802,5.85,3.65,23.90653753,3.252990082,0
23,W,2.985383,2.8151,8.033333333,7.05,96.69971894,66.68808416,1
24,W,1.402539,0.520943,3.666666667,4.35,23.62068828,64.74470278,0
25,W,3.04551,2.714861,5.85,5.083333333,95.14126322,24.87319455,0
26,W,3.937131,3.796819,5.25,4.45,66.42150965,56.53636572,0
27,W,2.604715,2.394284,5.883333333,4.95,55.50396005,60.73158925,0
28,W,3.877677,0.179876,5.816666667,5.133333333,110.7031628,37.28785597,0
29,W,0.420743,0.370678,6.883333333,6.8,13.57202774,36.41598747,1
31,W,4.297744,3.2058,6.916666667,4.783333333,65.31702404,72.0928419,1
32,W,1.853404,1.76319,3.666666667,3.883333333,NA,NA,0
33,W,11.741242,9.597421,10.18333333,10.26666667,57.68145845,71.20350311,1
34,W,4.317375,4.217431,5.833333333,5.8,131.2849421,74.9019942,0
35,W,1.963552,1.883408,5.833333333,5.666666667,103.6973237,99.53782549,0
37,W,4.548212,0.180309,6.716666667,5.45,16.69022988,11.22533618,1
38,W,1.152036,1.192108,4.833333333,3.016666667,46.81946531,47.00986258,0
39,W,2.538427,2.278583,6.016666667,2.85,18.14800904,100.8708254,0
40,W,4.067302,3.696664,5.816666667,4.883333333,6.984872511,62.00993845,0
41,W,8.615588,3.536451,8.4,7.733333333,8.537746734,77.30002428,1
42,W,3.175796,2.254128,8,8.25,45.43318139,47.67102972,1
43,W,1.242249,1.061941,6.95,6.9,45.52458589,45.60551832,1
44,W,0.32058,0.090131,5.55,6.916666667,86.41062945,18.18025735,1
45,W,5.189408,5.029118,6.9,6.416666667,47.41269264,58.38293912,1
46,W,3.316031,2.975434,6.966666667,7.516666667,80.03513576,61.84966153,0
47,W,1.703023,1.382443,4.783333333,5.566666667,17.63323623,66.96847573,0
48,W,19.2348,0.150221,4.783333333,4.75,54.45179453,38.19927766,0
50,W,2.264039,2.234034,5.85,5.866666667,59.42365226,96.60762498,0
