"id","task","mean_hand","mean_eye"
"10","D",57.0010961912792,28.7358616690549
"10","J",51.0184952401275,33.7396089357129
"10","M",62.7420811998803,16.036317546738
"10","P",39.5647257721429,28.9716140510456
"10","W",16.8524762274344,31.4077322413591
"11","D",13.6092990422337,26.0909273264674
"11","J",129.607937197113,48.063674780153
"11","M",102.994419983063,108.165867274573
"11","P",134.955257278608,42.691986069251
"11","W",46.1176717922155,122.15361818717
"12","D",28.0290342713585,21.6786460046677
"12","J",30.812648072792,31.6099658882247
"12","M",7.73225626693859,32.4884117093019
"12","P",17.0771197785336,19.9604165910868
"12","W",27.1654646511093,30.042162276011
"13","D",92.1781091242384,14.8513940965195
"13","J",33.7690556507438,50.0352020385967
"13","M",29.2776242397254,8.62107363853037
"13","P",37.2707705602189,9.280059174264
"13","W",139.344255538486,38.1149701683093
"14","D",27.4091080878869,16.8586268506359
"14","J",16.4881818816758,15.070646552438
"14","M",16.7775157191787,6.4268744144642
"14","P",29.8158607731172,13.8478942006107
"14","W",35.0049922214049,13.4189949723617
"15","D",43.3956940517035,7.64197582126993
"15","J",36.5691341625198,13.1112365823344
"15","M",25.6957566626543,22.1233622420468
"15","P",31.9202565594275,4.96619712569312
"15","W",70.050794117533,11.9109802367844
"16","D",49.9222724268543,30.9968298570698
"16","J",39.8839693363391,33.3973043849312
"16","M",48.8466163671499,42.0728136518942
"16","P",60.9967223890755,33.8491146408909
"16","W",48.5005970535136,67.2380200271504
"17","D",55.2330857158126,19.9034332837217
"17","J",27.1979954665488,10.8059060930936
"17","M",28.1665440339039,43.598536503251
"17","P",39.9350465004293,23.2742243663757
"17","W",35.7083062421819,32.8221941918483
"18","D",99.4118543835828,33.4483486906585
"18","J",20.6420174808403,8.96511836773565
"18","M",21.1465330336279,17.4767498885072
"18","P",33.1374757990997,44.3349430073596
"18","W",63.8287812456938,58.400169047394
"19","D",32.8258077907564,22.3360573938686
"19","J",63.00421740798,44.124032450726
"19","M",82.8956055915109,41.8696302944692
"19","P",57.7360800977012,44.0080013151683
"19","W",102.276428769436,41.8835537980807
"2","D",50.0753560312093,18.1224818258144
"2","J",72.3289093815615,31.4651084112092
"2","M",66.7286771263056,17.1476646723324
"2","P",22.5524340876822,42.9318030355512
"2","W",51.8812725992745,34.2444194498576
"20","D",53.7619210756896,28.792253789841
"20","J",37.3564182590768,29.1958990770701
"20","M",69.8684632278899,39.035340469479
"20","P",26.855266825331,36.7308594466135
"20","W",22.3974450008311,77.4992317349097
"21","D",63.0396634610655,16.8033673640794
"21","J",76.5968319238125,16.3576895448916
"21","M",21.4022825213497,6.52343545435909
"21","P",62.0748766372355,22.3422923827566
"21","W",143.65595469065,68.426133350462
"22","D",132.439014877861,69.7483996885997
"22","J",29.5775560145545,7.6545364639311
"22","M",59.7706735921323,67.0820314963237
"22","P",56.4339601042051,82.2359356938812
"22","W",23.9065375276548,3.25299008199584
"23","D",42.3583328068664,9.34026653348759
"23","J",32.809117273168,32.1232464868387
"23","M",30.9857383395741,17.6255205411759
"23","P",37.42473463002,28.6256266351416
"23","W",96.6997189402585,66.6880841621069
"24","D",53.9435982196495,9.96244071989583
"24","J",45.1651757399597,12.4381230216846
"24","M",40.2346247926753,10.105057574207
"24","P",34.6442328150228,12.788972812028
"24","W",23.6206882846314,64.7447027776017
"25","D",86.4535932330662,11.7942665895541
"25","J",31.347210672992,9.45195382303332
"25","M",40.1451505754286,32.9091225156635
"25","P",57.8936132257831,5.54234113716675
"25","W",95.1412632168015,24.8731945488037
"26","D",50.4834353921371,46.1901930678809
"26","J",77.773547031577,43.5030118893103
"26","M",78.6226667589643,53.3991907840522
"26","P",35.1026480631317,39.390340215746
"26","W",66.4215096465042,56.5363657184733
"27","D",36.232228450773,24.3854686439598
"27","J",54.4838650776563,37.1244145007035
"27","M",71.5866300395545,41.6047138447878
"27","P",103.887813842144,22.0397179101289
"27","W",55.5039600485278,60.7315892477229
"28","D",45.1483971865526,22.9535408258708
"28","J",39.903518779302,26.3613634333977
"28","M",69.5718691473607,15.2261879811935
"28","P",71.4426395044501,35.3873208348417
"28","W",110.703162795283,37.2878559734813
"29","D",73.2047852389195,11.1899668826799
"29","J",42.3317742688719,18.0652699188041
"29","M",41.9257929670756,23.5557047680866
"29","P",45.5623811656312,9.91676566545121
"29","W",13.5720277415475,36.4159874701225
"3","D",99.4244208806159,3.68277624966971
"3","J",37.1895722374282,2.89088172826099
"3","M",37.2643237167335,14.8472708729696
"3","P",26.6227309381975,6.42115413632814
"3","W",124.94681846999,60.7165602069142
"31","D",53.8890914400443,35.5227706982245
"31","J",68.9065672061061,43.5343609834522
"31","M",65.1325172690221,39.6070099476096
"31","P",79.5853200423343,40.4309079354215
"31","W",65.3170240354853,72.0928419047141
"32","D",101.522288421645,29.5918810836543
"32","J",58.3071373933463,12.2265235509689
"32","M",64.90875970891,38.3254050849982
"32","P",66.9663871368871,27.8377978044222
"33","D",31.4772049319731,53.1181814892645
"33","J",15.6686236245775,32.7577048196825
"33","M",46.0843897454988,41.0418204394441
"33","P",42.7214293208748,38.3010703271881
"33","W",57.6814584544962,71.2035031094125
"34","D",50.9919569991282,33.296596188486
"34","J",58.0047517378681,55.5061049256249
"34","M",32.0600329978782,17.2052953005074
"34","P",102.809661394196,40.1946086132082
"34","W",131.284942138693,74.9019941990077
"35","D",75.5944834121298,18.3217402635795
"35","J",36.2856537987745,14.5395638461704
"35","M",37.1227163713984,22.2308956982959
"35","P",42.8352465144446,16.7384965162211
"35","W",103.697323681577,99.5378254913904
"37","D",147.758649453889,13.1245974422025
"37","J",38.8823089053726,8.05981601277612
"37","M",34.1560706071616,9.06943649209962
"37","P",14.7905466094454,15.0510118284997
"37","W",16.6902298785858,11.2253361823267
"38","D",49.3545071194644,25.0013440102018
"38","J",42.5732863620252,20.8106947416031
"38","M",14.3760480894281,23.8675132185937
"38","P",27.0830739174687,12.5113718427252
"38","W",46.8194653088741,47.0098625809879
"39","D",44.2138688207047,25.6432197462981
"39","J",38.3414516980242,36.3298113159869
"39","M",46.4548122176491,30.4320588400649
"39","P",22.7649989234838,37.79176667992
"39","W",18.1480090414966,100.870825356745
"4","D",32.6716337830275,29.7042840287142
"4","J",48.2150935926893,44.0414126961048
"4","M",34.4427106647874,18.4880217869395
"4","P",48.9401484938012,39.2021087217381
"4","W",91.5963257096354,54.3970524692351
"40","D",80.7687271497436,19.7397957009514
"40","J",28.9922558527279,19.9375571231893
