id,task,1,2,3,4,5,6,7,8,9,10
26,P,92450,104176,104650,104720,104972,107178,NA,NA,NA,NA
26,W,25795,38867,43144,NA,NA,NA,NA,NA,NA,NA
27,D,54500,68403,70056,NA,NA,NA,NA,NA,NA,NA
27,J,380169,390222,391530,NA,NA,NA,NA,NA,NA,NA
27,M,29323,44191,44493,44743,44753,45660,NA,NA,NA,NA
27,P,75273,87069,89416,NA,NA,NA,NA,NA,NA,NA
27,W,1836,14907,15260,15457,15649,17930,NA,NA,NA,NA
28,D,224548,238385,238617,238943,239264,241073,NA,NA,NA,NA
28,J,273039,283156,283492,283706,284075,285399,NA,NA,NA,NA
28,M,197772,212702,213196,213245,213585,214853,NA,NA,NA,NA
28,P,246252,258047,258386,258603,258710,259755,NA,NA,NA,NA
28,W,169988,182998,183347,183548,183800,186176,NA,NA,NA,NA
29,D,659203,673106,673400,673658,673982,674368,NA,NA,NA,NA
29,J,701924,711976,712377,712522,712831,713819,NA,NA,NA,NA
29,M,629759,644562,644990,645107,645508,646244,NA,NA,NA,NA
29,P,678735,690400,690739,690949,691257,692035,NA,NA,NA,NA
29,W,724586,737531,737944,738077,738398,738895,NA,NA,NA,NA
3,D,215880,229911,230272,230458,230790,231232,NA,NA,NA,NA
3,J,268543,278532,278933,279078,279257,279926,NA,NA,NA,NA
3,M,187259,202571,203002,203115,204036,205721,NA,NA,NA,NA
3,P,237658,249451,249792,250002,250246,251134,NA,NA,NA,NA
3,W,152989,166315,166797,166857,167444,168958,NA,NA,NA,NA
31,D,267019,280795,281156,281345,281996,282489,NA,NA,NA,NA
31,J,186593,196519,196919,197068,197630,198504,NA,NA,NA,NA
31,M,239924,254663,255091,255212,255738,257121,NA,NA,NA,NA
31,P,153739,165468,166002,166010,166843,168932,NA,NA,NA,NA
31,W,211665,224608,225023,225160,225670,226670,NA,NA,NA,NA
32,D,49349,63443,63610,64009,64193,64676,NA,NA,NA,NA
32,J,212524,222705,223042,223255,223431,225790,NA,NA,NA,NA
32,M,16887,31622,31925,32183,32443,34585,NA,NA,NA,NA
32,P,73269,85189,85400,85751,85919,87444,NA,NA,NA,NA
32,W,244171,257182,257402,257781,258243,260940,NA,NA,NA,NA
33,D,611098,624934,625166,625497,625620,627137,NA,NA,NA,NA
