id,task,START,TOR1,AD_off,TOR2,AD_On,END,abnormal,RT_adoff,T_steer,RT_steer,T_gas,RT_gas,,window start_fromend ,
12,W,7712,20718,21135,21265,21589,22588,,6.95,21125,6.783333333,NA,#VALUE!,,186.7666667,03:07
13,D,32238,46269,46694,46815,47212,48205,,7.083333333,46632,6.05,46894,10.41666667,,203.85,03:24
13,J,89577,99821,100222,100367,100675,101434,,6.683333333,100185,6.066666667,100473,10.86666667,,140.7333333,02:21
13,M,7338,22201,22633,22746,23151,24047,,7.2,22639,7.3,22964,12.71666667,,217.7166667,03:38
13,P,53512,65495,65900,66041,66354,68201,,6.75,65914,6.983333333,66196,11.68333333,,169.7166667,02:50
13,W,283161,296488,296974,297030,297556,299167,,8.1,296938,7.5,297303,13.58333333,,192.1166667,03:12
14,D,7042,21003,21237,21564,22142,23267,,3.9,21288,4.75,21353,5.833333333,,202.6833333,03:23
14,J,61408,71590,72056,72132,72638,74747,,7.766666667,72041,7.516666667,72169,9.65,,139.7,02:20
14,M,170542,185537,185902,186084,186678,188220,,6.083333333,185879,5.7,186096,9.316666667,,219.9166667,03:40
14,P,28007,39864,40204,40418,40916,42020,,5.666666667,40160,4.933333333,40258,6.566666667,,167.6166667,02:48
14,W,85927,99001,99350,99551,99932,100721,,5.816666667,99354,5.883333333,99441,7.333333333,,187.9,03:08
15,D,97911,120856,121282,121403,121865,123126,,7.1,121141,4.75,121223,6.116666667,,352.4166667,05:52
15,J,160357,170476,170746,171033,172039,172648,,4.5,170782,5.1,170744,4.466666667,,138.65,02:19
15,M,214218,229022,229312,229576,229969,230676,,4.833333333,229329,5.116666667,229310,4.8,,216.7333333,03:37
15,P,128095,140015,140358,140568,141715,142679,,5.716666667,140351,5.6,140421,6.766666667,,168.6666667,02:49
15,W,185546,198494,198778,199048,199296,201679,,4.733333333,198763,4.483333333,198948,7.566666667,,185.8,03:06
16,D,59243,73081,73246,73649,74345,76175,,2.75,73209,2.133333333,73209,2.133333333,,200.6333333,03:21
16,J,1286569,1296622,1296894,1297180,1297541,1298252,,4.533333333,1296859,3.95,1296847,3.75,,137.55,02:18
16,M,32585,47387,47623,47942,48141,48630,,3.933333333,47634,4.116666667,47609,3.7,,216.7,03:37
16,P,1255755,1267930,1268273,1268479,1268985,1270282,,5.716666667,1268214,4.733333333,1268272,5.7,,172.9166667,02:53
16,W,8221,21163,21387,21717,22098,23001,,3.733333333,21353,3.166666667,21361,3.3,,185.7,03:06
17,D,56726,70756,70923,71323,71764,72515,,2.783333333,70919,2.716666667,70908,2.533333333,,203.8333333,03:24
17,J,183579,193632,193969,194183,194616,196380,,5.616666667,193884,4.2,193943,5.183333333,,137.55,02:18
17,M,32604,47344,47643,47893,48225,49614,,4.983333333,47592,4.133333333,47614,4.5,,215.6666667,03:36
17,P,81752,93484,93758,94041,94470,96260,,4.566666667,93697,3.55,93730,4.1,,165.5333333,02:46
17,W,6689,19632,19985,20182,20567,21458,,5.883333333,19879,4.116666667,20150,8.633333333,,185.7166667,03:06
18,D,250872,264964,265263,265517,265717,266913,,4.983333333,265190,3.766666667,265189,3.75,,204.8666667,03:25
18,J,309071,319061,319462,319612,319916,320738,,6.683333333,319432,6.183333333,319661,10,,136.5,02:16
18,M,218245,232987,233413,233530,233866,236294,,7.1,233348,6.016666667,233688,11.68333333,,215.7,03:36
18,P,277871,289793,290133,290343,290651,291854,,5.666666667,290175,6.366666667,290403,10.16666667,,168.7,02:49
18,W,184496,197506,197984,198048,198373,200133,,7.966666667,197869,6.05,197979,7.883333333,,186.8333333,03:07
19,D,34660,48497,48729,49055,49507,50014,,3.866666667,48696,3.316666667,48697,3.333333333,,200.6166667,03:21
19,J,8034,17958,18426,18503,19654,21104,,7.8,18406,7.466666667,18409,7.516666667,,135.4,02:15
19,M,226074,241006,241498,241550,NA,241760,1,8.2,241486,8,241472,7.766666667,,218.8666667,03:39
19,P,54626,66357,66632,66914,67666,69377,,4.583333333,66684,5.45,66582,3.75,,165.5166667,02:46
19,W,31873,44819,45235,45364,45688,48597,,6.933333333,45215,6.6,45224,6.75,,185.7666667,03:06
20,D,135351,149248,149486,150195,151802,151802,,3.966666667,149451,3.383333333,149479,3.85,,201.6166667,03:22
20,J,9902,20017,20552,20560,21201,21957,,8.916666667,20491,7.9,20514,8.283333333,,138.5833333,02:19
20,M,70103,84905,85143,85473,85596,86729,,3.966666667,85139,3.9,85329,7.066666667,,216.7,03:37
20,P,156352,168144,168484,168694,169003,170375,,5.666666667,168449,5.083333333,168455,5.183333333,,166.5333333,02:47
20,W,43667,56613,56962,57163,57673,61695,,5.816666667,56863,4.166666667,57124,8.516666667,,185.7666667,03:06
21,D,345114,359854,360086,360412,360733,361528,,3.866666667,360001,2.45,360084,3.833333333,,215.6666667,03:36
21,J,263741,273923,274324,274469,274778,276290,,6.683333333,274189,4.433333333,274282,5.983333333,,139.7,02:20
21,M,317554,332293,332591,332845,333045,334876,,4.966666667,332538,4.083333333,332553,4.333333333,,215.65,03:36
21,P,232376,244485,244897,245034,245544,247522,,6.866666667,244784,4.983333333,244837,5.866666667,,171.8166667,02:52
21,W,288746,301755,302169,302302,302622,303514,,6.9,302078,5.383333333,302128,6.216666667,,186.8166667,03:07
22,D,40422,54390,54620,54939,55526,55981,,3.833333333,54546,2.6,54584,3.233333333,,202.8,03:23
22,J,277877,287932,288268,288482,288787,290510,,5.6,288182,4.166666667,288265,5.55,,137.5833333,02:18
22,M,8920,23591,23894,24144,24412,25637,,5.05,23866,4.583333333,23886,4.916666667,,214.5166667,03:35
22,P,62375,74170,74447,74721,74900,75957,,4.616666667,74434,4.4,74445,4.583333333,,166.5833333,02:47
22,W,306680,319626,319977,320172,320364,323013,,5.85,319845,3.65,319973,5.783333333,,185.7666667,03:06
23,D,231878,245718,245948,246279,246466,247673,,3.833333333,245889,2.85,245932,3.566666667,,200.6666667,03:21
23,J,31714,42209,42620,42753,42816,43745,,6.85,42594,6.416666667,42602,6.55,,144.9166667,02:25
23,M,198451,213319,213827,213863,214135,215397,,8.466666667,213756,7.283333333,213825,8.433333333,,217.8,03:38
23,P,5460,17121,17528,17669,17723,19007,,6.783333333,17453,5.533333333,17444,5.383333333,,164.35,02:44
23,W,166688,179823,180305,180369,180565,182903,,8.033333333,180246,7.05,180324,8.35,,188.9166667,03:09
24,D,247663,261628,261796,262195,262636,263160,,2.8,261809,3.016666667,262227,9.983333333,,202.75,03:23
24,J,297065,307119,307391,307673,307845,308675,,4.533333333,307379,4.333333333,NA,#VALUE!,,137.5666667,02:18
24,M,192284,207151,207450,207703,207903,208647,,4.983333333,207483,5.533333333,NA,#VALUE!,,217.7833333,03:38
24,P,270288,282401,282677,282955,283131,284607,,4.6,282679,4.633333333,NA,#VALUE!,,171.8833333,02:52
24,W,320521,333532,333752,334091,334270,335791,,3.666666667,333793,4.35,NA,#VALUE!,,186.85,03:07
25,D,167673,181704,182000,182254,182776,183925,,4.933333333,181932,3.8,181939,3.916666667,,203.85,03:24
25,J,227892,237945,238281,238491,238799,239438,,5.6,238281,5.6,238263,5.3,,137.55,02:18
25,M,277558,292427,292855,292972,293308,294343,,7.133333333,292821,6.566666667,292814,6.45,,217.8166667,03:38
25,P,192040,203897,204367,204440,205079,207592,,7.833333333,204276,6.316666667,204320,7.05,,167.6166667,02:48
