"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
40388,0.00370267,0,0,2.705425,11.33667,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P40"
40389,0.003234295,0,0,2.661479,11.33667,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P40"
40390,0.002760882,0,0,2.705425,11.33667,0,-1,0,0,0,0,0,0,0,0,1,-0.5941395,12,0,0,"P40"
40391,0.002251184,0,0,2.705425,11.33667,0,-1,0,0,0,0,0,0,0,0,1,-0.5941395,12,0,0,"P40"
40392,0.001768321,0,0,2.661479,11.33667,0,-1,0,0,0,0,0,0,0,0,1,-0.5941395,12,0,0,"P40"
40393,0.001322013,0,0,2.661479,11.33667,0,-1,0,0,0,0,0,0,0,0,1,-0.5939695,12,0,0,"P40"
40394,0.000909997,0,0,2.661479,11.33667,0,-1,0,0,0,0,0,0,0,0,1,-0.5939968,12,0,1,"P40"
40395,0.000543538,0,0,2.661479,11.5152,10.6783,-1,0,0,0,0,0,0,0,0,1,-0.5939873,12,0,1,"P40"
40396,0.0001599076,0,0,2.705425,11.5976,4.938195,-1,0,0,0,0,0,0,0,0,1,-0.5939975,12,0,1,"P40"
40397,0.0004126853,0,0,2.705425,11.5976,0,-1,0,0,0,0,0,0,0,0,1,-0.5939983,12,0,1,"P40"
40398,0.0007520934,0,0,2.661479,11.5976,0,-1,0,0,0,0,0,0,0,0,1,-0.5939999,12,0,0,"P40"
40399,0.001039203,0,0,2.617532,11.5152,-4.921089,-1,0,0,0,0,0,0,0,0,1,-0.5939916,12,0,0,"P40"
40400,0.001255296,0,0,2.705425,11.33667,-10.8483,-1,0,0,0,0,0,0,0,0,1,-0.5939823,12,0,0,"P40"
40401,0.001412558,0,0,2.661479,11.25427,-4.855266,-1,0,0,0,0,0,0,0,0,1,-0.5939909,12,0,0,"P40"
40402,0.001542661,0,0,2.661479,11.25427,0,-1,0,0,0,0,0,0,0,0,1,-0.5939702,12,0,0,"P40"
40403,0.001634677,0,0,2.705425,11.15814,-5.738186,-1,0,0,0,0,0,0,0,0,1,-0.5940052,12,0,0,"P40"
40404,0.001685358,0,0,2.705425,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5939843,12,0,0,"P40"
40405,0.001702427,0,0,2.661479,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940154,12,0,0,"P40"
40406,0.001686936,0,0,2.661479,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.594,12,0,0,"P40"
40407,0.001638,0,0,2.705425,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940149,12,0,0,"P40"
40408,0.001557146,0,0,2.661479,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940068,12,0,0,"P40"
40409,0.001448395,0,0,2.661479,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940074,12,0,0,"P40"
40410,0.001315993,0,0,2.705425,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940046,12,0,0,"P40"
40411,0.001168799,0,0,2.705425,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940009,12,0,0,"P40"
40412,0.001013521,0,0,2.705425,11.15814,0,-1,0,0,0,0,0,0,0,0,1,-0.5940012,12,0,0,"P40"
