"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
237658,0.00370267,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P3"
237659,0.00322639,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P3"
237660,0.002761103,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940982,12,0,0,"P3"
237661,0.002278788,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940982,12,0,0,"P3"
237662,0.001814811,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940982,12,0,0,"P3"
237663,0.001380866,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940359,12,0,0,"P3"
237664,0.0009818549,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940638,12,0,1,"P3"
237665,0.0006356228,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940566,12,0,1,"P3"
237666,0.0004239474,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940714,12,0,1,"P3"
237667,0.0004945424,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940775,12,0,1,"P3"
237668,0.0007320651,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.594083,12,0,1,"P3"
237669,0.0009874203,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940858,12,0,1,"P3"
237670,0.00121614,0,0,0,6.200531,0,-1,0,0,0,0,0,0,0,0,1,-0.5940841,12,0,0,"P3"
237671,0.001405205,0,0,0,6.104401,-5.761228,-1,0,0,0,0,0,0,0,0,1,-0.5940838,12,0,0,"P3"
237672,0.001537068,0,0,0,6.104401,0,-1,0,0,0,0,0,0,0,0,1,-0.5940754,12,0,0,"P3"
