"Frame","veh_speed","stream_1","Acc_Position","Brake_Force","Steering_Angle","Steering_Rate","CVED.ID","Distance","b2b_time","b2b_distance","time_to_col","velocity","x_coord","y_coord","z_coord","type","offset","width","lane_id","AD_State","subject"
250872,0.003545427,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P18"
250873,0.003105908,0,0,2.395056,4.950775,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,"P18"
250874,0.002684385,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01891299,12,0,0,"P18"
250875,0.002225675,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01891299,12,0,0,"P18"
250876,0.001757927,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01897471,12,0,0,"P18"
250877,0.001299372,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01896011,12,0,1,"P18"
250878,0.0008610094,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01897843,12,0,1,"P18"
250879,0.0004577785,0,0,2.35111,4.950775,0,-1,0,0,0,0,0,0,0,0,1,0.01898209,12,0,1,"P18"
250880,0.000185046,0,0,2.35111,5.129303,10.69237,-1,0,0,0,0,0,0,0,0,1,0.01897116,12,0,1,"P18"
250881,0.000504531,0,0,2.395056,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01898343,12,0,1,"P18"
250882,0.0007664373,0,0,2.395056,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01898135,12,0,1,"P18"
250883,0.0009953431,0,0,2.35111,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01899627,12,0,0,"P18"
250884,0.001182906,0,0,2.35111,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01900008,12,0,0,"P18"
250885,0.001334619,0,0,2.35111,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01901857,12,0,0,"P18"
250886,0.001449555,0,0,2.35111,5.129303,0,-1,0,0,0,0,0,0,0,0,1,0.01901403,12,0,0,"P18"
