"Frame","stream_1","CG_x","CG_y","CG_z","subject"
31873,0,-23007.92,12267.96,-1.685396,"P19"
31874,0,-23007.92,12267.96,-1.685186,"P19"
31875,0,-23007.92,12267.96,-1.685034,"P19"
31876,0,-23007.92,12267.96,-1.684927,"P19"
31877,0,-23007.92,12267.96,-1.684864,"P19"
31878,0,-23007.92,12267.96,-1.684843,"P19"
31879,0,-23007.92,12267.96,-1.68486,"P19"
31880,0,-23007.92,12267.96,-1.684912,"P19"
31881,0,-23007.92,12267.96,-1.684995,"P19"
31882,0,-23007.92,12267.96,-1.685105,"P19"
31883,0,-23007.92,12267.96,-1.685235,"P19"
31884,0,-23007.92,12267.96,-1.685382,"P19"
31885,0,-23007.92,12267.96,-1.685542,"P19"
31886,0,-23007.92,12267.96,-1.685708,"P19"
31887,0,-23007.92,12267.96,-1.685878,"P19"
31888,0,-23007.92,12267.96,-1.686048,"P19"
31889,0,-23007.92,12267.96,-1.686214,"P19"
31890,0,-23007.92,12267.96,-1.686372,"P19"
31891,0,-23007.92,12267.96,-1.686522,"P19"
31892,0,-23007.92,12267.96,-1.686659,"P19"
31893,0,-23007.92,12267.96,-1.686784,"P19"
31894,0,-23007.92,12267.96,-1.686893,"P19"
31895,0,-23007.92,12267.96,-1.686988,"P19"
31896,0,-23007.92,12267.96,-1.687067,"P19"
31897,0,-23007.92,12267.96,-1.687129,"P19"
31898,0,-23007.92,12267.96,-1.687177,"P19"
31899,0,-23007.92,12267.96,-1.687209,"P19"
31900,0,-23007.92,12267.96,-1.687226,"P19"
31901,0,-23007.92,12267.96,-1.687231,"P19"
31902,0,-23007.92,12267.96,-1.687223,"P19"
31903,0,-23007.92,12267.96,-1.687205,"P19"
31904,0,-23007.92,12267.96,-1.687177,"P19"
31905,0,-23007.92,12267.96,-1.687141,"P19"
31906,0,-23007.92,12267.96,-1.687098,"P19"
31907,0,-23007.92,12267.96,-1.68705,"P19"
31908,0,-23007.92,12267.96,-1.686999,"P19"
31909,0,-23007.92,12267.96,-1.686946,"P19"
31910,0,-23007.92,12267.96,-1.686891,"P19"
31911,0,-23007.92,12267.96,-1.686837,"P19"
31912,0,-23007.92,12267.96,-1.686784,"P19"
31913,0,-23007.92,12267.96,-1.686734,"P19"
31914,0,-23007.92,12267.96,-1.686686,"P19"
31915,0,-23007.92,12267.96,-1.686642,"P19"
31916,0,-23007.92,12267.96,-1.686603,"P19"
31917,0,-23007.92,12267.96,-1.686568,"P19"
31918,0,-23007.92,12267.96,-1.686538,"P19"
31919,0,-23007.92,12267.96,-1.686513,"P19"
31920,0,-23007.92,12267.96,-1.686494,"P19"
31921,0,-23007.92,12267.96,-1.686479,"P19"
31922,0,-23007.92,12267.96,-1.686469,"P19"
