"Frame","stream_1","CG_x","CG_y","CG_z","subject"
166030,0,-19163.45,10005.6,-1.738134,"P5"
166031,0,-19163.45,10005.6,-1.737939,"P5"
166032,0,-19163.45,10005.6,-1.737782,"P5"
166033,0,-19163.45,10005.6,-1.737651,"P5"
166034,0,-19163.45,10005.59,-1.737547,"P5"
166035,0,-19163.45,10005.59,-1.737468,"P5"
166036,0,-19163.45,10005.59,-1.737414,"P5"
166037,0,-19163.45,10005.59,-1.737384,"P5"
166038,0,-19163.45,10005.59,-1.737375,"P5"
166039,0,-19163.45,10005.59,-1.737387,"P5"
166040,0,-19163.45,10005.59,-1.737417,"P5"
166041,0,-19163.45,10005.59,-1.737462,"P5"
166042,0,-19163.45,10005.59,-1.737521,"P5"
166043,0,-19163.45,10005.59,-1.737591,"P5"
166044,0,-19163.45,10005.6,-1.73767,"P5"
166045,0,-19163.45,10005.6,-1.737754,"P5"
166046,0,-19163.45,10005.6,-1.737843,"P5"
166047,0,-19163.45,10005.6,-1.737933,"P5"
166048,0,-19163.45,10005.6,-1.738023,"P5"
166049,0,-19163.45,10005.6,-1.73811,"P5"
166050,0,-19163.45,10005.6,-1.738194,"P5"
166051,0,-19163.45,10005.6,-1.738273,"P5"
166052,0,-19163.45,10005.6,-1.738346,"P5"
166053,0,-19163.45,10005.6,-1.738411,"P5"
166054,0,-19163.45,10005.6,-1.738469,"P5"
166055,0,-19163.45,10005.6,-1.738519,"P5"
166056,0,-19163.45,10005.6,-1.73856,"P5"
166057,0,-19163.45,10005.6,-1.738593,"P5"
166058,0,-19163.45,10005.6,-1.738617,"P5"
166059,0,-19163.45,10005.6,-1.738633,"P5"
166060,0,-19163.45,10005.6,-1.738642,"P5"
166061,0,-19163.45,10005.6,-1.738643,"P5"
166062,0,-19163.45,10005.6,-1.738638,"P5"
166063,0,-19163.45,10005.6,-1.738627,"P5"
166064,0,-19163.45,10005.6,-1.738611,"P5"
166065,0,-19163.45,10005.6,-1.738592,"P5"
166066,0,-19163.45,10005.6,-1.738568,"P5"
166067,0,-19163.45,10005.6,-1.738542,"P5"
166068,0,-19163.45,10005.6,-1.738514,"P5"
166069,0,-19163.45,10005.6,-1.738486,"P5"
166070,0,-19163.45,10005.6,-1.738456,"P5"
166071,0,-19163.45,10005.6,-1.738427,"P5"
166072,0,-19163.45,10005.6,-1.738399,"P5"
166073,0,-19163.45,10005.6,-1.738372,"P5"
166074,0,-19163.45,10005.6,-1.738347,"P5"
166075,0,-19163.45,10005.6,-1.738324,"P5"
166076,0,-19163.45,10005.6,-1.738303,"P5"
166077,0,-19163.45,10005.6,-1.738285,"P5"
166078,0,-19163.45,10005.6,-1.738269,"P5"
166079,0,-19163.45,10005.6,-1.738256,"P5"
166080,0,-19163.45,10005.6,-1.738246,"P5"
166081,0,-19163.45,10005.6,-1.738239,"P5"
166082,0,-19163.45,10005.6,-1.738234,"P5"
166083,0,-19163.45,10005.6,-1.738232,"P5"
166084,0,-19163.45,10005.6,-1.738232,"P5"
166085,0,-19163.45,10005.6,-1.738234,"P5"
166086,0,-19163.45,10005.6,-1.738237,"P5"
166087,0,-19163.45,10005.6,-1.738243,"P5"
166088,0,-19163.45,10005.6,-1.738249,"P5"
166089,0,-19163.45,10005.6,-1.738257,"P5"
166090,0,-19163.45,10005.6,-1.738266,"P5"
166091,0,-19163.45,10005.6,-1.738275,"P5"
166092,0,-19163.45,10005.6,-1.738284,"P5"
166093,0,-19163.45,10005.6,-1.738294,"P5"
166094,0,-19163.45,10005.6,-1.738303,"P5"
166095,0,-19163.45,10005.6,-1.738312,"P5"
166096,0,-19163.45,10005.6,-1.738321,"P5"
166097,0,-19163.45,10005.6,-1.738329,"P5"
166098,0,-19163.45,10005.6,-1.738336,"P5"
166099,0,-19163.45,10005.6,-1.738343,"P5"
166100,0,-19163.45,10005.6,-1.738349,"P5"
166101,0,-19163.45,10005.6,-1.738354,"P5"
166102,0,-19163.45,10005.6,-1.738358,"P5"
166103,0,-19163.45,10005.6,-1.738361,"P5"
166104,0,-19163.45,10005.6,-1.738363,"P5"
166105,0,-19163.45,10005.6,-1.738364,"P5"
166106,0,-19163.45,10005.6,-1.738365,"P5"
166107,0,-19163.45,10005.6,-1.738365,"P5"
166108,0,-19163.45,10005.6,-1.738364,"P5"
166109,0,-19163.45,10005.6,-1.738363,"P5"
166110,0,-19163.45,10005.6,-1.738361,"P5"
166111,0,-19163.45,10005.6,-1.738359,"P5"
166112,0,-19163.45,10005.6,-1.738356,"P5"
166113,0,-19163.45,10005.6,-1.738353,"P5"
166114,0,-19163.45,10005.6,-1.73835,"P5"
166115,0,-19163.45,10005.6,-1.738347,"P5"
166116,0,-19163.45,10005.6,-1.738344,"P5"
166117,0,-19163.45,10005.6,-1.738341,"P5"
166118,0,-19163.45,10005.6,-1.738338,"P5"
166119,0,-19163.45,10005.6,-1.738335,"P5"
166120,0,-19163.45,10005.6,-1.738333,"P5"
166121,0,-19163.45,10005.6,-1.73833,"P5"
166122,0,-19163.45,10005.6,-1.738328,"P5"
166123,0,-19163.45,10005.6,-1.738327,"P5"
166124,0,-19163.45,10005.6,-1.738325,"P5"
166125,0,-19163.45,10005.6,-1.738324,"P5"
166126,0,-19163.45,10005.6,-1.738323,"P5"
166127,0,-19163.45,10005.6,-1.738322,"P5"
166128,0,-19163.45,10005.6,-1.738322,"P5"
166129,0,-19163.45,10005.6,-1.738322,"P5"
166130,0,-19163.45,10005.6,-1.738322,"P5"
166131,0,-19163.45,10005.6,-1.738322,"P5"
166132,0,-19163.45,10005.6,-1.738322,"P5"
166133,0,-19163.45,10005.6,-1.738323,"P5"
166134,0,-19163.45,10005.6,-1.738324,"P5"
166135,0,-19163.45,10005.6,-1.738325,"P5"
166136,0,-19163.45,10005.6,-1.738326,"P5"
166137,0,-19163.45,10005.6,-1.738327,"P5"
166138,0,-19163.45,10005.6,-1.738328,"P5"
166139,0,-19163.45,10005.6,-1.738329,"P5"
166140,0,-19163.45,10005.6,-1.738329,"P5"
166141,0,-19163.45,10005.6,-1.73833,"P5"
166142,0,-19163.45,10005.6,-1.738331,"P5"
166143,0,-19163.45,10005.6,-1.738332,"P5"
166144,0,-19163.45,10005.6,-1.738333,"P5"
166145,0,-19163.45,10005.6,-1.738334,"P5"
166146,0,-19163.45,10005.6,-1.738334,"P5"
166147,0,-19163.45,10005.6,-1.738335,"P5"
166148,0,-19163.45,10005.6,-1.738335,"P5"
166149,0,-19163.45,10005.6,-1.738335,"P5"
166150,0,-19163.45,10005.6,-1.738335,"P5"
166151,0,-19163.45,10005.6,-1.738336,"P5"
166152,0,-19163.45,10005.6,-1.738336,"P5"
166153,0,-19163.45,10005.6,-1.738336,"P5"
166154,0,-19163.45,10005.6,-1.738335,"P5"
166155,0,-19163.45,10005.6,-1.738335,"P5"
166156,0,-19163.45,10005.6,-1.738335,"P5"
166157,0,-19163.45,10005.6,-1.738335,"P5"
166158,0,-19163.45,10005.6,-1.738335,"P5"
166159,0,-19163.45,10005.6,-1.738334,"P5"
166160,0,-19163.45,10005.6,-1.738334,"P5"
166161,0,-19163.45,10005.6,-1.738334,"P5"
166162,0,-19163.45,10005.6,-1.738333,"P5"
166163,0,-19163.45,10005.6,-1.738333,"P5"
166164,0,-19163.45,10005.6,-1.738333,"P5"
166165,0,-19163.45,10005.6,-1.738332,"P5"
166166,0,-19163.45,10005.6,-1.738332,"P5"
166167,0,-19163.45,10005.6,-1.738332,"P5"
166168,0,-19163.45,10005.6,-1.738332,"P5"
166169,0,-19163.45,10005.6,-1.738332,"P5"
166170,0,-19163.45,10005.6,-1.738331,"P5"
166171,0,-19163.45,10005.6,-1.738331,"P5"
166172,0,-19163.45,10005.6,-1.738331,"P5"
166173,0,-19163.45,10005.6,-1.738331,"P5"
166174,0,-19163.45,10005.6,-1.738331,"P5"
166175,0,-19163.45,10005.6,-1.738331,"P5"
166176,0,-19163.45,10005.6,-1.738331,"P5"
166177,0,-19163.45,10005.6,-1.738331,"P5"
166178,0,-19163.45,10005.6,-1.738331,"P5"
166179,0,-19163.45,10005.6,-1.738331,"P5"
166180,0,-19163.45,10005.6,-1.738331,"P5"
166181,0,-19163.45,10005.6,-1.738331,"P5"
166182,0,-19163.45,10005.6,-1.738332,"P5"
166183,0,-19163.45,10005.6,-1.738332,"P5"
166184,0,-19163.45,10005.6,-1.738332,"P5"
166185,0,-19163.45,10005.6,-1.738332,"P5"
166186,0,-19163.45,10005.6,-1.738332,"P5"
166187,0,-19163.45,10005.6,-1.738332,"P5"
166188,0,-19163.45,10005.6,-1.738332,"P5"
166189,0,-19163.45,10005.6,-1.738332,"P5"
166190,0,-19163.45,10005.6,-1.738332,"P5"
166191,0,-19163.45,10005.6,-1.738332,"P5"
166192,0,-19163.45,10005.6,-1.738332,"P5"
166193,0,-19163.45,10005.6,-1.738332,"P5"
166194,0,-19163.45,10005.6,-1.738332,"P5"
166195,0,-19163.45,10005.6,-1.738333,"P5"
166196,0,-19163.45,10005.6,-1.738333,"P5"
166197,0,-19163.45,10005.6,-1.738333,"P5"
166198,0,-19163.45,10005.6,-1.738333,"P5"
166199,0,-19163.45,10005.6,-1.738333,"P5"
166200,0,-19163.45,10005.6,-1.738333,"P5"
166201,0,-19163.45,10005.6,-1.738333,"P5"
166202,0,-19163.45,10005.6,-1.738332,"P5"
166203,0,-19163.45,10005.6,-1.738332,"P5"
166204,0,-19163.45,10005.6,-1.738332,"P5"
166205,0,-19163.45,10005.6,-1.738332,"P5"
166206,0,-19163.45,10005.6,-1.738332,"P5"
166207,0,-19163.45,10005.6,-1.738332,"P5"
166208,0,-19163.45,10005.6,-1.738332,"P5"
166209,0,-19163.45,10005.6,-1.738332,"P5"
166210,0,-19163.45,10005.6,-1.738332,"P5"
166211,0,-19163.45,10005.6,-1.738332,"P5"
166212,0,-19163.45,10005.6,-1.738332,"P5"
166213,0,-19163.45,10005.6,-1.738332,"P5"
166214,0,-19163.45,10005.6,-1.738332,"P5"
166215,0,-19163.45,10005.6,-1.738332,"P5"
166216,0,-19163.45,10005.6,-1.738332,"P5"
166217,0,-19163.45,10005.6,-1.738332,"P5"
166218,0,-19163.45,10005.6,-1.738332,"P5"
166219,0,-19163.45,10005.6,-1.738332,"P5"
166220,0,-19163.45,10005.6,-1.738332,"P5"
166221,0,-19163.45,10005.6,-1.738332,"P5"
166222,0,-19163.45,10005.6,-1.738332,"P5"
166223,0,-19163.45,10005.6,-1.738332,"P5"
