Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[287.84710693359375, 102.88172912597656]","[291.39361572265625, 90.06708526611328]","[277.683837890625, 88.72991180419922]","[266.7446594238281, 99.03470611572266]","[241.89385986328125, 99.57038116455078]","[254.21438598632812, 179.60885620117188]","[203.41749572753906, 190.2971649169922]","[282.33172607421875, 277.29388427734375]","[240.5248260498047, 305.7591552734375]","[358.43701171875, 294.2377624511719]","[344.92071533203125, 310.47491455078125]","[290.026611328125, 352.8909606933594]","[258.77435302734375, 372.6727294921875]","[453.6802673339844, 342.37542724609375]","[430.8604431152344, 349.95977783203125]","[484.7581787109375, 477.6195373535156]","[504.9615783691406, 488.117431640625]"
2,"[287.759521484375, 102.80184173583984]","[291.3745422363281, 90.01510620117188]","[277.6383361816406, 88.61892700195312]","[266.7019958496094, 99.01653289794922]","[241.82493591308594, 99.4390869140625]","[254.2137451171875, 179.51193237304688]","[203.28053283691406, 190.3175811767578]","[283.0596618652344, 277.0583190917969]","[240.7997589111328, 305.8401184082031]","[360.4376525878906, 293.74285888671875]","[345.8465270996094, 309.4328918457031]","[290.18121337890625, 352.7705383300781]","[258.89453125, 372.5812683105469]","[453.75506591796875, 342.5052185058594]","[430.7608642578125, 349.93975830078125]","[484.89111328125, 477.7178649902344]","[505.29302978515625, 487.9029235839844]"
3,"[287.8157043457031, 102.76586151123047]","[291.4045104980469, 89.98851013183594]","[277.7115783691406, 88.60221862792969]","[266.7325744628906, 99.02622985839844]","[241.91226196289062, 99.44803619384766]","[254.338134765625, 179.5202178955078]","[203.28021240234375, 190.4311065673828]","[283.4841613769531, 276.93994140625]","[240.96377563476562, 306.0079345703125]","[360.4759216308594, 293.79248046875]","[345.921875, 309.7232666015625]","[290.1653137207031, 352.7223815917969]","[258.8041687011719, 372.5758056640625]","[453.7562255859375, 342.4354248046875]","[430.70819091796875, 349.9888916015625]","[484.922607421875, 477.5908203125]","[505.241943359375, 487.91619873046875]"
4,"[287.6879577636719, 102.69733428955078]","[291.2142028808594, 89.8904800415039]","[277.5908203125, 88.5549087524414]","[266.45318603515625, 98.92284393310547]","[241.88316345214844, 99.47940063476562]","[254.1221466064453, 179.5371551513672]","[203.32713317871094, 190.54051208496094]","[283.24530029296875, 276.9701843261719]","[240.99032592773438, 306.0583190917969]","[360.39984130859375, 293.89031982421875]","[345.9033508300781, 309.8396301269531]","[289.95556640625, 353.0364074707031]","[258.79290771484375, 372.93988037109375]","[453.7034912109375, 342.37451171875]","[430.88653564453125, 350.0334167480469]","[484.7778625488281, 477.3076171875]","[505.21893310546875, 487.8005676269531]"
5,"[287.7422790527344, 102.79360961914062]","[291.2762451171875, 90.00325012207031]","[277.6268005371094, 88.63433074951172]","[266.5760192871094, 99.02103424072266]","[241.86099243164062, 99.48358154296875]","[254.24497985839844, 179.59617614746094]","[203.32635498046875, 190.39572143554688]","[282.93402099609375, 277.259521484375]","[240.9822235107422, 306.02996826171875]","[359.3876037597656, 294.26959228515625]","[345.4747619628906, 310.162109375]","[290.1380310058594, 353.0576171875]","[258.836181640625, 372.83734130859375]","[453.7619934082031, 342.683349609375]","[430.8135986328125, 350.01873779296875]","[484.962158203125, 477.61175537109375]","[505.26544189453125, 487.6448669433594]"
6,"[287.6549377441406, 102.53997802734375]","[291.17193603515625, 89.69741821289062]","[277.53314208984375, 88.37709045410156]","[266.4831848144531, 98.745849609375]","[241.8779754638672, 99.32972717285156]","[254.21646118164062, 179.5755615234375]","[203.23883056640625, 190.6248321533203]","[283.1631774902344, 277.475830078125]","[241.2194366455078, 306.879638671875]","[359.89007568359375, 294.6168212890625]","[346.05487060546875, 311.3148193359375]","[289.6745300292969, 353.60247802734375]","[258.3631896972656, 373.4994812011719]","[453.74609375, 342.7997131347656]","[430.85882568359375, 350.2273864746094]","[484.8880920410156, 477.8185729980469]","[505.24749755859375, 487.89019775390625]"
7,"[287.4542541503906, 102.38287353515625]","[290.9920349121094, 89.52047729492188]","[277.2966003417969, 88.25457000732422]","[266.4560546875, 98.60202026367188]","[241.77557373046875, 99.30848693847656]","[254.25509643554688, 179.5576171875]","[203.31564331054688, 190.60272216796875]","[282.919677734375, 277.5572509765625]","[241.2296905517578, 306.84246826171875]","[359.61541748046875, 294.5647277832031]","[345.984375, 311.318115234375]","[289.6589660644531, 353.67034912109375]","[258.3650207519531, 373.5669250488281]","[453.7110900878906, 342.6494140625]","[430.9500732421875, 350.0810852050781]","[484.97076416015625, 477.6808166503906]","[505.3929748535156, 487.7729187011719]"
8,"[287.5173645019531, 102.34041595458984]","[291.0224304199219, 89.4891128540039]","[277.35455322265625, 88.26409149169922]","[266.3866882324219, 98.57417297363281]","[241.7917938232422, 99.38349151611328]","[254.10667419433594, 179.4469451904297]","[203.44131469726562, 190.5457763671875]","[282.71429443359375, 277.5045166015625]","[241.19187927246094, 306.6494445800781]","[359.56787109375, 294.56683349609375]","[345.8905334472656, 311.160400390625]","[289.7611389160156, 353.27105712890625]","[258.6330871582031, 373.2279968261719]","[453.751953125, 342.2339172363281]","[431.0995788574219, 349.92071533203125]","[485.1639404296875, 477.04998779296875]","[505.5257263183594, 487.5436706542969]"
9,"[287.46588134765625, 102.75064086914062]","[291.0308532714844, 89.91598510742188]","[277.31591796875, 88.69853210449219]","[266.64630126953125, 98.9743881225586]","[242.0365447998047, 99.80901336669922]","[254.39337158203125, 179.68446350097656]","[203.78343200683594, 190.68133544921875]","[282.69677734375, 277.52264404296875]","[241.1399688720703, 306.4914245605469]","[359.4266052246094, 294.54986572265625]","[345.6568298339844, 310.96942138671875]","[289.58624267578125, 353.45794677734375]","[258.4837646484375, 373.3333740234375]","[453.7935791015625, 342.42498779296875]","[431.3101501464844, 349.9884948730469]","[484.85662841796875, 477.3988037109375]","[505.4095458984375, 487.76422119140625]"
10,"[287.7158203125, 103.21632385253906]","[291.2585754394531, 90.37969207763672]","[277.616943359375, 89.1276626586914]","[266.7646179199219, 99.25470733642578]","[242.3139190673828, 100.02299499511719]","[254.3938751220703, 179.64390563964844]","[203.98255920410156, 190.6657257080078]","[282.5400085449219, 277.26171875]","[241.06947326660156, 306.34857177734375]","[359.1181640625, 294.4124450683594]","[345.3793640136719, 310.8309631347656]","[289.6241760253906, 353.371337890625]","[258.6228332519531, 373.22955322265625]","[453.7403869628906, 342.5281066894531]","[431.1690979003906, 350.0772399902344]","[484.54412841796875, 477.59820556640625]","[504.8929138183594, 487.9530029296875]"
