Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
866,"[413.31640625, 146.33670043945312]","[419.2085266113281, 128.99871826171875]","[401.91632080078125, 129.7448272705078]","[400.16925048828125, 113.65213012695312]","[363.7288513183594, 115.69159698486328]","[373.6551818847656, 156.1182861328125]","[325.8271484375, 173.21861267089844]","[392.73150634765625, 264.53369140625]","[348.07489013671875, 304.6817321777344]","[440.3383483886719, 228.95921325683594]","[427.0813293457031, 239.754638671875]","[363.9367980957031, 321.9893493652344]","[332.648681640625, 337.0997314453125]","[400.5002746582031, 320.8878479003906]","[385.4393005371094, 337.7598571777344]","[384.046142578125, 392.976318359375]","[368.6737976074219, 417.2861022949219]"
867,"[412.9576110839844, 146.65234375]","[418.88134765625, 129.33787536621094]","[401.4847412109375, 130.0293426513672]","[399.5833740234375, 114.28937530517578]","[363.010009765625, 116.24165344238281]","[372.6796875, 156.8816375732422]","[325.6640625, 173.93548583984375]","[391.8836364746094, 265.0331726074219]","[348.39312744140625, 305.1063537597656]","[439.1546936035156, 227.8923797607422]","[427.3834533691406, 238.91958618164062]","[363.4815368652344, 322.5828857421875]","[332.6703186035156, 337.675048828125]","[400.6932678222656, 319.5113220214844]","[386.18988037109375, 336.3282470703125]","[383.91937255859375, 392.524658203125]","[369.03167724609375, 416.7715148925781]"
868,"[412.2331237792969, 146.43919372558594]","[418.3587341308594, 129.22549438476562]","[401.1061096191406, 129.77391052246094]","[398.5843505859375, 114.22453308105469]","[363.1985778808594, 115.8848876953125]","[371.1973876953125, 156.72509765625]","[325.5784606933594, 173.43667602539062]","[389.63433837890625, 265.4654235839844]","[347.6485595703125, 304.86328125]","[437.6965026855469, 227.74447631835938]","[426.8631896972656, 238.91587829589844]","[361.696044921875, 322.1963195800781]","[331.8985900878906, 337.0693359375]","[398.1792297363281, 320.2042236328125]","[385.06585693359375, 336.64874267578125]","[382.192626953125, 393.29901123046875]","[368.8272399902344, 416.961181640625]"
869,"[412.1715087890625, 146.22251892089844]","[418.26776123046875, 129.04237365722656]","[400.9593200683594, 129.6024627685547]","[399.00421142578125, 114.26396942138672]","[362.9909362792969, 115.89097595214844]","[371.9231872558594, 156.84219360351562]","[325.3685607910156, 173.4717559814453]","[391.193115234375, 265.08587646484375]","[347.8143005371094, 304.609375]","[439.12384033203125, 227.1833038330078]","[427.2041015625, 238.38381958007812]","[362.1122131347656, 321.9597473144531]","[331.68609619140625, 336.7951354980469]","[398.219970703125, 319.5834655761719]","[384.7186279296875, 336.08197021484375]","[382.3653869628906, 392.7891845703125]","[368.8292541503906, 416.5767517089844]"
870,"[411.7265625, 146.9043731689453]","[417.9228515625, 129.72886657714844]","[400.8298645019531, 130.1696319580078]","[398.097412109375, 114.39157104492188]","[363.29827880859375, 115.78947448730469]","[370.9118957519531, 156.36587524414062]","[325.036865234375, 172.7455596923828]","[389.4819030761719, 265.7382507324219]","[347.2853088378906, 304.601318359375]","[437.51275634765625, 227.72215270996094]","[426.4378967285156, 238.4810028076172]","[360.5948181152344, 321.5573425292969]","[330.6817932128906, 336.29022216796875]","[397.35845947265625, 319.4521484375]","[384.2565612792969, 335.7251892089844]","[382.44659423828125, 393.0420227050781]","[369.1778869628906, 416.40576171875]"
871,"[411.79443359375, 146.08279418945312]","[418.1250915527344, 128.8475341796875]","[400.81146240234375, 129.17262268066406]","[398.2225341796875, 113.65689086914062]","[363.1383361816406, 114.70360565185547]","[370.7041931152344, 156.3402862548828]","[324.992431640625, 172.12107849121094]","[388.25628662109375, 266.6961669921875]","[346.657470703125, 304.69110107421875]","[436.9371032714844, 226.78378295898438]","[426.6184387207031, 237.48248291015625]","[360.9795227050781, 322.41741943359375]","[331.17974853515625, 336.8991394042969]","[397.9637145996094, 322.6770935058594]","[385.36724853515625, 338.6302490234375]","[382.5082702636719, 393.7469787597656]","[369.5182800292969, 416.54095458984375]"
872,"[411.8732604980469, 145.9565887451172]","[418.1261901855469, 128.6053924560547]","[400.7674560546875, 129.0606689453125]","[397.6586608886719, 113.47039794921875]","[362.8027648925781, 114.93269348144531]","[369.83856201171875, 156.43479919433594]","[325.201904296875, 172.92245483398438]","[387.7621765136719, 266.79461669921875]","[347.3052062988281, 305.7900695800781]","[436.9838562011719, 226.07374572753906]","[427.33172607421875, 237.22409057617188]","[360.8716125488281, 323.0022888183594]","[331.71441650390625, 337.8289489746094]","[398.66693115234375, 323.1255798339844]","[386.4366149902344, 339.399169921875]","[382.7743225097656, 393.96881103515625]","[369.6855773925781, 417.2325439453125]"
873,"[412.13397216796875, 146.13894653320312]","[418.551025390625, 128.85459899902344]","[400.6722412109375, 129.28506469726562]","[400.4190979003906, 113.83417510986328]","[362.8149108886719, 114.9918441772461]","[374.1727294921875, 156.90724182128906]","[324.97100830078125, 172.54287719726562]","[393.0491638183594, 266.6407775878906]","[347.46075439453125, 304.7127685546875]","[441.42913818359375, 226.2212677001953]","[428.17376708984375, 236.24090576171875]","[363.89178466796875, 322.9519348144531]","[331.8442687988281, 337.33056640625]","[399.933837890625, 322.6506652832031]","[385.4541320800781, 338.65972900390625]","[383.6044006347656, 393.8828430175781]","[369.5555419921875, 416.781005859375]"
874,"[412.1942138671875, 146.1057586669922]","[418.48406982421875, 128.75323486328125]","[400.7342224121094, 129.26100158691406]","[399.6208190917969, 113.7114486694336]","[362.6026916503906, 115.12246704101562]","[373.0401916503906, 156.8498077392578]","[324.8192443847656, 173.00149536132812]","[392.0503234863281, 266.8251647949219]","[347.7686767578125, 305.5628356933594]","[440.9783020019531, 226.3388671875]","[428.0252685546875, 236.31024169921875]","[363.0802001953125, 322.6986389160156]","[331.6286926269531, 337.3530578613281]","[399.8044738769531, 322.73126220703125]","[385.645751953125, 339.0283203125]","[383.59197998046875, 394.314453125]","[369.4057922363281, 417.6592712402344]"
875,"[412.33660888671875, 146.35061645507812]","[418.6350402832031, 128.93954467773438]","[400.954833984375, 129.51541137695312]","[399.7090759277344, 113.86373138427734]","[362.8563537597656, 115.48412322998047]","[373.1921081542969, 156.923828125]","[324.671630859375, 173.4323272705078]","[392.10968017578125, 267.45660400390625]","[347.713134765625, 306.5064697265625]","[440.3388366699219, 225.94789123535156]","[427.1246643066406, 235.42877197265625]","[362.5086364746094, 321.9353332519531]","[330.9009094238281, 336.7328186035156]","[398.1594543457031, 321.8683776855469]","[384.07232666015625, 338.376708984375]","[382.77001953125, 393.6251525878906]","[368.93194580078125, 417.3233642578125]"
876,"[412.2944030761719, 146.18765258789062]","[418.4140625, 128.89450073242188]","[400.8300476074219, 129.60479736328125]","[400.3354797363281, 114.09895324707031]","[362.9893493652344, 115.9853744506836]","[375.3080749511719, 157.3626251220703]","[325.00433349609375, 173.8321990966797]","[395.26019287109375, 266.7864990234375]","[348.0275573730469, 305.45599365234375]","[442.5462646484375, 228.22267150878906]","[426.7118225097656, 236.59730529785156]","[364.18951416015625, 321.99639892578125]","[331.4700622558594, 336.64471435546875]","[398.9504089355469, 322.29302978515625]","[383.3248291015625, 338.7071533203125]","[383.4733581542969, 393.49908447265625]","[368.8059997558594, 417.1569519042969]"
877,"[413.54278564453125, 146.80079650878906]","[419.4256286621094, 129.4025421142578]","[402.42388916015625, 130.16189575195312]","[400.5360107421875, 113.84567260742188]","[364.5292053222656, 115.84357452392578]","[375.1673889160156, 156.3239288330078]","[324.5780334472656, 173.4210205078125]","[394.87054443359375, 266.0859375]","[346.91766357421875, 305.8199157714844]","[442.6591491699219, 228.13613891601562]","[425.0479736328125, 236.07540893554688]","[363.5958251953125, 321.3214416503906]","[330.6977233886719, 336.49456787109375]","[398.8259582519531, 322.34271240234375]","[383.022705078125, 339.4626159667969]","[383.8446960449219, 391.7384033203125]","[368.64117431640625, 416.3705749511719]"
878,"[414.0544738769531, 146.0239715576172]","[419.82196044921875, 128.75465393066406]","[402.722900390625, 129.50767517089844]","[402.0084228515625, 114.00810241699219]","[364.6365051269531, 115.85037994384766]","[377.82666015625, 157.39967346191406]","[324.6907653808594, 173.97250366210938]","[398.666015625, 266.8532409667969]","[347.45745849609375, 305.8963623046875]","[444.84478759765625, 227.70277404785156]","[425.2989807128906, 234.8282012939453]","[365.6934814453125, 321.63262939453125]","[331.08673095703125, 336.5191955566406]","[400.70855712890625, 321.3108825683594]","[383.08026123046875, 338.31585693359375]","[385.5920104980469, 391.4045104980469]","[369.04571533203125, 415.9610900878906]"
