Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[330.7126159667969, 112.86388397216797]","[331.4277038574219, 98.35327911376953]","[321.204833984375, 98.58501434326172]","[296.6294250488281, 92.4770736694336]","[280.6880187988281, 95.51232147216797]","[281.1930847167969, 138.18548583984375]","[256.2122497558594, 159.9739532470703]","[329.4657287597656, 226.41696166992188]","[310.14495849609375, 269.0203552246094]","[339.8995666503906, 152.60940551757812]","[339.31292724609375, 162.90611267089844]","[292.8364562988281, 307.6890563964844]","[275.0843200683594, 325.47015380859375]","[366.7012939453125, 316.1568908691406]","[365.21612548828125, 335.3838195800781]","[378.6819763183594, 376.2770690917969]","[368.9990234375, 403.40277099609375]"
2,"[332.4196472167969, 112.62969207763672]","[329.95428466796875, 98.9798812866211]","[324.00653076171875, 98.4515609741211]","[302.75079345703125, 93.0571060180664]","[283.1688537597656, 93.43059539794922]","[291.2204895019531, 148.11187744140625]","[258.72625732421875, 161.99525451660156]","[335.5400695800781, 219.74098205566406]","[314.18341064453125, 245.4864501953125]","[356.67218017578125, 155.74656677246094]","[338.0704650878906, 158.03204345703125]","[341.24224853515625, 309.2275695800781]","[319.56304931640625, 328.4171447753906]","[481.24786376953125, 288.4841003417969]","[466.9150390625, 307.5802917480469]","[516.1293334960938, 417.8221435546875]","[526.0609741210938, 447.2120361328125]"
3,"[331.3231506347656, 112.2056655883789]","[328.9625244140625, 98.56633758544922]","[322.9288330078125, 97.88622283935547]","[301.75433349609375, 92.738525390625]","[282.10711669921875, 92.73640441894531]","[289.7578125, 148.36871337890625]","[258.77923583984375, 161.7965850830078]","[335.03466796875, 220.26214599609375]","[316.3597412109375, 245.2843780517578]","[356.6063232421875, 154.44485473632812]","[339.6281433105469, 156.82952880859375]","[340.4408874511719, 309.7088317871094]","[319.6511535644531, 328.7162170410156]","[480.98779296875, 288.47918701171875]","[467.1059875488281, 307.5322265625]","[516.3995971679688, 417.58184814453125]","[526.1979370117188, 447.422607421875]"
4,"[331.15240478515625, 113.0699462890625]","[329.1321716308594, 99.41073608398438]","[322.4745788574219, 98.4749526977539]","[302.7830505371094, 93.28170776367188]","[281.1861877441406, 92.69526672363281]","[290.4971923828125, 149.14401245117188]","[258.32989501953125, 161.41122436523438]","[335.7192077636719, 221.2777557373047]","[316.5802917480469, 244.3466033935547]","[358.1103820800781, 155.15377807617188]","[340.5108642578125, 155.99534606933594]","[341.0753173828125, 310.64691162109375]","[319.4746398925781, 329.1827697753906]","[482.3965148925781, 287.8492126464844]","[467.7940368652344, 306.0251770019531]","[516.4363403320312, 418.467041015625]","[526.3613891601562, 447.37054443359375]"
5,"[331.78924560546875, 112.46139526367188]","[329.58074951171875, 98.8505859375]","[323.1985778808594, 97.9745864868164]","[302.8783264160156, 93.17623901367188]","[281.9932861328125, 92.69891357421875]","[290.7478942871094, 149.54681396484375]","[258.3243408203125, 161.2463836669922]","[336.0465087890625, 222.66201782226562]","[316.01824951171875, 243.7811279296875]","[358.5758056640625, 156.57962036132812]","[339.4209899902344, 155.58981323242188]","[339.7511901855469, 311.9093322753906]","[317.94000244140625, 330.2122497558594]","[481.72705078125, 287.83380126953125]","[466.8538513183594, 305.8426208496094]","[515.8009643554688, 418.25384521484375]","[524.8961791992188, 447.100341796875]"
6,"[331.0988464355469, 113.40805053710938]","[329.14874267578125, 99.61804962158203]","[322.0177001953125, 98.9670639038086]","[303.7460021972656, 93.58552551269531]","[280.69476318359375, 93.5877914428711]","[291.9779357910156, 149.60110473632812]","[258.3875732421875, 161.77903747558594]","[337.0267028808594, 220.83604431152344]","[317.0144348144531, 243.0073699951172]","[358.54095458984375, 155.15623474121094]","[340.5112609863281, 154.94740295410156]","[341.1092834472656, 311.7481994628906]","[318.47821044921875, 330.1657409667969]","[482.1810607910156, 288.4130554199219]","[467.2723693847656, 306.3920593261719]","[516.0923461914062, 418.57940673828125]","[525.643310546875, 446.8649597167969]"
7,"[331.0339660644531, 113.54546356201172]","[328.78253173828125, 99.74691009521484]","[322.0466613769531, 99.1563491821289]","[302.8138427734375, 93.72171020507812]","[280.8222961425781, 93.95963287353516]","[291.37384033203125, 149.49591064453125]","[258.3045959472656, 162.17298889160156]","[336.41180419921875, 220.03555297851562]","[317.0127868652344, 243.3698272705078]","[357.96563720703125, 154.49964904785156]","[341.5214538574219, 155.0843963623047]","[340.7906799316406, 312.2519836425781]","[318.47552490234375, 330.8558654785156]","[482.85296630859375, 287.9622802734375]","[468.1150207519531, 305.9844665527344]","[515.6246337890625, 418.5938415527344]","[525.19775390625, 446.69891357421875]"
8,"[330.97637939453125, 114.00405883789062]","[328.6448669433594, 100.2275619506836]","[322.0766296386719, 99.64006805419922]","[302.4910583496094, 94.11726379394531]","[281.03802490234375, 94.37540435791016]","[290.8014221191406, 149.72181701660156]","[258.8026123046875, 162.22732543945312]","[336.49053955078125, 220.37417602539062]","[317.8340148925781, 243.0124053955078]","[358.6033630371094, 154.40097045898438]","[341.1329650878906, 154.59471130371094]","[340.13818359375, 311.99444580078125]","[318.513916015625, 330.58624267578125]","[483.08258056640625, 287.6402893066406]","[468.7421569824219, 305.90789794921875]","[516.3102416992188, 418.25567626953125]","[525.6549682617188, 447.0604248046875]"
9,"[330.7178955078125, 113.50157165527344]","[328.73974609375, 99.76956939697266]","[321.5841979980469, 99.13728332519531]","[303.5317077636719, 94.0672378540039]","[280.3499450683594, 94.08721160888672]","[291.8707580566406, 150.150146484375]","[258.5342102050781, 162.1917266845703]","[337.29656982421875, 220.4695587158203]","[318.0204162597656, 242.63677978515625]","[358.0157165527344, 153.75572204589844]","[341.7073059082031, 154.40451049804688]","[341.1406555175781, 311.6693115234375]","[318.5362243652344, 330.02801513671875]","[483.1800231933594, 289.1072998046875]","[468.2134094238281, 307.0489501953125]","[517.0023803710938, 418.7075500488281]","[526.0916137695312, 446.98681640625]"
10,"[329.4941101074219, 113.16266632080078]","[328.1400451660156, 99.1669921875]","[319.79803466796875, 98.73770904541016]","[304.6211242675781, 93.31572723388672]","[278.860107421875, 93.83232879638672]","[292.6897888183594, 149.64381408691406]","[258.91729736328125, 162.0286102294922]","[336.9645080566406, 219.2010955810547]","[317.9784851074219, 242.40501403808594]","[358.731201171875, 151.4736785888672]","[342.38189697265625, 154.06590270996094]","[342.1438293457031, 310.44598388671875]","[319.22723388671875, 329.0057373046875]","[483.7803955078125, 287.00372314453125]","[469.1734313964844, 305.3660888671875]","[517.0078125, 417.85089111328125]","[526.939208984375, 446.6107177734375]"
11,"[329.7281188964844, 113.10047912597656]","[328.322998046875, 99.19551086425781]","[320.13958740234375, 98.69914245605469]","[304.7364807128906, 93.34415435791016]","[279.14080810546875, 93.68152618408203]","[293.23828125, 149.3199462890625]","[258.3316345214844, 161.7384490966797]","[337.60888671875, 218.68258666992188]","[317.0970764160156, 242.3250732421875]","[358.8998107910156, 152.0023193359375]","[342.99224853515625, 154.50550842285156]","[342.6687927246094, 310.079345703125]","[319.057373046875, 328.6433410644531]","[484.1902160644531, 286.7344665527344]","[469.0454406738281, 304.82757568359375]","[517.0951538085938, 417.9433898925781]","[527.3413696289062, 446.0837707519531]"
12,"[330.1411437988281, 112.84325408935547]","[328.7894592285156, 98.99537658691406]","[320.735107421875, 98.43214416503906]","[305.03533935546875, 93.51165008544922]","[279.91851806640625, 93.65705108642578]","[293.438232421875, 150.04510498046875]","[258.56195068359375, 162.39175415039062]","[339.3399353027344, 219.1395721435547]","[317.58349609375, 242.5805206298828]","[362.1374206542969, 152.31179809570312]","[343.00994873046875, 154.64573669433594]","[342.2823486328125, 310.80853271484375]","[318.8123779296875, 329.408935546875]","[484.4293212890625, 286.98858642578125]","[468.8516540527344, 305.2732849121094]","[518.3736572265625, 417.8031005859375]","[527.9848022460938, 446.565673828125]"
13,"[330.109619140625, 113.01657104492188]","[328.7926940917969, 99.30184936523438]","[320.7144470214844, 98.5561752319336]","[305.00640869140625, 93.88677978515625]","[279.5625915527344, 93.56600189208984]","[293.2539367675781, 150.33460998535156]","[257.7175598144531, 161.91024780273438]","[338.4163513183594, 220.36834716796875]","[316.7368469238281, 242.66818237304688]","[360.22296142578125, 152.382568359375]","[342.7659606933594, 154.38519287109375]","[341.8609313964844, 311.7660827636719]","[317.7579345703125, 330.0256652832031]","[483.9963073730469, 288.6253662109375]","[467.7524719238281, 306.4771728515625]","[517.2786254882812, 419.00262451171875]","[526.5311279296875, 447.3761901855469]"
14,"[329.885009765625, 113.0339584350586]","[328.6806335449219, 99.26465606689453]","[320.4098815917969, 98.4064712524414]","[305.0753173828125, 93.83628845214844]","[279.291259765625, 93.2662353515625]","[293.07183837890625, 150.96865844726562]","[257.83489990234375, 161.71615600585938]","[337.4063720703125, 222.76963806152344]","[316.4619140625, 243.2878875732422]","[359.6084289550781, 153.52786254882812]","[342.6749267578125, 154.47586059570312]","[342.2187805175781, 312.3576965332031]","[318.3121337890625, 330.36639404296875]","[484.4339904785156, 286.4853210449219]","[468.4822998046875, 304.1490173339844]","[517.1325073242188, 418.5011901855469]","[526.71923828125, 446.9776611328125]"
15,"[329.44097900390625, 112.81449127197266]","[328.6883850097656, 99.20625305175781]","[320.0103454589844, 98.2655258178711]","[305.92486572265625, 94.02326965332031]","[279.09735107421875, 93.16429138183594]","[294.2888488769531, 150.55043029785156]","[257.17950439453125, 161.8701934814453]","[338.79364013671875, 220.3984832763672]","[315.6733703613281, 242.9208984375]","[360.4072570800781, 151.71115112304688]","[342.7676086425781, 154.29324340820312]","[343.2633056640625, 311.5111389160156]","[318.1229553222656, 329.71746826171875]","[484.2611389160156, 290.11456298828125]","[467.00732421875, 308.1114807128906]","[517.3483276367188, 419.0115966796875]","[526.7609252929688, 447.8939208984375]"
16,"[329.67718505859375, 112.87960052490234]","[328.4739074707031, 99.23431396484375]","[320.4994812011719, 98.3587875366211]","[304.2471923828125, 93.96480560302734]","[279.47113037109375, 93.41555786132812]","[292.0164489746094, 150.50918579101562]","[257.936279296875, 162.52749633789062]","[337.25439453125, 220.01051330566406]","[316.68109130859375, 242.92652893066406]","[360.39581298828125, 153.26051330566406]","[341.5318298339844, 155.14739990234375]","[341.69134521484375, 311.8565673828125]","[318.6552429199219, 330.3299255371094]","[483.2452697753906, 290.1156005859375]","[467.4336853027344, 308.6335144042969]","[516.514892578125, 418.39556884765625]","[526.020751953125, 448.0664367675781]"
17,"[329.35107421875, 112.86678314208984]","[328.3695373535156, 99.29109191894531]","[320.2147216796875, 98.24800872802734]","[304.17596435546875, 94.13036346435547]","[279.1375732421875, 93.14762878417969]","[291.64410400390625, 151.07493591308594]","[257.01153564453125, 162.869384765625]","[335.4984130859375, 221.2694091796875]","[314.1806335449219, 244.47071838378906]","[357.4617919921875, 153.28033447265625]","[341.9669494628906, 155.84591674804688]","[342.03692626953125, 312.330078125]","[318.60626220703125, 330.8822021484375]","[482.8514099121094, 289.86895751953125]","[466.8204650878906, 308.87457275390625]","[515.9049682617188, 417.76666259765625]","[525.4599609375, 448.061767578125]"
18,"[329.13592529296875, 112.56571960449219]","[328.25079345703125, 98.78816986083984]","[319.82586669921875, 97.84749603271484]","[304.1239318847656, 93.74615478515625]","[278.8934020996094, 92.99894714355469]","[291.3257751464844, 152.22866821289062]","[257.0828857421875, 163.7210693359375]","[333.4581298828125, 222.4352569580078]","[313.0548095703125, 244.6732635498047]","[354.8072204589844, 153.46231079101562]","[340.8056335449219, 156.18408203125]","[341.81170654296875, 313.8680725097656]","[318.83453369140625, 332.3379211425781]","[480.850341796875, 289.56060791015625]","[466.1197814941406, 308.48712158203125]","[515.2266235351562, 417.79925537109375]","[525.2369384765625, 448.0098571777344]"
19,"[327.53155517578125, 113.73307800292969]","[330.6570739746094, 99.12220001220703]","[317.7711181640625, 98.70929718017578]","[296.95257568359375, 93.96480560302734]","[278.2940673828125, 95.79666900634766]","[279.04608154296875, 141.23117065429688]","[256.6055603027344, 162.11685180664062]","[330.40283203125, 226.02430725097656]","[314.7430114746094, 267.0188903808594]","[343.3465270996094, 151.18263244628906]","[346.6639404296875, 162.62635803222656]","[291.9412841796875, 315.4578552246094]","[275.53094482421875, 332.9481201171875]","[371.3997497558594, 321.6641540527344]","[370.9947509765625, 339.7225341796875]","[387.56781005859375, 384.2578125]","[378.2469177246094, 409.07611083984375]"
20,"[327.2994384765625, 113.59359741210938]","[330.27716064453125, 99.03829956054688]","[317.66534423828125, 98.57844543457031]","[295.9344177246094, 94.06929016113281]","[278.28753662109375, 95.78856658935547]","[277.8798828125, 141.5309600830078]","[256.54046630859375, 162.37742614746094]","[329.74810791015625, 226.46310424804688]","[315.0663146972656, 267.5078430175781]","[342.8448791503906, 151.5674285888672]","[346.76580810546875, 163.17489624023438]","[290.9800109863281, 315.60479736328125]","[275.2895812988281, 333.057861328125]","[369.347900390625, 322.3702697753906]","[369.6875, 340.4202575683594]","[385.3956604003906, 384.1918029785156]","[376.5726013183594, 409.0791320800781]"
