Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
371,"[285.9952697753906, 144.31044006347656]","[281.6842346191406, 128.57421875]","[283.0784912109375, 129.84957885742188]","[231.81179809570312, 115.74443054199219]","[249.1728515625, 123.61614990234375]","[190.03335571289062, 170.68492126464844]","[214.6831512451172, 201.74542236328125]","[222.23983764648438, 266.8861083984375]","[255.78240966796875, 318.02154541015625]","[297.2467346191406, 273.5425720214844]","[315.2817077636719, 285.2701721191406]","[213.1717529296875, 352.1325378417969]","[231.28085327148438, 379.377685546875]","[377.2839050292969, 297.9101257324219]","[396.6590270996094, 326.7707214355469]","[420.78460693359375, 376.6532897949219]","[446.7433166503906, 409.663818359375]"
372,"[285.68408203125, 144.76515197753906]","[281.54296875, 129.27642822265625]","[282.9822692871094, 130.090576171875]","[231.9502716064453, 116.48020935058594]","[249.3741912841797, 123.29446411132812]","[190.77835083007812, 171.46995544433594]","[214.60267639160156, 201.38137817382812]","[222.92820739746094, 268.2760314941406]","[255.34446716308594, 318.02520751953125]","[297.8931884765625, 273.7345275878906]","[314.7269592285156, 284.2546691894531]","[214.868408203125, 352.48968505859375]","[232.56459045410156, 379.1651916503906]","[378.7124328613281, 298.5981750488281]","[397.2994384765625, 326.3702087402344]","[420.7891845703125, 377.1043701171875]","[446.8418273925781, 409.18817138671875]"
373,"[285.5568542480469, 143.99798583984375]","[281.7436828613281, 128.61166381835938]","[282.4767150878906, 129.33074951171875]","[233.41952514648438, 116.28804779052734]","[248.65992736816406, 122.91126251220703]","[192.00503540039062, 171.79039001464844]","[214.82089233398438, 201.05392456054688]","[223.45748901367188, 268.1406555175781]","[254.61753845214844, 317.1507873535156]","[297.37457275390625, 274.1390380859375]","[314.01434326171875, 285.7147521972656]","[215.968505859375, 351.23858642578125]","[232.87156677246094, 377.75]","[380.3493347167969, 298.6337585449219]","[398.56011962890625, 326.8345642089844]","[419.7965087890625, 376.471435546875]","[445.86181640625, 409.453857421875]"
374,"[285.6260681152344, 144.10633850097656]","[282.0653076171875, 128.8457794189453]","[282.5601806640625, 129.39486694335938]","[234.31109619140625, 116.57034301757812]","[248.72348022460938, 122.7228775024414]","[193.06503295898438, 171.94204711914062]","[214.30853271484375, 200.88839721679688]","[224.51060485839844, 268.26312255859375]","[254.44802856445312, 317.3150329589844]","[298.02423095703125, 273.89678955078125]","[314.03497314453125, 285.17315673828125]","[216.40516662597656, 350.9519958496094]","[232.32025146484375, 377.26202392578125]","[380.707763671875, 299.3395080566406]","[398.01690673828125, 326.8658142089844]","[420.2214660644531, 376.42840576171875]","[446.51727294921875, 408.54510498046875]"
375,"[286.17962646484375, 143.64967346191406]","[282.6761169433594, 128.41751098632812]","[283.0635681152344, 128.89694213867188]","[234.85716247558594, 116.42996978759766]","[248.93307495117188, 122.41454315185547]","[193.3463897705078, 172.49937438964844]","[214.56271362304688, 200.64404296875]","[224.7670135498047, 269.18475341796875]","[254.42181396484375, 316.3162841796875]","[299.0342712402344, 273.72601318359375]","[315.0473327636719, 283.9520568847656]","[216.67904663085938, 351.41131591796875]","[232.57398986816406, 377.432373046875]","[380.3859558105469, 300.0160217285156]","[397.9705810546875, 327.3734130859375]","[420.3096618652344, 376.8403015136719]","[446.4788818359375, 408.8185119628906]"
376,"[287.165283203125, 141.95567321777344]","[283.4206848144531, 126.48173522949219]","[283.48443603515625, 127.32447052001953]","[234.99755859375, 114.86433410644531]","[248.0731201171875, 121.88241577148438]","[192.0987091064453, 171.7014923095703]","[215.0438690185547, 201.06455993652344]","[223.421630859375, 269.2717590332031]","[256.0436096191406, 317.9246826171875]","[298.6594543457031, 273.3277587890625]","[316.9963073730469, 283.00164794921875]","[214.82968139648438, 352.91650390625]","[231.41358947753906, 379.3576354980469]","[379.46533203125, 299.9805908203125]","[397.88409423828125, 327.7978210449219]","[417.81622314453125, 376.3121337890625]","[443.8443603515625, 407.6470031738281]"
377,"[286.9344482421875, 142.3864288330078]","[283.1498107910156, 127.00065612792969]","[283.5923767089844, 127.71980285644531]","[234.7528839111328, 115.28727722167969]","[248.80368041992188, 121.90245056152344]","[192.8033905029297, 171.68199157714844]","[214.52920532226562, 200.65219116210938]","[224.39181518554688, 268.6065673828125]","[254.0270233154297, 316.7995300292969]","[298.343994140625, 273.14520263671875]","[314.53363037109375, 283.1360168457031]","[215.62367248535156, 352.1371765136719]","[231.66590881347656, 378.5126037597656]","[380.0121765136719, 299.6810302734375]","[397.89324951171875, 327.7468566894531]","[418.74493408203125, 377.1534118652344]","[444.4424133300781, 409.4272155761719]"
378,"[286.8854064941406, 142.5058135986328]","[283.00958251953125, 127.12071990966797]","[283.58837890625, 127.869873046875]","[234.25718688964844, 115.40977478027344]","[248.61978149414062, 122.05538940429688]","[192.0677947998047, 171.85189819335938]","[214.35040283203125, 200.44149780273438]","[224.09190368652344, 268.75262451171875]","[253.92343139648438, 315.80712890625]","[298.3305358886719, 273.7899169921875]","[314.4936218261719, 283.4759216308594]","[214.7698516845703, 352.2721862792969]","[231.1595458984375, 378.51617431640625]","[378.543701171875, 300.3717041015625]","[396.94024658203125, 328.44085693359375]","[418.6893310546875, 377.0781555175781]","[444.32391357421875, 409.3114013671875]"
379,"[286.576171875, 142.6150360107422]","[282.85308837890625, 127.3531265258789]","[283.2820739746094, 127.9967269897461]","[234.6763916015625, 115.97032928466797]","[248.6625518798828, 122.35631561279297]","[193.01002502441406, 172.5946044921875]","[214.12020874023438, 200.55007934570312]","[224.54983520507812, 268.912353515625]","[253.28756713867188, 315.1690979003906]","[298.3070983886719, 273.3554992675781]","[314.3551940917969, 283.1953430175781]","[215.09152221679688, 351.2491455078125]","[230.79478454589844, 377.1422424316406]","[378.993896484375, 301.2721862792969]","[396.8565673828125, 328.5218505859375]","[418.8194274902344, 376.78271484375]","[444.2364807128906, 408.1108093261719]"
380,"[286.3990173339844, 142.6611328125]","[282.6774597167969, 127.3221664428711]","[282.93310546875, 128.12289428710938]","[234.83230590820312, 115.9471206665039]","[248.07888793945312, 122.65079498291016]","[193.34637451171875, 172.65203857421875]","[213.8954315185547, 201.01351928710938]","[224.9934539794922, 268.2855224609375]","[252.86660766601562, 315.0589904785156]","[298.2865295410156, 273.4970397949219]","[314.5038757324219, 283.8434143066406]","[216.249755859375, 350.51837158203125]","[231.58946228027344, 376.7127685546875]","[379.1753845214844, 300.77655029296875]","[396.9404602050781, 328.91973876953125]","[419.0902404785156, 375.8284606933594]","[444.3666687011719, 408.21307373046875]"
