Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[442.67974853515625, 134.4922637939453]","[445.9528503417969, 119.4294662475586]","[433.9261779785156, 116.38479614257812]","[403.9620666503906, 113.34339141845703]","[396.7568054199219, 108.03910064697266]","[371.5366516113281, 165.5712890625]","[366.32171630859375, 175.95635986328125]","[401.31787109375, 273.1849365234375]","[402.7888488769531, 301.1962890625]","[459.842041015625, 252.82046508789062]","[475.552001953125, 261.8460998535156]","[386.5063781738281, 358.5316162109375]","[380.20184326171875, 374.62939453125]","[555.7034912109375, 360.6368408203125]","[562.34716796875, 375.79388427734375]","[528.990478515625, 455.1453552246094]","[526.1616821289062, 472.8398742675781]"
2,"[442.0053405761719, 134.38632202148438]","[445.53021240234375, 119.10054016113281]","[433.2490539550781, 116.30912780761719]","[402.9452209472656, 112.78041076660156]","[396.4105529785156, 108.27104187011719]","[369.2973937988281, 165.06210327148438]","[366.9973449707031, 176.66900634765625]","[398.6706237792969, 272.1036071777344]","[403.0352783203125, 301.6328430175781]","[459.01348876953125, 252.2738800048828]","[475.4729309082031, 262.12530517578125]","[384.7975158691406, 358.01031494140625]","[380.4043884277344, 374.54974365234375]","[551.7301025390625, 359.7295837402344]","[559.3944702148438, 375.1496276855469]","[527.0306396484375, 451.50274658203125]","[524.5014038085938, 469.59136962890625]"
3,"[441.8196716308594, 134.34608459472656]","[445.17864990234375, 119.133544921875]","[433.106689453125, 116.39781188964844]","[402.3091735839844, 112.80384063720703]","[396.4098815917969, 108.4758529663086]","[368.89794921875, 164.79354858398438]","[367.2373352050781, 176.61978149414062]","[398.3966064453125, 271.5150451660156]","[403.564208984375, 301.29986572265625]","[458.5826416015625, 251.49929809570312]","[475.51861572265625, 261.47021484375]","[384.1752624511719, 357.37091064453125]","[380.18768310546875, 373.947265625]","[551.646240234375, 358.8030700683594]","[559.4218139648438, 374.266845703125]","[526.0376586914062, 452.19158935546875]","[523.538818359375, 470.38525390625]"
4,"[442.666259765625, 134.5845489501953]","[445.83868408203125, 119.24569702148438]","[433.9497985839844, 116.51655578613281]","[402.4747009277344, 112.48663330078125]","[396.6616516113281, 108.15914154052734]","[369.0765380859375, 164.05169677734375]","[366.87335205078125, 176.1400146484375]","[398.87359619140625, 270.8938293457031]","[403.67120361328125, 301.3373107910156]","[458.89886474609375, 251.4484100341797]","[475.5736389160156, 261.8141784667969]","[384.7215270996094, 357.1484375]","[380.3915100097656, 373.9288635253906]","[551.5361328125, 358.4459533691406]","[559.1911010742188, 374.18109130859375]","[525.6005859375, 450.7470703125]","[523.0208129882812, 469.3861999511719]"
5,"[442.0836486816406, 133.10476684570312]","[444.93310546875, 118.35928344726562]","[433.4263916015625, 115.59449005126953]","[403.2628173828125, 113.1507568359375]","[396.5002746582031, 108.5800552368164]","[371.8630676269531, 165.33029174804688]","[366.7114562988281, 176.595703125]","[402.25048828125, 270.13751220703125]","[403.7237854003906, 299.5669860839844]","[460.6169128417969, 251.4473419189453]","[476.0598449707031, 261.6611328125]","[386.8747863769531, 356.8207702636719]","[380.68853759765625, 373.07611083984375]","[552.5919189453125, 353.8509826660156]","[558.8839721679688, 369.22607421875]","[525.4618530273438, 450.4979553222656]","[522.9561767578125, 468.7491760253906]"
6,"[441.8718566894531, 133.04873657226562]","[444.2345886230469, 118.55431365966797]","[433.66259765625, 115.74600982666016]","[401.74945068359375, 113.44091033935547]","[397.19989013671875, 108.70632934570312]","[371.00616455078125, 165.0830841064453]","[366.5613098144531, 176.29884338378906]","[402.6031494140625, 268.78057861328125]","[403.7344055175781, 298.3377685546875]","[461.1114196777344, 251.53353881835938]","[476.4813537597656, 261.9040832519531]","[386.91094970703125, 356.3821105957031]","[381.2267150878906, 372.6611022949219]","[552.3072509765625, 353.0544738769531]","[558.3155517578125, 368.4709167480469]","[526.1382446289062, 450.2184753417969]","[523.4996948242188, 468.6324462890625]"
7,"[441.4317626953125, 132.91859436035156]","[444.2279968261719, 118.40628051757812]","[432.8607177734375, 115.5590591430664]","[403.3733825683594, 113.56434631347656]","[396.2762145996094, 108.70814514160156]","[372.96539306640625, 165.54922485351562]","[366.36083984375, 176.4376983642578]","[404.14300537109375, 269.29522705078125]","[404.0728759765625, 298.446533203125]","[461.1314392089844, 251.45997619628906]","[476.4015197753906, 261.8763122558594]","[388.2001953125, 356.0699462890625]","[381.0608215332031, 372.1461181640625]","[553.0068969726562, 352.5366516113281]","[558.5397338867188, 367.8034973144531]","[526.1177978515625, 450.22412109375]","[523.4317016601562, 468.32830810546875]"
8,"[441.3446350097656, 133.25730895996094]","[444.2798767089844, 118.8392105102539]","[432.639404296875, 115.85598754882812]","[404.08203125, 113.9770278930664]","[395.7733154296875, 108.73206329345703]","[373.6002502441406, 165.71697998046875]","[366.32763671875, 176.04872131347656]","[405.4137268066406, 267.855224609375]","[404.38177490234375, 296.481201171875]","[462.5496826171875, 251.4287567138672]","[477.08624267578125, 262.0843811035156]","[389.0768737792969, 356.26025390625]","[381.511962890625, 372.08837890625]","[553.7835693359375, 350.5555419921875]","[559.2938232421875, 365.5614013671875]","[526.81884765625, 448.10302734375]","[524.404296875, 465.832763671875]"
9,"[440.9638671875, 132.82090759277344]","[444.3959655761719, 118.29756164550781]","[431.80328369140625, 115.25161743164062]","[405.6828308105469, 113.85344696044922]","[394.43328857421875, 108.3614501953125]","[374.8646240234375, 166.23829650878906]","[365.69512939453125, 176.20518493652344]","[406.2067565917969, 268.08343505859375]","[403.91455078125, 296.27685546875]","[462.2610168457031, 252.33155822753906]","[476.72052001953125, 262.7160339355469]","[390.9784240722656, 356.1665954589844]","[382.05853271484375, 371.8905944824219]","[554.4356689453125, 352.5526428222656]","[559.554443359375, 367.5072326660156]","[527.99853515625, 448.3236999511719]","[525.3782348632812, 465.8936462402344]"
10,"[439.9937438964844, 132.15802001953125]","[444.09075927734375, 117.52134704589844]","[430.1587219238281, 114.57286834716797]","[407.68267822265625, 113.72380828857422]","[392.3209533691406, 108.38663482666016]","[376.62322998046875, 167.00131225585938]","[365.16778564453125, 176.64199829101562]","[406.716552734375, 268.2044677734375]","[403.03082275390625, 295.4653625488281]","[461.7880554199219, 252.94070434570312]","[476.63800048828125, 262.4587707519531]","[392.9268798828125, 355.7575378417969]","[382.3819274902344, 371.2547607421875]","[554.80517578125, 355.7215576171875]","[559.4843139648438, 370.4203796386719]","[529.2105102539062, 449.2298889160156]","[526.7114868164062, 466.35150146484375]"
