Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[257.88446044921875, 165.249267578125]","[259.5853271484375, 152.8759002685547]","[251.9080352783203, 151.10427856445312]","[233.71194458007812, 141.80819702148438]","[219.09361267089844, 140.55738830566406]","[213.86961364746094, 185.04652404785156]","[178.08155822753906, 203.11349487304688]","[232.71397399902344, 279.1809997558594]","[194.99044799804688, 321.15289306640625]","[279.9023742675781, 254.8366241455078]","[280.29510498046875, 275.1402282714844]","[247.26136779785156, 347.931640625]","[224.0065155029297, 370.6754150390625]","[383.6944580078125, 331.2018737792969]","[367.6022644042969, 356.8257141113281]","[395.5440673828125, 376.2074279785156]","[417.8250732421875, 406.9308776855469]"
2,"[257.89581298828125, 164.8173065185547]","[259.5769958496094, 152.42788696289062]","[251.89418029785156, 150.81088256835938]","[233.88148498535156, 141.6481475830078]","[219.01475524902344, 140.6094512939453]","[214.37535095214844, 184.56954956054688]","[178.13827514648438, 203.53717041015625]","[233.9960174560547, 277.7689514160156]","[195.439697265625, 321.7259521484375]","[279.7921447753906, 253.0508575439453]","[279.9302673339844, 275.51727294921875]","[248.8649139404297, 346.34991455078125]","[225.34812927246094, 369.5782470703125]","[384.68463134765625, 329.2852478027344]","[367.9723205566406, 355.86328125]","[398.19281005859375, 376.5517272949219]","[419.4141845703125, 408.3504943847656]"
3,"[259.1492004394531, 164.1268310546875]","[259.8631896972656, 150.8154296875]","[250.79705810546875, 150.2471160888672]","[232.77838134765625, 140.9329833984375]","[214.46241760253906, 140.669677734375]","[219.7809600830078, 184.6132049560547]","[177.24276733398438, 196.29510498046875]","[244.71661376953125, 288.479736328125]","[194.66880798339844, 317.6706848144531]","[277.8968505859375, 255.83152770996094]","[268.7156677246094, 270.25543212890625]","[226.2226104736328, 338.9659423828125]","[199.39251708984375, 351.2868347167969]","[287.7864990234375, 348.5746765136719]","[270.4975891113281, 360.7428283691406]","[276.658447265625, 428.3121032714844]","[263.6948547363281, 445.2289123535156]"
4,"[258.1616516113281, 165.10675048828125]","[259.9065856933594, 152.83670043945312]","[252.21034240722656, 151.03448486328125]","[234.1570587158203, 141.86302185058594]","[218.87603759765625, 140.11390686035156]","[213.6495819091797, 185.13523864746094]","[177.6836700439453, 202.19715881347656]","[233.1553497314453, 279.7413024902344]","[196.99856567382812, 320.04632568359375]","[278.1398010253906, 252.27090454101562]","[280.21783447265625, 274.6192321777344]","[247.4362335205078, 346.7414245605469]","[223.99639892578125, 369.29840087890625]","[382.7376708984375, 325.2215881347656]","[365.8727111816406, 350.6056213378906]","[401.8659973144531, 373.2908935546875]","[421.7267150878906, 404.0395202636719]"
5,"[259.81329345703125, 163.51673889160156]","[260.3562316894531, 150.2692108154297]","[251.45823669433594, 149.7189178466797]","[232.94650268554688, 140.7724151611328]","[214.6492919921875, 140.5304412841797]","[219.56300354003906, 184.72459411621094]","[177.47097778320312, 196.57257080078125]","[244.90087890625, 287.6653747558594]","[195.27809143066406, 317.2938537597656]","[278.6961364746094, 255.3544158935547]","[269.3800354003906, 269.8509521484375]","[226.4136199951172, 338.7117919921875]","[199.69509887695312, 351.1629333496094]","[288.58428955078125, 347.80755615234375]","[270.44671630859375, 360.16845703125]","[278.6514587402344, 426.99365234375]","[263.9035949707031, 444.2373046875]"
6,"[259.8421936035156, 163.92994689941406]","[260.5404357910156, 150.78314208984375]","[251.20994567871094, 150.15890502929688]","[234.65927124023438, 141.29527282714844]","[214.35531616210938, 140.7106170654297]","[222.17893981933594, 185.38970947265625]","[177.2735595703125, 196.31118774414062]","[247.16259765625, 288.17498779296875]","[195.1696014404297, 316.5489196777344]","[279.3050537109375, 255.6924591064453]","[270.2366943359375, 269.7182922363281]","[227.5769805908203, 341.0188293457031]","[199.0168914794922, 352.8636779785156]","[287.40362548828125, 353.2802429199219]","[268.29083251953125, 365.09869384765625]","[275.9873352050781, 434.8579406738281]","[261.1768798828125, 451.3876953125]"
7,"[259.4638977050781, 163.80313110351562]","[260.3800048828125, 150.70509338378906]","[250.42617797851562, 150.06260681152344]","[235.95269775390625, 141.5522918701172]","[213.43148803710938, 140.77198791503906]","[223.8267059326172, 185.99716186523438]","[176.99652099609375, 196.1915283203125]","[248.3340606689453, 288.39019775390625]","[194.73728942871094, 315.67437744140625]","[278.7733154296875, 255.83497619628906]","[270.0152282714844, 269.677734375]","[228.86752319335938, 341.0809020996094]","[199.02389526367188, 352.48846435546875]","[287.4639587402344, 354.2734375]","[267.88323974609375, 365.69305419921875]","[275.19134521484375, 436.7143249511719]","[260.8532409667969, 452.74639892578125]"
8,"[257.8136901855469, 164.88308715820312]","[260.032470703125, 152.514404296875]","[251.07179260253906, 150.3658447265625]","[234.88027954101562, 141.89669799804688]","[216.2918701171875, 139.72708129882812]","[213.17848205566406, 187.2418212890625]","[177.87852478027344, 202.2285919189453]","[232.62269592285156, 282.2986755371094]","[193.82757568359375, 317.8706359863281]","[283.548095703125, 256.4354553222656]","[279.7396545410156, 273.9385681152344]","[247.4279022216797, 352.9017639160156]","[224.183349609375, 374.28076171875]","[378.3904724121094, 334.3946533203125]","[363.05865478515625, 359.20404052734375]","[388.5449523925781, 383.3912658691406]","[410.4985046386719, 412.86785888671875]"
9,"[257.7788391113281, 164.27243041992188]","[260.0052490234375, 151.7987823486328]","[250.8647918701172, 149.82815551757812]","[235.01710510253906, 141.6126251220703]","[215.88482666015625, 139.76507568359375]","[213.65310668945312, 187.96170043945312]","[177.52975463867188, 202.77828979492188]","[233.07513427734375, 283.56146240234375]","[193.8450164794922, 318.15179443359375]","[284.6011962890625, 256.88140869140625]","[280.6251525878906, 273.84130859375]","[248.5173797607422, 352.43426513671875]","[224.85557556152344, 373.82806396484375]","[379.03033447265625, 334.1762390136719]","[363.6243896484375, 358.6414794921875]","[391.490478515625, 381.87652587890625]","[413.2546081542969, 410.55780029296875]"
10,"[257.7231140136719, 164.0767364501953]","[259.9115295410156, 151.53982543945312]","[250.95851135253906, 149.7938995361328]","[234.98565673828125, 141.41921997070312]","[216.50465393066406, 139.96044921875]","[214.19041442871094, 187.4216766357422]","[177.2071533203125, 203.18080139160156]","[234.1639404296875, 281.7822265625]","[193.53924560546875, 318.28253173828125]","[284.8540954589844, 255.81610107421875]","[281.2090148925781, 273.80169677734375]","[248.24359130859375, 351.4424133300781]","[224.174560546875, 373.3026428222656]","[378.902099609375, 333.04888916015625]","[363.23187255859375, 358.1041564941406]","[393.10125732421875, 380.7615966796875]","[414.828369140625, 409.99346923828125]"
11,"[257.9279479980469, 164.1724090576172]","[259.9550476074219, 151.63995361328125]","[251.3257293701172, 149.9142608642578]","[234.57510375976562, 141.30702209472656]","[217.1490478515625, 139.9683074951172]","[213.7923126220703, 186.9781036376953]","[177.72923278808594, 202.7848663330078]","[233.5886688232422, 281.52630615234375]","[193.49253845214844, 317.9007263183594]","[284.5059814453125, 256.0285949707031]","[281.16375732421875, 274.215087890625]","[247.6364288330078, 351.01019287109375]","[224.17547607421875, 372.8614196777344]","[378.5143737792969, 333.036376953125]","[363.27996826171875, 358.21527099609375]","[392.47039794921875, 381.1858825683594]","[413.8121643066406, 410.68798828125]"
12,"[257.19891357421875, 163.97952270507812]","[259.21978759765625, 151.37301635742188]","[250.6017608642578, 149.72959899902344]","[234.22372436523438, 140.777587890625]","[216.6668243408203, 139.48629760742188]","[213.5800018310547, 186.4268341064453]","[177.90830993652344, 202.24095153808594]","[234.16213989257812, 280.7396240234375]","[195.41029357910156, 317.0723876953125]","[283.8745422363281, 255.22874450683594]","[281.0080261230469, 274.37872314453125]","[248.10067749023438, 350.3117370605469]","[224.9882354736328, 372.2875061035156]","[379.645751953125, 328.7742919921875]","[365.0413513183594, 354.1822814941406]","[396.0789489746094, 379.4419860839844]","[417.7392883300781, 409.5180358886719]"
13,"[256.0261535644531, 163.61770629882812]","[258.96148681640625, 150.81399536132812]","[248.39263916015625, 149.12635803222656]","[236.29656982421875, 140.2386016845703]","[213.399169921875, 138.88734436035156]","[214.0402374267578, 186.92431640625]","[177.07455444335938, 202.08267211914062]","[233.47637939453125, 281.6305847167969]","[194.96360778808594, 316.8409729003906]","[284.45977783203125, 255.82142639160156]","[280.57177734375, 274.2307434082031]","[249.11549377441406, 350.98492431640625]","[224.84825134277344, 372.9936218261719]","[382.783447265625, 329.76263427734375]","[367.50238037109375, 355.654296875]","[397.0267639160156, 379.0181579589844]","[419.65594482421875, 409.7740173339844]"
14,"[256.9708251953125, 162.97860717773438]","[259.66265869140625, 150.17568969726562]","[249.34681701660156, 148.5458221435547]","[236.3822021484375, 140.0112762451172]","[213.93907165527344, 138.81797790527344]","[214.2648468017578, 186.97572326660156]","[176.90231323242188, 202.537353515625]","[233.86788940429688, 281.7410888671875]","[194.5274200439453, 317.55572509765625]","[284.6894836425781, 255.8555145263672]","[280.34613037109375, 274.1875915527344]","[249.65365600585938, 351.2151794433594]","[225.13931274414062, 373.42767333984375]","[383.6408386230469, 330.60693359375]","[367.84625244140625, 356.6099853515625]","[397.9657287597656, 379.4599304199219]","[419.913330078125, 410.0174865722656]"
15,"[257.67919921875, 161.09849548339844]","[260.45086669921875, 148.09735107421875]","[249.2281951904297, 146.6988067626953]","[237.298095703125, 139.2117462158203]","[212.00140380859375, 138.59678649902344]","[213.41981506347656, 188.6458282470703]","[177.5316162109375, 203.5508575439453]","[232.52865600585938, 284.207275390625]","[195.62246704101562, 317.2636413574219]","[284.59912109375, 257.0126953125]","[280.1201477050781, 273.44696044921875]","[249.0238037109375, 351.878662109375]","[225.18667602539062, 373.72357177734375]","[380.7738037109375, 329.6756591796875]","[366.4715270996094, 355.68988037109375]","[394.7276306152344, 378.99462890625]","[416.5532531738281, 408.9459533691406]"
16,"[255.93035888671875, 161.385498046875]","[258.88092041015625, 148.4158477783203]","[247.56907653808594, 146.85845947265625]","[236.15292358398438, 139.3418426513672]","[210.80032348632812, 138.40283203125]","[212.37904357910156, 188.345947265625]","[177.2878875732422, 203.8509521484375]","[232.64666748046875, 283.0531921386719]","[195.9363250732422, 317.9541320800781]","[284.41326904296875, 256.152099609375]","[280.3112487792969, 273.9712829589844]","[250.5370330810547, 351.7997131347656]","[227.17762756347656, 374.1647033691406]","[384.4659423828125, 329.62200927734375]","[370.2135314941406, 356.7264404296875]","[397.53363037109375, 377.62786865234375]","[420.189697265625, 409.32781982421875]"
17,"[255.11041259765625, 161.4957275390625]","[258.01019287109375, 148.39959716796875]","[246.6177978515625, 146.89244079589844]","[235.2067108154297, 139.3291778564453]","[209.4092559814453, 138.47164916992188]","[211.20924377441406, 188.8819580078125]","[176.80482482910156, 204.45265197753906]","[232.2799530029297, 283.536376953125]","[196.01075744628906, 318.11602783203125]","[284.3535461425781, 256.0523986816406]","[279.79779052734375, 274.20379638671875]","[251.9900665283203, 350.8857727050781]","[229.16427612304688, 373.5661926269531]","[386.5989074707031, 327.15191650390625]","[372.671875, 354.9357604980469]","[401.4661560058594, 374.3887939453125]","[424.0198974609375, 407.017822265625]"
18,"[254.98379516601562, 161.48153686523438]","[257.9717102050781, 148.3751678466797]","[246.14439392089844, 146.76210021972656]","[235.5341033935547, 139.674560546875]","[208.3767852783203, 138.71571350097656]","[211.27171325683594, 189.83596801757812]","[177.28314208984375, 205.4242401123047]","[232.75100708007812, 284.8699951171875]","[196.0052490234375, 319.332763671875]","[285.15631103515625, 257.255859375]","[279.52008056640625, 273.4223327636719]","[253.522705078125, 352.8973083496094]","[230.75181579589844, 375.5789794921875]","[387.4581298828125, 330.1733703613281]","[373.9423522949219, 358.4399108886719]","[398.42205810546875, 375.2186279296875]","[422.0511779785156, 408.17083740234375]"
19,"[255.60324096679688, 160.6790313720703]","[257.3489990234375, 147.16200256347656]","[244.63829040527344, 145.8618621826172]","[237.58790588378906, 139.27005004882812]","[205.12680053710938, 139.01548767089844]","[217.14309692382812, 193.33384704589844]","[174.78717041015625, 207.47283935546875]","[239.6341552734375, 281.4571533203125]","[192.83937072753906, 316.5220642089844]","[284.9667053222656, 256.03680419921875]","[276.65216064453125, 271.28082275390625]","[262.0637512207031, 357.7665710449219]","[234.77618408203125, 379.09271240234375]","[390.0414733886719, 329.60888671875]","[378.5962829589844, 351.1464538574219]","[398.9656066894531, 381.8339538574219]","[425.0445556640625, 400.8152160644531]"
