Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[328.39874267578125, 119.2887954711914]","[326.5350341796875, 106.52801513671875]","[320.8024597167969, 107.83804321289062]","[291.28155517578125, 105.2376708984375]","[287.2189636230469, 110.78173828125]","[286.30389404296875, 160.13986206054688]","[255.87332153320312, 180.80300903320312]","[328.8468017578125, 254.60179138183594]","[286.5161437988281, 292.1909484863281]","[339.5021057128906, 173.88180541992188]","[337.13470458984375, 186.82965087890625]","[298.7713928222656, 317.7118835449219]","[279.7371826171875, 333.7598876953125]","[358.4218444824219, 287.7539367675781]","[343.6947937011719, 304.241455078125]","[350.22900390625, 353.74932861328125]","[336.6728515625, 377.3096923828125]"
2,"[328.3205261230469, 118.99539184570312]","[326.4453125, 106.23332977294922]","[320.70135498046875, 107.57878875732422]","[291.2185974121094, 105.02632141113281]","[287.1411437988281, 110.67767333984375]","[286.2827453613281, 160.0293426513672]","[256.0774841308594, 180.6221160888672]","[327.8244934082031, 254.75794982910156]","[286.3884582519531, 291.8552551269531]","[338.3725891113281, 174.60690307617188]","[336.66900634765625, 187.052490234375]","[298.777099609375, 317.0201110839844]","[279.95196533203125, 332.9957275390625]","[358.5469055175781, 285.53265380859375]","[344.001708984375, 301.8934020996094]","[350.0668640136719, 351.4571533203125]","[336.9923095703125, 374.8125305175781]"
3,"[327.744140625, 118.78690338134766]","[326.1731872558594, 105.69300842285156]","[321.3126525878906, 107.28208923339844]","[290.0128479003906, 103.34860229492188]","[288.20849609375, 109.53001403808594]","[279.6791687011719, 152.8268280029297]","[252.30331420898438, 179.0766143798828]","[320.1636657714844, 241.8976593017578]","[284.0277099609375, 293.251953125]","[348.4231262207031, 168.3743438720703]","[327.5924987792969, 188.1964111328125]","[296.486083984375, 314.02203369140625]","[279.66082763671875, 334.0507507324219]","[354.69342041015625, 293.1878662109375]","[349.9119873046875, 314.3912353515625]","[363.04705810546875, 350.54736328125]","[354.8127136230469, 380.5218505859375]"
4,"[328.57623291015625, 119.27950286865234]","[326.655029296875, 106.52991485595703]","[320.9101867675781, 107.8861083984375]","[291.3373107910156, 105.40452575683594]","[287.1945495605469, 111.09278869628906]","[286.2761535644531, 160.53646850585938]","[256.3354187011719, 181.055419921875]","[327.61724853515625, 255.13760375976562]","[286.7368469238281, 291.9320983886719]","[338.44281005859375, 176.17520141601562]","[336.8309326171875, 188.16395568847656]","[298.4458923339844, 317.16943359375]","[279.8568420410156, 333.0952453613281]","[358.7393798828125, 284.80255126953125]","[344.7311096191406, 301.1039123535156]","[349.7657165527344, 351.0959777832031]","[337.6348876953125, 374.39093017578125]"
5,"[328.572998046875, 118.96894073486328]","[326.5050354003906, 106.40190124511719]","[321.0144958496094, 107.80613708496094]","[291.70751953125, 105.44034576416016]","[287.6527404785156, 111.1138687133789]","[286.6277160644531, 160.19635009765625]","[256.43597412109375, 180.898681640625]","[329.2779846191406, 252.0390625]","[286.46099853515625, 290.00457763671875]","[342.5401916503906, 173.6847381591797]","[338.3564758300781, 186.7899627685547]","[299.1646728515625, 316.5615234375]","[280.4208984375, 332.691650390625]","[359.2174987792969, 282.79107666015625]","[345.266357421875, 299.4407043457031]","[349.45953369140625, 347.60760498046875]","[337.3046569824219, 371.3659973144531]"
6,"[327.79376220703125, 118.18517303466797]","[325.9796142578125, 105.64684295654297]","[320.2356262207031, 106.87261962890625]","[291.60003662109375, 104.88434600830078]","[287.1064453125, 110.06716918945312]","[286.31695556640625, 160.34103393554688]","[255.9232177734375, 180.03347778320312]","[326.49554443359375, 254.0082244873047]","[285.1932067871094, 290.15179443359375]","[338.6943054199219, 174.7382354736328]","[336.908203125, 187.22792053222656]","[298.42694091796875, 317.88714599609375]","[279.536865234375, 333.490234375]","[358.8868408203125, 286.0565185546875]","[344.6745910644531, 302.08575439453125]","[349.5649108886719, 351.99371337890625]","[336.9305419921875, 374.7646484375]"
7,"[327.84954833984375, 118.53147888183594]","[325.8793029785156, 105.97766876220703]","[320.2394714355469, 107.31440734863281]","[291.5046081542969, 105.15369415283203]","[286.8778381347656, 110.6301498413086]","[285.9656982421875, 160.18548583984375]","[255.69444274902344, 180.7703399658203]","[327.9228515625, 252.30250549316406]","[285.7287902832031, 290.486328125]","[340.201171875, 173.1933135986328]","[337.52716064453125, 186.8620147705078]","[298.5208740234375, 317.9488220214844]","[279.59063720703125, 334.1084899902344]","[359.5940856933594, 285.8421936035156]","[345.6623840332031, 302.6328125]","[350.17108154296875, 352.4418029785156]","[337.4303283691406, 376.3422546386719]"
8,"[327.5931701660156, 118.59370422363281]","[325.5625915527344, 105.97515869140625]","[319.9902038574219, 107.36567687988281]","[290.9136962890625, 104.8648452758789]","[286.5823974609375, 110.4999008178711]","[285.3065490722656, 159.6771697998047]","[255.60467529296875, 180.419189453125]","[326.8873291015625, 251.75115966796875]","[285.7187805175781, 289.8482971191406]","[339.0813903808594, 173.63534545898438]","[337.15850830078125, 186.79574584960938]","[297.98895263671875, 317.3230895996094]","[279.4783020019531, 333.5509033203125]","[359.3283386230469, 285.6614990234375]","[345.99237060546875, 302.49041748046875]","[349.4885559082031, 351.0434875488281]","[337.5782775878906, 374.99810791015625]"
9,"[327.4747619628906, 118.40213012695312]","[325.2748107910156, 105.88262176513672]","[319.5338439941406, 107.45437622070312]","[292.2440185546875, 105.42617797851562]","[286.180908203125, 111.39761352539062]","[288.1833801269531, 160.76902770996094]","[255.84642028808594, 181.567626953125]","[330.55523681640625, 251.69119262695312]","[285.63226318359375, 290.22113037109375]","[340.8627014160156, 172.5404815673828]","[336.8977355957031, 186.0863037109375]","[300.8745422363281, 318.5478515625]","[280.6490173339844, 334.66241455078125]","[359.9540100097656, 287.7090759277344]","[345.32958984375, 304.58160400390625]","[350.0499267578125, 354.16455078125]","[337.27001953125, 378.27978515625]"
10,"[327.38287353515625, 117.96118927001953]","[325.3306579589844, 105.42821502685547]","[319.2161560058594, 106.9666748046875]","[293.0800476074219, 105.11499786376953]","[285.6286926269531, 110.95923614501953]","[289.385986328125, 160.76173400878906]","[255.70802307128906, 181.1201629638672]","[331.3093566894531, 251.80453491210938]","[285.6904296875, 289.5337219238281]","[340.4303283691406, 172.86062622070312]","[336.7272644042969, 185.90670776367188]","[301.8243408203125, 318.9478454589844]","[280.6893615722656, 334.7931823730469]","[360.5933532714844, 288.6150817871094]","[345.25067138671875, 305.1991882324219]","[350.7854919433594, 355.22259521484375]","[337.512451171875, 378.921142578125]"
11,"[327.46710205078125, 117.69619750976562]","[325.2509460449219, 105.20219421386719]","[319.46502685546875, 106.7578125]","[292.369384765625, 104.98029327392578]","[286.01885986328125, 110.91352844238281]","[288.5271911621094, 160.7057342529297]","[255.82321166992188, 181.28880310058594]","[330.58447265625, 251.7042999267578]","[285.684326171875, 289.7162170410156]","[339.95867919921875, 172.7281951904297]","[336.4892578125, 185.82395935058594]","[300.9819641113281, 318.93017578125]","[280.53021240234375, 334.912841796875]","[360.24151611328125, 287.7978515625]","[345.5682067871094, 304.532958984375]","[350.3030700683594, 354.29534912109375]","[337.68585205078125, 378.22698974609375]"
12,"[327.42181396484375, 117.79289245605469]","[325.22418212890625, 105.26811218261719]","[319.3829345703125, 106.84366607666016]","[292.32904052734375, 104.97555541992188]","[285.9309387207031, 110.96823120117188]","[288.4505310058594, 160.5821990966797]","[255.95069885253906, 181.1920623779297]","[330.4588623046875, 251.68475341796875]","[285.784423828125, 289.6555480957031]","[339.9183044433594, 172.74981689453125]","[336.44488525390625, 185.82627868652344]","[300.9408264160156, 318.66400146484375]","[280.60821533203125, 334.6197814941406]","[359.9497375488281, 288.1150817871094]","[345.2496337890625, 304.79498291015625]","[350.1072692871094, 354.5317687988281]","[337.3303527832031, 378.4075927734375]"
13,"[327.5260925292969, 118.307373046875]","[325.343017578125, 105.74043273925781]","[319.4499206542969, 107.31765747070312]","[292.3938293457031, 105.2940902709961]","[285.7841491699219, 111.28999328613281]","[288.0953369140625, 160.6892852783203]","[255.81344604492188, 181.4008026123047]","[329.9673156738281, 251.77427673339844]","[285.771240234375, 290.0202331542969]","[339.7940368652344, 172.54830932617188]","[336.6177673339844, 185.83506774902344]","[300.5999755859375, 318.457763671875]","[280.3680114746094, 334.5198974609375]","[360.41619873046875, 287.35711669921875]","[345.8229675292969, 304.1778259277344]","[350.5342102050781, 354.01593017578125]","[337.6877136230469, 378.0736999511719]"
