Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[309.21588134765625, 200.29408264160156]","[308.24957275390625, 187.5164031982422]","[300.8187561035156, 188.38705444335938]","[297.2490539550781, 188.2825927734375]","[260.7360534667969, 187.63792419433594]","[275.1791687011719, 236.0651092529297]","[195.6088409423828, 250.95785522460938]","[289.32257080078125, 318.28277587890625]","[179.11744689941406, 367.4890441894531]","[339.4263610839844, 325.38665771484375]","[285.8485107421875, 367.7568359375]","[281.4684143066406, 389.5007629394531]","[227.29605102539062, 408.1483154296875]","[364.7518615722656, 355.2306823730469]","[325.20135498046875, 378.9549865722656]","[346.37091064453125, 389.7579345703125]","[325.1727294921875, 423.1552734375]"
2,"[310.01715087890625, 199.80381774902344]","[308.9425354003906, 187.04429626464844]","[301.550537109375, 187.96368408203125]","[297.6363525390625, 188.03961181640625]","[261.2027893066406, 187.53396606445312]","[275.28424072265625, 236.00657653808594]","[196.24667358398438, 251.06008911132812]","[289.2532653808594, 317.619140625]","[178.9954833984375, 367.0655822753906]","[339.5778503417969, 325.1528015136719]","[284.3769836425781, 368.34039306640625]","[281.7547912597656, 389.38201904296875]","[227.94378662109375, 408.0749816894531]","[365.3759765625, 355.8464660644531]","[325.995849609375, 379.60467529296875]","[346.953857421875, 390.3790588378906]","[325.73876953125, 423.9006042480469]"
3,"[309.48394775390625, 199.8665313720703]","[308.4325256347656, 187.2088165283203]","[301.05035400390625, 188.0966033935547]","[297.5057067871094, 188.37684631347656]","[260.95257568359375, 187.76467895507812]","[275.7751159667969, 236.3268585205078]","[195.9995880126953, 251.18678283691406]","[290.2790222167969, 317.1986083984375]","[178.55992126464844, 366.46820068359375]","[340.08245849609375, 324.7024841308594]","[284.49114990234375, 368.29522705078125]","[282.70404052734375, 389.589111328125]","[228.43392944335938, 408.1772766113281]","[366.25848388671875, 356.5559387207031]","[326.3192443847656, 380.1551818847656]","[348.31622314453125, 391.1225280761719]","[326.945556640625, 424.37579345703125]"
4,"[309.1782531738281, 200.0423126220703]","[308.04388427734375, 187.25112915039062]","[300.7984619140625, 188.35858154296875]","[296.87298583984375, 188.1448974609375]","[260.9527893066406, 188.16357421875]","[274.7963562011719, 235.8397216796875]","[196.35910034179688, 251.59767150878906]","[289.02862548828125, 316.9300842285156]","[179.45266723632812, 367.3869323730469]","[339.9560852050781, 324.3810729980469]","[285.7569274902344, 367.9877014160156]","[281.77557373046875, 387.5915222167969]","[228.49658203125, 406.59466552734375]","[364.0396728515625, 353.43426513671875]","[325.6539306640625, 377.4707336425781]","[346.2887268066406, 385.4640197753906]","[326.5398864746094, 419.3459777832031]"
5,"[307.68994140625, 200.74493408203125]","[307.12188720703125, 187.7662811279297]","[298.877197265625, 188.82119750976562]","[297.2149658203125, 188.44235229492188]","[258.896240234375, 188.31918334960938]","[274.7056884765625, 235.69122314453125]","[195.56993103027344, 251.37094116210938]","[289.2716369628906, 316.3751220703125]","[179.69720458984375, 367.16876220703125]","[340.1918640136719, 324.164306640625]","[284.7381286621094, 368.5893249511719]","[281.3367919921875, 386.2790222167969]","[227.44866943359375, 405.1745300292969]","[363.2958984375, 353.237060546875]","[324.40594482421875, 377.1789855957031]","[345.65093994140625, 385.2197570800781]","[324.9407958984375, 418.9154052734375]"
6,"[308.1034851074219, 200.29339599609375]","[307.08355712890625, 187.47720336914062]","[299.7754821777344, 188.6121826171875]","[296.1311950683594, 188.18446350097656]","[260.1885681152344, 188.32154846191406]","[274.0641784667969, 235.3267364501953]","[195.6796417236328, 251.4888153076172]","[288.47607421875, 315.75897216796875]","[179.36000061035156, 367.2401123046875]","[340.13067626953125, 323.6891174316406]","[284.8804016113281, 368.63397216796875]","[280.9844055175781, 385.8325500488281]","[227.75491333007812, 405.0229797363281]","[363.2784729003906, 352.48638916015625]","[325.1756286621094, 376.69879150390625]","[346.1260070800781, 383.51385498046875]","[326.45684814453125, 417.5813903808594]"
7,"[308.43890380859375, 200.40606689453125]","[307.4041442871094, 187.6068878173828]","[300.06121826171875, 188.710693359375]","[296.47100830078125, 188.4661102294922]","[260.3112487792969, 188.51986694335938]","[274.15899658203125, 235.75328063964844]","[195.69863891601562, 251.8308563232422]","[288.7143249511719, 316.0243225097656]","[179.09788513183594, 367.63458251953125]","[340.27093505859375, 323.7520446777344]","[283.8244934082031, 369.3017578125]","[280.19378662109375, 386.373046875]","[226.80303955078125, 405.48443603515625]","[362.8064880371094, 352.8600158691406]","[324.1425476074219, 377.0817565917969]","[344.7936706542969, 384.22296142578125]","[323.9722595214844, 418.3752136230469]"
8,"[309.6331481933594, 199.6577911376953]","[308.4732971191406, 186.95668029785156]","[301.2087097167969, 188.02606201171875]","[297.32537841796875, 188.17630004882812]","[261.2069091796875, 188.08328247070312]","[274.997314453125, 235.9438018798828]","[196.5634002685547, 251.69061279296875]","[289.23211669921875, 315.72119140625]","[178.81161499023438, 366.90106201171875]","[340.40728759765625, 323.14813232421875]","[282.71539306640625, 369.3933410644531]","[281.4018249511719, 386.9159851074219]","[227.9896697998047, 405.8360595703125]","[364.1685791015625, 355.0875244140625]","[324.718994140625, 379.08929443359375]","[346.531494140625, 386.23291015625]","[324.4046936035156, 420.12115478515625]"
9,"[310.50531005859375, 199.53103637695312]","[309.31622314453125, 186.88247680664062]","[301.98980712890625, 187.8643341064453]","[298.3667297363281, 188.46734619140625]","[261.7088317871094, 188.08544921875]","[276.4280090332031, 236.7761993408203]","[196.43865966796875, 251.97683715820312]","[291.4498596191406, 316.8448791503906]","[178.81507873535156, 367.2151794433594]","[341.4939270019531, 324.3990783691406]","[283.9239807128906, 369.5481262207031]","[281.2945861816406, 388.7611083984375]","[226.76939392089844, 407.34295654296875]","[363.2468566894531, 357.4346008300781]","[322.60650634765625, 381.2181091308594]","[343.78765869140625, 389.8798828125]","[321.0883483886719, 423.6213684082031]"
10,"[310.22125244140625, 198.6837158203125]","[308.88958740234375, 186.14952087402344]","[301.99798583984375, 187.2374725341797]","[297.592041015625, 188.0152130126953]","[262.3248596191406, 187.92266845703125]","[276.3845520019531, 236.60812377929688]","[196.7728271484375, 252.30799865722656]","[291.78887939453125, 315.5631408691406]","[178.35443115234375, 366.5831298828125]","[342.5658874511719, 323.27508544921875]","[283.281982421875, 369.4938659667969]","[283.3418273925781, 387.0816955566406]","[229.4878387451172, 405.98211669921875]","[363.8890075683594, 355.68927001953125]","[325.00958251953125, 379.62542724609375]","[346.5379638671875, 384.6632995605469]","[326.9940490722656, 418.4981689453125]"
11,"[310.12884521484375, 198.77801513671875]","[308.669677734375, 186.2005615234375]","[301.89385986328125, 187.28457641601562]","[297.1987609863281, 187.79978942871094]","[262.18377685546875, 187.71139526367188]","[277.03851318359375, 236.63360595703125]","[196.62210083007812, 251.91078186035156]","[291.6228942871094, 318.0616149902344]","[178.42015075683594, 367.4098205566406]","[340.8146667480469, 326.0735778808594]","[282.52874755859375, 369.23583984375]","[283.59381103515625, 389.8105163574219]","[228.8313446044922, 408.36944580078125]","[364.60760498046875, 358.63372802734375]","[321.7090759277344, 382.2018127441406]","[346.57342529296875, 389.6238098144531]","[320.4953918457031, 422.9755554199219]"
12,"[310.3476257324219, 199.29112243652344]","[308.84112548828125, 186.70779418945312]","[302.2196960449219, 187.79119873046875]","[297.07305908203125, 188.07073974609375]","[262.5434265136719, 188.0063934326172]","[275.8012390136719, 236.43882751464844]","[197.01864624023438, 251.96078491210938]","[290.46014404296875, 316.91461181640625]","[177.7847442626953, 367.3724060058594]","[342.02032470703125, 324.5293884277344]","[281.1614685058594, 370.1598815917969]","[281.99249267578125, 388.98394775390625]","[228.34263610839844, 407.7188415527344]","[364.3792724609375, 357.9146423339844]","[322.9969482421875, 381.6989440917969]","[346.48687744140625, 387.5376281738281]","[321.0572509765625, 421.15533447265625]"
13,"[309.97576904296875, 198.85116577148438]","[308.4615783691406, 186.3814239501953]","[302.0136413574219, 187.45545959472656]","[296.6693420410156, 187.84181213378906]","[262.7839050292969, 187.7984619140625]","[275.91778564453125, 236.30836486816406]","[197.1385955810547, 251.8343963623047]","[290.45947265625, 316.5365295410156]","[177.63485717773438, 366.8199768066406]","[341.7474365234375, 324.342041015625]","[280.8677978515625, 370.0751953125]","[282.55499267578125, 389.22528076171875]","[229.01760864257812, 407.9598083496094]","[365.2065124511719, 357.67156982421875]","[324.0649108886719, 381.35479736328125]","[347.4316711425781, 387.7451477050781]","[322.5683898925781, 421.14764404296875]"
14,"[309.0015869140625, 199.37147521972656]","[307.525390625, 186.79991149902344]","[301.0614013671875, 187.962158203125]","[295.6748352050781, 187.7625732421875]","[261.9979553222656, 188.01475524902344]","[274.8961486816406, 235.58468627929688]","[196.7895965576172, 251.57015991210938]","[289.0269775390625, 316.093017578125]","[177.5698699951172, 366.91424560546875]","[340.8255615234375, 324.2948303222656]","[279.9614562988281, 370.2440490722656]","[281.9964294433594, 388.31561279296875]","[228.86293029785156, 407.26318359375]","[365.2071533203125, 356.8157653808594]","[324.04248046875, 380.6477355957031]","[348.06976318359375, 386.6708068847656]","[322.4149475097656, 420.2048034667969]"
15,"[307.9560546875, 200.48727416992188]","[306.64739990234375, 187.79562377929688]","[299.8953552246094, 188.9681854248047]","[295.3807373046875, 188.3302001953125]","[260.7332458496094, 188.6070098876953]","[274.32452392578125, 235.26219177246094]","[195.7396697998047, 251.56585693359375]","[289.3392639160156, 315.04296875]","[177.58348083496094, 367.00958251953125]","[341.6212463378906, 323.8362121582031]","[279.9674377441406, 370.943603515625]","[280.90997314453125, 387.1751403808594]","[227.33570861816406, 406.2685546875]","[363.7352600097656, 356.1297912597656]","[322.14910888671875, 380.20330810546875]","[346.8780212402344, 385.679931640625]","[320.485595703125, 419.5864562988281]"
16,"[307.984375, 200.57241821289062]","[306.7359924316406, 187.85775756835938]","[299.942138671875, 188.96749877929688]","[295.46044921875, 188.34059143066406]","[260.7185974121094, 188.4276580810547]","[274.41265869140625, 235.33599853515625]","[195.4375762939453, 251.44647216796875]","[289.19940185546875, 315.60223388671875]","[177.47781372070312, 367.2658996582031]","[341.1365966796875, 324.3302307128906]","[280.6724853515625, 370.91448974609375]","[281.2858581542969, 387.4713439941406]","[227.4444580078125, 406.53271484375]","[363.9988708496094, 356.144287109375]","[322.2066650390625, 380.1833801269531]","[347.1395263671875, 385.4497375488281]","[320.7637023925781, 419.2596435546875]"
17,"[307.1385498046875, 201.1717529296875]","[306.02032470703125, 188.4242706298828]","[299.234619140625, 189.55796813964844]","[294.73248291015625, 188.731201171875]","[260.3789367675781, 188.93714904785156]","[273.4990539550781, 235.3700408935547]","[195.2650909423828, 251.76617431640625]","[288.3426818847656, 315.3271179199219]","[177.58438110351562, 367.4892883300781]","[341.2064208984375, 323.9068908691406]","[281.0518798828125, 371.07470703125]","[280.7813415527344, 386.53704833984375]","[227.56317138671875, 405.7406921386719]","[362.59344482421875, 353.9046630859375]","[321.8523254394531, 377.990234375]","[347.0709533691406, 381.4896545410156]","[321.94940185546875, 415.2924499511719]"
18,"[307.71990966796875, 200.78384399414062]","[306.4966125488281, 188.0303192138672]","[299.7111511230469, 189.1497344970703]","[295.0577087402344, 188.5148162841797]","[260.5352783203125, 188.6612091064453]","[273.9026794433594, 235.6485595703125]","[195.4273223876953, 251.8896484375]","[288.8729553222656, 316.08447265625]","[177.8217315673828, 367.8979187011719]","[341.21771240234375, 324.30047607421875]","[281.9444274902344, 370.6971435546875]","[281.2581787109375, 387.85870361328125]","[227.87246704101562, 407.0057678222656]","[363.2142333984375, 353.9073486328125]","[322.3641052246094, 377.9858093261719]","[346.45806884765625, 382.4197998046875]","[321.4826965332031, 416.2564392089844]"
19,"[308.27392578125, 200.70388793945312]","[307.0533752441406, 188.04795837402344]","[300.2784729003906, 189.05300903320312]","[295.62725830078125, 188.7217254638672]","[261.0948791503906, 188.546875]","[274.5253601074219, 236.12294006347656]","[195.77197265625, 251.892333984375]","[289.7360534667969, 316.7420654296875]","[177.79409790039062, 368.07000732421875]","[342.20574951171875, 324.005126953125]","[281.6832275390625, 370.7492980957031]","[281.3740539550781, 388.98614501953125]","[227.80540466308594, 407.9209899902344]","[364.6549072265625, 356.04010009765625]","[323.80242919921875, 379.9171142578125]","[347.4796142578125, 386.2407531738281]","[322.4378967285156, 419.7623291015625]"
20,"[308.5865478515625, 201.25045776367188]","[307.5257263183594, 188.57505798339844]","[300.47515869140625, 189.50216674804688]","[296.7305908203125, 189.32176208496094]","[261.0998840332031, 188.8699951171875]","[275.4930725097656, 236.71554565429688]","[195.25860595703125, 252.12103271484375]","[291.2187194824219, 317.1726379394531]","[177.80076599121094, 368.1890563964844]","[342.5374450683594, 324.6527099609375]","[282.9209289550781, 370.68585205078125]","[280.6551818847656, 389.2590637207031]","[226.03488159179688, 407.99041748046875]","[362.5138854980469, 356.8462829589844]","[321.2995910644531, 380.6932373046875]","[344.1625671386719, 387.3507385253906]","[319.8210754394531, 420.95635986328125]"
21,"[308.4972229003906, 201.25804138183594]","[307.45037841796875, 188.54681396484375]","[300.45709228515625, 189.53054809570312]","[296.4609680175781, 189.16453552246094]","[261.1922607421875, 188.8878936767578]","[274.8186340332031, 236.30810546875]","[195.49539184570312, 252.059326171875]","[290.0710144042969, 316.58074951171875]","[178.1834259033203, 368.066650390625]","[342.1150817871094, 324.19921875]","[282.934326171875, 370.4768371582031]","[280.4776611328125, 387.93310546875]","[226.56289672851562, 406.874267578125]","[362.0404357910156, 355.5045166015625]","[322.154296875, 379.52911376953125]","[344.5196533203125, 384.95849609375]","[321.7200622558594, 418.7750549316406]"
22,"[309.00897216796875, 201.49740600585938]","[307.9881896972656, 188.616455078125]","[300.7967224121094, 189.6324005126953]","[296.77899169921875, 188.98715209960938]","[261.07806396484375, 188.7760772705078]","[274.4150390625, 236.06407165527344]","[195.58412170410156, 251.86643981933594]","[288.7390441894531, 317.3748779296875]","[178.330078125, 368.6949462890625]","[341.1180419921875, 324.9363708496094]","[282.75439453125, 370.24127197265625]","[279.9159240722656, 387.3360900878906]","[226.23794555664062, 406.34912109375]","[362.056396484375, 355.47509765625]","[322.4224548339844, 379.6375427246094]","[344.0453796386719, 384.52056884765625]","[321.0420227050781, 418.53057861328125]"
23,"[309.6477355957031, 201.60623168945312]","[308.6966857910156, 188.83767700195312]","[301.4014587402344, 189.72683715820312]","[298.3719482421875, 189.17950439453125]","[261.8060302734375, 188.56723022460938]","[276.89697265625, 236.38116455078125]","[195.52255249023438, 251.28355407714844]","[291.7862548828125, 317.8138732910156]","[177.03741455078125, 367.64410400390625]","[341.39520263671875, 326.1052551269531]","[282.4037170410156, 370.6711120605469]","[280.50738525390625, 390.3937683105469]","[224.87225341796875, 408.85162353515625]","[363.1564636230469, 358.55218505859375]","[319.8606262207031, 382.2303771972656]","[343.27734375, 391.1104431152344]","[316.6151428222656, 424.5696716308594]"
24,"[309.6263427734375, 201.41075134277344]","[308.6730651855469, 188.6234893798828]","[301.41644287109375, 189.51060485839844]","[298.14862060546875, 189.02499389648438]","[261.8536071777344, 188.38201904296875]","[276.54656982421875, 236.45535278320312]","[195.60787963867188, 251.37680053710938]","[291.4495849609375, 317.9132080078125]","[177.1094970703125, 367.7533264160156]","[341.7812194824219, 326.1978759765625]","[282.99896240234375, 370.5000915527344]","[281.04803466796875, 389.79254150390625]","[225.85784912109375, 408.3267822265625]","[362.7010803222656, 357.6769104003906]","[320.61102294921875, 381.4024658203125]","[343.14111328125, 388.3255920410156]","[318.13568115234375, 421.8016052246094]"
25,"[308.4854736328125, 202.12088012695312]","[307.6674499511719, 189.20559692382812]","[300.24847412109375, 190.1576385498047]","[297.4684143066406, 189.142822265625]","[260.8200378417969, 188.72332763671875]","[275.5120544433594, 235.9449920654297]","[194.78797912597656, 251.24221801757812]","[289.8475341796875, 317.5746765136719]","[176.53477478027344, 367.9646301269531]","[339.6336364746094, 326.7286682128906]","[282.2737121582031, 371.2239074707031]","[279.4149169921875, 389.2043151855469]","[224.10787963867188, 407.8881530761719]","[361.32049560546875, 354.8685607910156]","[317.96893310546875, 378.7958984375]","[341.1383056640625, 384.702392578125]","[313.7317199707031, 418.4571533203125]"
26,"[308.57135009765625, 201.81353759765625]","[307.7369384765625, 188.87188720703125]","[300.37701416015625, 189.8807373046875]","[297.3334655761719, 188.7728271484375]","[261.0560607910156, 188.5052032470703]","[275.31182861328125, 235.634033203125]","[195.08058166503906, 251.18495178222656]","[289.2863464355469, 317.1810607910156]","[176.63540649414062, 367.87152099609375]","[339.6858825683594, 326.3476867675781]","[282.25048828125, 371.02239990234375]","[280.0021667480469, 387.9442138671875]","[225.18385314941406, 406.80450439453125]","[361.73419189453125, 354.0922546386719]","[319.54302978515625, 378.14459228515625]","[342.0904846191406, 382.40985107421875]","[316.3381042480469, 416.2654724121094]"
27,"[308.8525085449219, 201.7473602294922]","[308.0572814941406, 188.9011688232422]","[300.6226806640625, 189.7660675048828]","[298.1069641113281, 189.046875]","[261.1736755371094, 188.34738159179688]","[276.42889404296875, 236.0972900390625]","[194.80038452148438, 251.074951171875]","[291.8434753417969, 317.52850341796875]","[176.97959899902344, 367.8219909667969]","[341.8541564941406, 326.4013366699219]","[283.9988708496094, 370.9633483886719]","[279.979248046875, 389.56304931640625]","[224.1859588623047, 408.0954895019531]","[360.80560302734375, 357.4455261230469]","[318.0035705566406, 381.27081298828125]","[340.5841369628906, 387.9382629394531]","[314.71527099609375, 421.58929443359375]"
28,"[308.8766784667969, 201.73834228515625]","[308.0684814453125, 188.91897583007812]","[300.70037841796875, 189.78919982910156]","[298.01715087890625, 189.09429931640625]","[261.32696533203125, 188.42181396484375]","[276.4183044433594, 236.1024169921875]","[194.94268798828125, 251.15447998046875]","[291.91363525390625, 317.3287658691406]","[177.31060791015625, 367.74444580078125]","[342.126708984375, 325.77569580078125]","[284.7942810058594, 370.46539306640625]","[280.34796142578125, 389.21026611328125]","[224.7776641845703, 407.8009033203125]","[361.1385498046875, 356.6786804199219]","[319.1071472167969, 380.5127868652344]","[341.3892822265625, 387.1018981933594]","[316.9826354980469, 420.73309326171875]"
29,"[308.9766540527344, 201.73292541503906]","[308.1492004394531, 188.9480438232422]","[300.832763671875, 189.80323791503906]","[298.0430603027344, 189.1926727294922]","[261.4642333984375, 188.4802703857422]","[276.41607666015625, 236.2218475341797]","[195.0215606689453, 251.264892578125]","[292.0367736816406, 317.1456604003906]","[177.3217315673828, 367.6642761230469]","[342.4721374511719, 325.3099670410156]","[284.6644287109375, 370.3466796875]","[280.44775390625, 389.1540832519531]","[224.9739990234375, 407.7529296875]","[361.3274230957031, 356.3655700683594]","[319.5140380859375, 380.2016906738281]","[341.8591003417969, 386.7237854003906]","[317.7731628417969, 420.3534851074219]"
