Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
317,"[324.0896301269531, 132.02517700195312]","[327.8540954589844, 118.28986358642578]","[316.9577941894531, 115.95037078857422]","[306.3485412597656, 109.52812957763672]","[281.3402404785156, 102.99458312988281]","[273.91326904296875, 158.20713806152344]","[233.2767791748047, 167.15260314941406]","[298.96142578125, 269.7457275390625]","[260.92987060546875, 306.5254211425781]","[354.8848571777344, 253.13800048828125]","[358.3492126464844, 276.87542724609375]","[274.0958251953125, 320.8233337402344]","[245.98406982421875, 336.55963134765625]","[372.5997619628906, 314.08642578125]","[366.0393981933594, 332.6871337890625]","[362.7054748535156, 382.8899230957031]","[359.2731018066406, 406.720458984375]"
318,"[324.10943603515625, 132.07196044921875]","[327.9521179199219, 118.28302001953125]","[316.96826171875, 115.88323974609375]","[306.129150390625, 109.46843719482422]","[281.279296875, 102.80779266357422]","[273.7314147949219, 158.51931762695312]","[233.20790100097656, 167.26853942871094]","[299.0043029785156, 271.18280029296875]","[261.2613830566406, 307.5110168457031]","[354.9971923828125, 252.24893188476562]","[358.5548400878906, 275.6671447753906]","[273.5165710449219, 322.8556213378906]","[245.4999542236328, 338.434814453125]","[371.36883544921875, 317.3877258300781]","[364.9210510253906, 335.7946472167969]","[361.430419921875, 388.1046142578125]","[357.8329772949219, 411.6629333496094]"
319,"[324.6793518066406, 131.7396240234375]","[324.7748718261719, 117.86217498779297]","[320.7203063964844, 113.65713500976562]","[285.2758483886719, 105.7379150390625]","[284.9638671875, 101.46231079101562]","[262.0965270996094, 163.8321533203125]","[242.0342559814453, 177.62452697753906]","[287.7588195800781, 285.7759094238281]","[272.616943359375, 321.7641296386719]","[357.78277587890625, 263.7652282714844]","[352.7969970703125, 282.0830993652344]","[295.6313781738281, 347.7099914550781]","[284.88043212890625, 367.82647705078125]","[463.97552490234375, 337.57012939453125]","[458.4368591308594, 352.1272888183594]","[474.2497863769531, 475.8876647949219]","[501.8719482421875, 499.5561218261719]"
320,"[324.47222900390625, 131.17164611816406]","[324.955078125, 117.59078979492188]","[320.8252258300781, 112.99333190917969]","[285.46783447265625, 105.71823120117188]","[285.07659912109375, 100.44927978515625]","[261.5087585449219, 163.34156799316406]","[241.69212341308594, 176.8190460205078]","[287.7303771972656, 285.46539306640625]","[271.86474609375, 321.7738037109375]","[357.904541015625, 262.7786560058594]","[351.70880126953125, 281.92181396484375]","[295.89971923828125, 346.6636047363281]","[285.31878662109375, 366.82489013671875]","[464.366455078125, 337.1932067871094]","[458.4258728027344, 352.45526123046875]","[474.6778869628906, 474.8980712890625]","[503.25286865234375, 500.3635559082031]"
321,"[324.54376220703125, 131.25901794433594]","[324.76019287109375, 117.57481384277344]","[320.8312683105469, 113.13819122314453]","[285.1542663574219, 105.76872253417969]","[285.204345703125, 100.90670013427734]","[262.0359191894531, 163.70623779296875]","[241.8881378173828, 177.1809539794922]","[287.898193359375, 286.30645751953125]","[272.4288635253906, 322.2809143066406]","[358.0301513671875, 263.2652587890625]","[353.0757751464844, 282.25885009765625]","[296.5546875, 346.76055908203125]","[285.7160339355469, 366.79022216796875]","[464.30029296875, 338.4302062988281]","[458.0947570800781, 353.0851135253906]","[474.5546569824219, 475.2625427246094]","[502.1650085449219, 499.55401611328125]"
322,"[324.5296630859375, 130.82772827148438]","[324.8801574707031, 117.18802642822266]","[320.76507568359375, 112.74705505371094]","[285.4217529296875, 105.76414489746094]","[285.0542297363281, 100.87163543701172]","[262.0643615722656, 163.93382263183594]","[242.1754913330078, 177.3701171875]","[287.74945068359375, 286.2703857421875]","[272.3016662597656, 321.9984130859375]","[357.9507751464844, 263.8185729980469]","[353.0313720703125, 282.6584167480469]","[297.2265930175781, 345.9813537597656]","[286.5238037109375, 366.0202331542969]","[464.562744140625, 337.8004455566406]","[458.3355407714844, 352.60906982421875]","[474.9119567871094, 474.66302490234375]","[502.47357177734375, 499.12152099609375]"
323,"[324.41680908203125, 130.83531188964844]","[324.7389831542969, 117.13961791992188]","[320.6856689453125, 112.6849365234375]","[285.2835693359375, 105.6159439086914]","[285.0773620605469, 100.63838195800781]","[262.1817626953125, 164.12933349609375]","[242.1111602783203, 177.17147827148438]","[287.9037780761719, 287.5721740722656]","[272.64093017578125, 322.62939453125]","[358.4032287597656, 263.23834228515625]","[353.7936096191406, 282.34930419921875]","[297.7779541015625, 346.7061767578125]","[286.92535400390625, 366.6162414550781]","[464.5877380371094, 338.232666015625]","[458.1651306152344, 352.79052734375]","[475.93670654296875, 475.2902526855469]","[503.03863525390625, 499.494873046875]"
324,"[323.9661560058594, 131.26002502441406]","[324.1717224121094, 117.52194213867188]","[319.98162841796875, 113.22697448730469]","[284.90374755859375, 105.86711883544922]","[283.9624328613281, 101.26158142089844]","[261.6325378417969, 164.13336181640625]","[242.23793029785156, 177.77407836914062]","[288.33746337890625, 285.9599609375]","[274.3889465332031, 322.30328369140625]","[358.0384521484375, 262.5531311035156]","[353.88555908203125, 283.4122314453125]","[297.1776123046875, 346.0719299316406]","[286.7835388183594, 366.1430358886719]","[463.45220947265625, 337.7067565917969]","[458.1199951171875, 352.77484130859375]","[474.3525695800781, 474.0945739746094]","[502.2433166503906, 498.9518127441406]"
325,"[324.1539001464844, 131.17762756347656]","[324.4229431152344, 117.57316589355469]","[320.1901550292969, 113.22120666503906]","[285.65179443359375, 106.25642395019531]","[284.3055725097656, 101.41651153564453]","[262.938232421875, 164.3619384765625]","[241.83416748046875, 177.61138916015625]","[290.0479431152344, 285.6836242675781]","[273.6378479003906, 321.6924133300781]","[358.59075927734375, 262.8648376464844]","[353.8036193847656, 283.4515686035156]","[297.6512145996094, 345.1577453613281]","[286.1454162597656, 365.0392761230469]","[464.06634521484375, 338.35797119140625]","[457.9354553222656, 352.93927001953125]","[475.0884094238281, 474.54931640625]","[502.6308288574219, 498.58795166015625]"
326,"[324.2627868652344, 131.13597106933594]","[324.5117492675781, 117.39708709716797]","[320.1014099121094, 113.21710968017578]","[285.84356689453125, 106.17132568359375]","[284.15533447265625, 101.78732299804688]","[263.1920471191406, 164.63575744628906]","[242.26324462890625, 178.24053955078125]","[289.3325500488281, 285.9215087890625]","[273.73846435546875, 322.0939025878906]","[358.1483459472656, 263.011962890625]","[353.4945983886719, 283.2331848144531]","[298.0496520996094, 345.9667053222656]","[286.59442138671875, 365.92913818359375]","[463.8051452636719, 339.0058288574219]","[457.6419372558594, 353.67205810546875]","[474.2059020996094, 474.48004150390625]","[501.3485412597656, 498.3575439453125]"
