Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[227.0111083984375, 120.66138458251953]","[230.44342041015625, 105.81145477294922]","[211.7525177001953, 107.01469421386719]","[223.9156036376953, 108.94123077392578]","[173.93153381347656, 110.1614990234375]","[205.182373046875, 181.64865112304688]","[147.04246520996094, 193.90155029296875]","[226.89385986328125, 290.1875]","[162.28248596191406, 331.7503662109375]","[291.3437805175781, 298.5108642578125]","[264.7878112792969, 327.2296142578125]","[221.27462768554688, 380.3153991699219]","[182.3663787841797, 394.5059509277344]","[284.8140869140625, 439.3370361328125]","[267.4139099121094, 455.93255615234375]","[256.1128845214844, 514.4003295898438]","[236.57272338867188, 536.4759521484375]"
2,"[227.54705810546875, 121.24674224853516]","[231.0651397705078, 106.38373565673828]","[212.23934936523438, 107.50238800048828]","[224.99359130859375, 109.36821746826172]","[174.04051208496094, 110.33930969238281]","[206.28762817382812, 181.507568359375]","[146.5177459716797, 193.70777893066406]","[227.94970703125, 289.8262634277344]","[161.96441650390625, 331.721923828125]","[291.5715026855469, 297.9515075683594]","[264.7375793457031, 327.15289306640625]","[222.8462677001953, 378.05548095703125]","[182.77001953125, 392.3901672363281]","[288.0514831542969, 431.928955078125]","[268.8338928222656, 448.7317199707031]","[259.881591796875, 506.8482971191406]","[238.7325897216797, 529.1616821289062]"
3,"[227.0316925048828, 121.41575622558594]","[230.71046447753906, 106.54560089111328]","[211.73849487304688, 107.62908172607422]","[224.92108154296875, 109.49771118164062]","[173.81619262695312, 110.43514251708984]","[206.0533447265625, 181.58628845214844]","[146.60960388183594, 193.76611328125]","[227.6106719970703, 289.84857177734375]","[162.2503204345703, 331.66064453125]","[291.2765808105469, 297.3462829589844]","[264.8826904296875, 326.3940734863281]","[222.58465576171875, 376.3830871582031]","[182.779296875, 390.791748046875]","[289.8147888183594, 424.7681579589844]","[270.95501708984375, 441.62200927734375]","[261.31646728515625, 498.6101989746094]","[240.67909240722656, 520.852294921875]"
4,"[227.493896484375, 121.5195083618164]","[231.25698852539062, 106.53414916992188]","[212.01541137695312, 107.65098571777344]","[225.70445251464844, 109.27506256103516]","[173.7222900390625, 110.27721405029297]","[206.67654418945312, 181.1073455810547]","[146.62051391601562, 193.41331481933594]","[228.0967254638672, 289.3854064941406]","[162.3369140625, 331.4872741699219]","[291.69305419921875, 297.6076354980469]","[264.9132385253906, 326.9486999511719]","[223.25953674316406, 376.6814880371094]","[182.9909210205078, 391.1312561035156]","[289.9100646972656, 427.4430847167969]","[270.6614685058594, 444.35009765625]","[261.39990234375, 501.66632080078125]","[240.439453125, 524.0279541015625]"
5,"[228.0420379638672, 122.47105407714844]","[232.01834106445312, 107.33580780029297]","[212.4176788330078, 108.4006118774414]","[226.714599609375, 109.6644287109375]","[173.78311157226562, 110.50653839111328]","[207.08670043945312, 181.17962646484375]","[146.73667907714844, 193.2620086669922]","[227.81314086914062, 289.8731689453125]","[162.47154235839844, 331.5899658203125]","[291.2235107421875, 297.7662658691406]","[265.1806945800781, 326.6611328125]","[223.4271240234375, 377.351806640625]","[182.86135864257812, 391.6959228515625]","[289.46466064453125, 428.4433898925781]","[269.6363830566406, 445.24639892578125]","[260.8993835449219, 502.5384521484375]","[238.9430389404297, 524.7749633789062]"
6,"[228.41212463378906, 122.9378433227539]","[232.47030639648438, 107.7372055053711]","[212.74978637695312, 108.789306640625]","[227.24720764160156, 109.89044952392578]","[173.9315185546875, 110.72232055664062]","[207.14306640625, 181.07176208496094]","[146.84283447265625, 193.31561279296875]","[227.56910705566406, 289.628173828125]","[162.61167907714844, 331.7099609375]","[291.30194091796875, 297.5203857421875]","[265.2491149902344, 326.4984436035156]","[223.6622314453125, 376.9502868652344]","[183.11740112304688, 391.4624938964844]","[290.4866027832031, 425.413818359375]","[270.78204345703125, 442.4162292480469]","[261.7502136230469, 499.1982421875]","[239.87649536132812, 521.6691284179688]"
7,"[227.8407440185547, 123.38452911376953]","[232.10243225097656, 108.14894104003906]","[212.14308166503906, 109.10578155517578]","[227.0255584716797, 110.21766662597656]","[173.4318084716797, 110.85120391845703]","[206.42884826660156, 181.3447723388672]","[146.79458618164062, 193.37660217285156]","[227.06163024902344, 290.0442810058594]","[162.8656463623047, 332.0563049316406]","[291.9997863769531, 297.8105163574219]","[264.8134765625, 327.2439880371094]","[222.44627380371094, 376.8100280761719]","[182.29653930664062, 391.2305603027344]","[291.07666015625, 423.3982849121094]","[271.3288269042969, 440.27508544921875]","[262.2554626464844, 496.8439636230469]","[239.41397094726562, 519.0631713867188]"
8,"[228.07131958007812, 123.82794189453125]","[232.16400146484375, 108.58665466308594]","[212.4260711669922, 109.5684585571289]","[226.74945068359375, 110.3523178100586]","[173.5956573486328, 111.03903198242188]","[205.82720947265625, 181.00025939941406]","[146.8036651611328, 193.17933654785156]","[226.84654235839844, 289.4158935546875]","[162.7825469970703, 331.92645263671875]","[292.6120910644531, 297.5638122558594]","[264.79107666015625, 327.6458435058594]","[221.42889404296875, 376.8181457519531]","[181.72886657714844, 391.3140563964844]","[290.152587890625, 424.1854248046875]","[271.2162170410156, 441.19390869140625]","[260.96484375, 497.71142578125]","[239.01882934570312, 520.1837768554688]"
9,"[228.76052856445312, 123.80392456054688]","[232.82154846191406, 108.59196472167969]","[213.11642456054688, 109.5543212890625]","[227.38311767578125, 110.48242950439453]","[174.0017547607422, 111.06525421142578]","[206.30886840820312, 181.0395965576172]","[146.684326171875, 193.09278869628906]","[226.99041748046875, 289.3177185058594]","[162.5163116455078, 331.711669921875]","[292.3951110839844, 297.9790954589844]","[264.6083984375, 328.1290283203125]","[221.447998046875, 377.4522705078125]","[181.25413513183594, 391.8401184082031]","[288.5801696777344, 428.74163818359375]","[269.1295471191406, 445.6971435546875]","[259.7451171875, 502.3948059082031]","[237.28839111328125, 524.916015625]"
10,"[229.1334228515625, 123.90257263183594]","[233.04498291015625, 108.67961883544922]","[213.39244079589844, 109.64632415771484]","[227.22019958496094, 110.71351623535156]","[173.7989959716797, 111.30672454833984]","[205.8203125, 181.3691864013672]","[146.521728515625, 193.54151916503906]","[227.15025329589844, 289.162109375]","[162.73773193359375, 331.9762268066406]","[293.6370849609375, 297.846435546875]","[264.8460693359375, 328.2438049316406]","[221.0369110107422, 377.354736328125]","[181.07652282714844, 391.8783264160156]","[289.89013671875, 425.9288024902344]","[270.8167724609375, 443.0702819824219]","[260.34320068359375, 499.555419921875]","[238.39303588867188, 522.3681030273438]"
