Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[430.70562744140625, 82.8526611328125]","[429.5123596191406, 69.82881164550781]","[421.0426940917969, 67.6310806274414]","[399.7198791503906, 70.9369125366211]","[377.112060546875, 69.09104919433594]","[389.1614990234375, 139.80657958984375]","[341.910400390625, 159.618408203125]","[424.91217041015625, 234.4700469970703]","[378.9665222167969, 275.2594299316406]","[459.9759826660156, 184.82167053222656]","[428.17303466796875, 189.52894592285156]","[453.86663818359375, 325.1413269042969]","[425.88494873046875, 348.7295227050781]","[609.9521484375, 329.71978759765625]","[595.6860961914062, 346.4478454589844]","[625.0396118164062, 420.8553771972656]","[653.253662109375, 438.9137878417969]"
2,"[429.88385009765625, 82.73675537109375]","[428.93133544921875, 69.8269271850586]","[420.12042236328125, 67.51934051513672]","[399.7537841796875, 71.36304473876953]","[376.08447265625, 69.1688461303711]","[389.2972412109375, 140.86695861816406]","[341.9649658203125, 159.55453491210938]","[426.6239318847656, 236.5801544189453]","[378.2359313964844, 273.832763671875]","[462.5782775878906, 189.75440979003906]","[427.652099609375, 189.771484375]","[455.58709716796875, 324.5230407714844]","[427.5541076660156, 347.93536376953125]","[610.6732177734375, 329.8609619140625]","[596.2991333007812, 347.9034729003906]","[625.2498779296875, 418.315185546875]","[653.2714233398438, 438.684814453125]"
3,"[429.934326171875, 82.6398696899414]","[428.9524230957031, 69.76078033447266]","[420.09991455078125, 67.34456634521484]","[399.7689514160156, 71.36968994140625]","[375.85614013671875, 68.96196746826172]","[389.4901428222656, 141.4878387451172]","[341.8548583984375, 159.24050903320312]","[427.6093444824219, 239.3546905517578]","[378.39373779296875, 273.8997497558594]","[464.8052978515625, 194.02603149414062]","[427.2510070800781, 189.6042022705078]","[455.35638427734375, 326.11614990234375]","[427.14984130859375, 349.0974426269531]","[611.003173828125, 331.01239013671875]","[596.5289916992188, 348.3907470703125]","[624.8865356445312, 419.48199462890625]","[652.8096313476562, 439.0185241699219]"
4,"[429.7196044921875, 82.55919647216797]","[428.841796875, 69.65489959716797]","[419.8495788574219, 67.27997589111328]","[399.80181884765625, 71.17024230957031]","[375.6944580078125, 68.87342834472656]","[389.34075927734375, 141.26583862304688]","[341.8475036621094, 159.0442657470703]","[428.0083312988281, 239.61122131347656]","[378.6573486328125, 273.47589111328125]","[466.4483947753906, 196.6101837158203]","[427.4499206542969, 189.33457946777344]","[454.5632019042969, 327.16754150390625]","[426.40191650390625, 350.18365478515625]","[611.031494140625, 331.8989562988281]","[596.4816284179688, 349.3760681152344]","[624.8049926757812, 420.3695983886719]","[652.8426513671875, 439.94091796875]"
5,"[429.3995666503906, 82.7732162475586]","[428.5121154785156, 69.94123077392578]","[419.5850830078125, 67.46829986572266]","[399.3894958496094, 71.4711685180664]","[375.66448974609375, 69.03277587890625]","[389.2080078125, 141.71546936035156]","[341.9588317871094, 158.6356658935547]","[428.0025634765625, 240.9657440185547]","[378.2058410644531, 272.8389892578125]","[468.22100830078125, 198.2008819580078]","[427.4527587890625, 189.2755889892578]","[454.4354553222656, 327.40045166015625]","[426.4492492675781, 349.97796630859375]","[610.9627075195312, 333.0590515136719]","[596.4721069335938, 349.61090087890625]","[624.6644897460938, 420.8657531738281]","[652.3630981445312, 439.2543640136719]"
6,"[429.4911804199219, 82.25923919677734]","[428.57861328125, 69.51519012451172]","[419.6802978515625, 67.0546646118164]","[399.6021728515625, 71.2406005859375]","[375.5494079589844, 68.70793151855469]","[389.3571472167969, 140.80052185058594]","[341.62530517578125, 158.28721618652344]","[428.02294921875, 237.764892578125]","[378.28759765625, 272.1539611816406]","[465.490478515625, 192.6300811767578]","[428.394287109375, 189.28138732910156]","[455.0355224609375, 324.9263916015625]","[426.655517578125, 347.8350524902344]","[610.6532592773438, 331.08447265625]","[596.1220092773438, 348.5814208984375]","[624.43212890625, 418.89691162109375]","[652.33447265625, 438.6096496582031]"
7,"[429.5437316894531, 82.36537170410156]","[428.50799560546875, 69.57939910888672]","[419.704833984375, 67.19927978515625]","[399.431396484375, 71.1086654663086]","[375.7337951660156, 68.8097152709961]","[389.2145690917969, 140.5034942626953]","[342.0267333984375, 157.85574340820312]","[427.4316101074219, 238.04603576660156]","[378.2906799316406, 272.15277099609375]","[464.9945983886719, 191.45065307617188]","[428.4829406738281, 189.4391326904297]","[454.7666015625, 324.8036804199219]","[426.6897888183594, 347.6605529785156]","[610.517333984375, 330.7410888671875]","[596.5745239257812, 348.1529235839844]","[624.3696899414062, 418.4255676269531]","[652.1583251953125, 437.9808044433594]"
8,"[429.6975402832031, 82.31268310546875]","[428.77239990234375, 69.52153015136719]","[419.8108825683594, 67.1301040649414]","[399.75787353515625, 71.09077453613281]","[375.7930908203125, 68.78816986083984]","[389.37158203125, 141.06541442871094]","[342.25506591796875, 157.87159729003906]","[428.2266845703125, 240.43235778808594]","[378.96160888671875, 272.3444519042969]","[467.7500915527344, 195.4009246826172]","[428.5615539550781, 189.00668334960938]","[454.08673095703125, 326.05987548828125]","[426.1093444824219, 348.6355285644531]","[610.2079467773438, 332.1985778808594]","[596.4349365234375, 349.03765869140625]","[624.7212524414062, 419.1690979003906]","[652.63916015625, 437.8853759765625]"
9,"[429.5126037597656, 82.35868835449219]","[428.47650146484375, 69.67554473876953]","[419.7659912109375, 67.17469024658203]","[398.8937072753906, 71.37836456298828]","[375.72259521484375, 68.91737365722656]","[388.5003662109375, 141.0928955078125]","[341.8323669433594, 158.05531311035156]","[426.9300231933594, 239.7985076904297]","[378.16839599609375, 272.5751037597656]","[466.9306945800781, 194.9667205810547]","[428.6493835449219, 189.797607421875]","[453.8954772949219, 326.26531982421875]","[426.19769287109375, 348.84869384765625]","[610.3543090820312, 332.5932312011719]","[596.4225463867188, 348.9617614746094]","[624.4226684570312, 419.7578430175781]","[652.3409423828125, 437.6673278808594]"
10,"[429.48724365234375, 82.74362182617188]","[428.4900817871094, 70.00921630859375]","[419.7489013671875, 67.51851654052734]","[398.9229431152344, 71.45455169677734]","[375.7414855957031, 69.03446960449219]","[388.14752197265625, 140.73268127441406]","[342.0674133300781, 158.1569366455078]","[425.8163757324219, 238.3322296142578]","[378.37884521484375, 272.6424255371094]","[464.981689453125, 192.03594970703125]","[428.2306823730469, 189.5911102294922]","[453.7178649902344, 325.6865234375]","[426.3569030761719, 348.4262390136719]","[610.0988159179688, 332.0753173828125]","[596.44970703125, 348.5781555175781]","[624.162109375, 419.3287353515625]","[652.30224609375, 437.46331787109375]"
