Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[237.2324981689453, 122.75091552734375]","[230.16885375976562, 110.22667694091797]","[231.8705291748047, 109.4128189086914]","[191.8677978515625, 106.10248565673828]","[200.99253845214844, 108.85847473144531]","[185.4916229248047, 163.14193725585938]","[178.16563415527344, 180.25228881835938]","[228.83908081054688, 252.2888946533203]","[220.3450164794922, 282.8678283691406]","[276.0991516113281, 197.8610382080078]","[271.24139404296875, 210.0963134765625]","[248.48849487304688, 332.9061584472656]","[245.0701446533203, 353.01544189453125]","[391.3447570800781, 331.41705322265625]","[398.4895324707031, 345.90924072265625]","[407.21038818359375, 400.50750732421875]","[427.6246337890625, 416.0918884277344]"
2,"[237.42198181152344, 123.39106750488281]","[230.74703979492188, 110.74954223632812]","[231.9587860107422, 109.99748229980469]","[193.1919708251953, 106.29747009277344]","[200.76878356933594, 109.05374908447266]","[186.47447204589844, 163.17637634277344]","[177.64100646972656, 180.7934112548828]","[229.8054656982422, 251.80096435546875]","[220.12767028808594, 283.3918151855469]","[276.82861328125, 198.17552185058594]","[271.755615234375, 211.03369140625]","[249.76686096191406, 331.60089111328125]","[245.4568328857422, 352.1258239746094]","[391.96319580078125, 331.5859069824219]","[398.3456726074219, 347.11016845703125]","[409.43353271484375, 400.26251220703125]","[429.97027587890625, 417.3662109375]"
3,"[237.19606018066406, 123.4405288696289]","[230.53744506835938, 110.84850311279297]","[231.91259765625, 109.90191650390625]","[193.09844970703125, 106.64236450195312]","[201.1698760986328, 108.86913299560547]","[186.8977508544922, 164.47134399414062]","[177.66110229492188, 181.13343811035156]","[230.68263244628906, 253.6841278076172]","[221.1736602783203, 283.7452697753906]","[276.74871826171875, 198.46188354492188]","[272.2630615234375, 210.80174255371094]","[249.567138671875, 333.07818603515625]","[245.07513427734375, 353.1208801269531]","[392.3415832519531, 333.2817687988281]","[398.4686279296875, 347.8575744628906]","[410.6744384765625, 401.5170593261719]","[430.65264892578125, 417.8077697753906]"
4,"[237.65956115722656, 124.1880111694336]","[231.32254028320312, 111.46002960205078]","[232.2106475830078, 110.48091888427734]","[194.22889709472656, 107.04277801513672]","[200.89031982421875, 109.21856689453125]","[187.34152221679688, 164.9234161376953]","[177.4063262939453, 182.4070587158203]","[230.5706787109375, 252.94891357421875]","[220.4589080810547, 284.91998291015625]","[276.87152099609375, 198.0427703857422]","[272.6370849609375, 211.2864532470703]","[251.24400329589844, 332.1459045410156]","[246.3914031982422, 352.706298828125]","[394.0686340332031, 333.7389221191406]","[399.47821044921875, 349.29840087890625]","[412.0154113769531, 402.91790771484375]","[431.911865234375, 420.482666015625]"
5,"[239.3015899658203, 125.35579681396484]","[233.31973266601562, 113.16508483886719]","[231.7748260498047, 111.65835571289062]","[200.09542846679688, 108.80250549316406]","[197.62637329101562, 109.66349792480469]","[192.06317138671875, 165.40335083007812]","[173.84280395507812, 183.13719177246094]","[241.11419677734375, 244.6281280517578]","[219.04527282714844, 285.04925537109375]","[280.9607849121094, 198.2501220703125]","[274.7689514160156, 214.08038330078125]","[259.5062255859375, 334.0265808105469]","[249.30679321289062, 355.4913330078125]","[399.2712097167969, 341.53741455078125]","[401.9343566894531, 358.46893310546875]","[417.5921630859375, 407.26153564453125]","[435.8486328125, 424.11273193359375]"
6,"[238.76414489746094, 125.29225158691406]","[232.9921417236328, 113.08582305908203]","[231.37669372558594, 111.53887939453125]","[200.11129760742188, 108.29766845703125]","[197.64175415039062, 109.03530883789062]","[191.9671173095703, 164.30145263671875]","[173.65870666503906, 182.07504272460938]","[240.4892578125, 243.95677185058594]","[218.47366333007812, 284.597900390625]","[280.7315979003906, 197.38816833496094]","[274.35296630859375, 213.4896697998047]","[259.1974792480469, 332.95166015625]","[248.93618774414062, 354.48760986328125]","[399.3006896972656, 340.82098388671875]","[401.769775390625, 357.9903869628906]","[417.7152099609375, 407.21246337890625]","[436.1963195800781, 424.79254150390625]"
7,"[238.8108673095703, 125.33585357666016]","[233.00070190429688, 113.14347839355469]","[231.4013214111328, 111.66194915771484]","[199.96778869628906, 108.3330307006836]","[197.5069122314453, 109.18750762939453]","[191.55352783203125, 164.07064819335938]","[173.75770568847656, 182.21273803710938]","[239.8769073486328, 242.67422485351562]","[218.63497924804688, 284.0279235839844]","[279.30755615234375, 196.73204040527344]","[273.2646484375, 213.24862670898438]","[258.89617919921875, 333.0826721191406]","[248.90858459472656, 354.68603515625]","[398.0032653808594, 340.330078125]","[400.74346923828125, 357.4769287109375]","[417.09002685546875, 406.30206298828125]","[435.9060363769531, 423.6156921386719]"
8,"[238.3882598876953, 126.22840118408203]","[232.3651885986328, 113.98837280273438]","[231.07237243652344, 112.59491729736328]","[199.07460021972656, 108.8420639038086]","[197.42733764648438, 109.97435760498047]","[190.9830780029297, 164.00711059570312]","[173.8714141845703, 182.5711669921875]","[239.7735137939453, 242.75259399414062]","[219.26605224609375, 284.6541748046875]","[280.22161865234375, 196.40570068359375]","[274.2269287109375, 212.54576110839844]","[258.8205871582031, 332.06231689453125]","[249.29608154296875, 353.8462829589844]","[398.611572265625, 339.6310729980469]","[401.4786071777344, 356.9322509765625]","[417.31292724609375, 403.9117126464844]","[435.9316711425781, 421.3759765625]"
9,"[238.38619995117188, 125.74456787109375]","[232.18226623535156, 113.61181640625]","[231.3230438232422, 112.2183837890625]","[198.47964477539062, 108.490478515625]","[198.07887268066406, 109.64341735839844]","[190.82936096191406, 163.2109832763672]","[174.1214599609375, 182.0830535888672]","[239.4356689453125, 242.08566284179688]","[219.2283477783203, 284.7781066894531]","[279.6913146972656, 196.29470825195312]","[274.1432189941406, 212.82240295410156]","[258.5044860839844, 331.501708984375]","[249.23233032226562, 353.2573547363281]","[397.52490234375, 339.6420593261719]","[400.46136474609375, 356.5960693359375]","[415.895263671875, 403.61328125]","[434.61749267578125, 420.462890625]"
10,"[239.12754821777344, 125.70747375488281]","[232.93551635742188, 113.57506561279297]","[231.95118713378906, 112.28084564208984]","[199.3253173828125, 108.72823333740234]","[198.56507873535156, 110.09015655517578]","[191.7472381591797, 163.68447875976562]","[174.6126708984375, 182.83763122558594]","[240.37889099121094, 242.01100158691406]","[219.54615783691406, 285.1106872558594]","[280.7159423828125, 195.72300720214844]","[274.6559143066406, 212.21058654785156]","[259.28900146484375, 331.6505126953125]","[249.8004913330078, 353.4919738769531]","[397.59136962890625, 339.4390869140625]","[400.5149230957031, 356.4625244140625]","[416.04266357421875, 403.76947021484375]","[434.7696533203125, 420.4664611816406]"
