Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
191,"[260.5205078125, 94.59908294677734]","[263.90069580078125, 80.33564758300781]","[243.66180419921875, 81.44947814941406]","[254.12879943847656, 86.37542724609375]","[204.7404327392578, 93.02645874023438]","[242.3920440673828, 161.41250610351562]","[178.17247009277344, 184.83123779296875]","[270.287841796875, 258.4158935546875]","[201.76805114746094, 315.5760498046875]","[321.6355895996094, 288.25213623046875]","[312.8540954589844, 315.4936828613281]","[268.26849365234375, 335.6069641113281]","[227.09950256347656, 360.89617919921875]","[422.3657531738281, 312.1412048339844]","[397.429443359375, 339.94952392578125]","[385.9833984375, 395.98663330078125]","[404.1388854980469, 418.779052734375]"
192,"[259.18072509765625, 95.51576232910156]","[262.8876647949219, 81.02581787109375]","[242.26251220703125, 82.26129913330078]","[254.0968780517578, 86.40007781982422]","[203.92410278320312, 93.24227142333984]","[242.50250244140625, 160.9226531982422]","[177.99745178222656, 184.40528869628906]","[270.1969299316406, 257.81524658203125]","[201.80787658691406, 314.9621887207031]","[321.7843017578125, 288.775146484375]","[313.5395812988281, 315.8302917480469]","[268.128173828125, 334.8680419921875]","[226.65318298339844, 360.2170715332031]","[421.78656005859375, 312.51300048828125]","[396.4567565917969, 340.6268005371094]","[386.0561828613281, 395.8590393066406]","[403.81103515625, 419.20184326171875]"
193,"[258.9260559082031, 94.90693664550781]","[262.74853515625, 80.4638900756836]","[241.84739685058594, 81.75865173339844]","[254.78233337402344, 85.89802551269531]","[203.49513244628906, 92.72685241699219]","[243.98130798339844, 159.83157348632812]","[177.40719604492188, 183.5836181640625]","[272.20025634765625, 256.33551025390625]","[201.41024780273438, 314.45025634765625]","[321.8645324707031, 288.0453796386719]","[313.1929931640625, 315.637939453125]","[269.3921813964844, 333.53204345703125]","[226.52659606933594, 359.0057373046875]","[422.3055725097656, 311.6513977050781]","[395.8583984375, 340.188720703125]","[385.69244384765625, 395.4068603515625]","[403.5621643066406, 419.2716064453125]"
194,"[259.07275390625, 95.21527862548828]","[262.8664855957031, 80.54885864257812]","[241.74185180664062, 82.16357421875]","[255.17555236816406, 85.8439712524414]","[203.45494079589844, 93.42733001708984]","[244.1893768310547, 160.12701416015625]","[177.706298828125, 184.80043029785156]","[272.6316223144531, 256.05059814453125]","[201.48016357421875, 315.8802795410156]","[322.2078552246094, 286.2907409667969]","[313.0837097167969, 316.63348388671875]","[268.81878662109375, 334.27764892578125]","[226.0806884765625, 360.2705383300781]","[422.4934387207031, 310.3916015625]","[396.8990783691406, 339.8891296386719]","[386.25421142578125, 393.5519714355469]","[404.6835021972656, 418.4578857421875]"
195,"[258.6265869140625, 94.90625]","[262.2779235839844, 80.09790802001953]","[240.800537109375, 81.87982177734375]","[254.460205078125, 86.2646713256836]","[202.1409912109375, 94.46990203857422]","[243.20883178710938, 162.97994995117188]","[178.3542022705078, 187.55557250976562]","[271.69091796875, 259.4273376464844]","[202.14501953125, 318.1375427246094]","[322.984619140625, 287.528076171875]","[314.3661804199219, 316.87274169921875]","[269.37115478515625, 337.9834289550781]","[227.60121154785156, 364.0618591308594]","[423.230712890625, 311.1813659667969]","[398.86083984375, 341.2084655761719]","[385.7357482910156, 391.52154541015625]","[404.0086669921875, 416.7567443847656]"
196,"[257.6029357910156, 94.90420532226562]","[262.00299072265625, 80.13214874267578]","[240.00408935546875, 81.71736145019531]","[255.18878173828125, 85.53202056884766]","[202.2378387451172, 93.27655792236328]","[243.02256774902344, 160.80203247070312]","[178.39674377441406, 184.1810302734375]","[268.14569091796875, 257.87628173828125]","[201.72923278808594, 314.17913818359375]","[321.4971923828125, 290.8841857910156]","[313.97735595703125, 317.8762512207031]","[267.2590026855469, 334.071533203125]","[225.45333862304688, 359.3887023925781]","[421.18707275390625, 313.4582824707031]","[395.89300537109375, 341.77435302734375]","[384.5883483886719, 395.52301025390625]","[402.3143005371094, 419.2916564941406]"
197,"[257.24957275390625, 95.431396484375]","[261.9211120605469, 80.71394348144531]","[239.53756713867188, 82.01870727539062]","[255.51104736328125, 86.14290618896484]","[201.58323669433594, 93.33570098876953]","[242.7070770263672, 161.1734619140625]","[178.2102813720703, 184.1420440673828]","[267.7154846191406, 258.4528503417969]","[201.76918029785156, 314.92681884765625]","[321.83941650390625, 291.13421630859375]","[314.14178466796875, 318.42718505859375]","[266.6760559082031, 334.4713134765625]","[224.75717163085938, 359.57806396484375]","[421.754150390625, 313.1936340332031]","[395.9799499511719, 341.1841735839844]","[382.351318359375, 394.67449951171875]","[400.50946044921875, 418.259033203125]"
198,"[257.28033447265625, 95.57707214355469]","[261.7951965332031, 80.73655700683594]","[239.4285430908203, 82.19538116455078]","[255.14520263671875, 86.04888153076172]","[201.18109130859375, 93.62910461425781]","[242.13812255859375, 161.36036682128906]","[178.0848388671875, 184.14797973632812]","[267.2091979980469, 259.1997375488281]","[201.90390014648438, 314.55908203125]","[321.94281005859375, 291.71612548828125]","[314.68890380859375, 318.1935729980469]","[266.16387939453125, 334.7196044921875]","[224.51559448242188, 359.85076904296875]","[421.9666748046875, 313.1626281738281]","[396.7524719238281, 341.2980651855469]","[383.45355224609375, 394.6728515625]","[401.36163330078125, 418.3190002441406]"
199,"[257.4169921875, 95.8089370727539]","[262.0826721191406, 80.9937973022461]","[239.559814453125, 82.36443328857422]","[255.67666625976562, 86.25048065185547]","[201.20310974121094, 93.58898162841797]","[242.2719268798828, 161.22189331054688]","[177.87442016601562, 184.1182861328125]","[267.434326171875, 258.34100341796875]","[201.87013244628906, 314.52154541015625]","[321.5794677734375, 290.5870361328125]","[314.3924560546875, 317.9578857421875]","[265.79315185546875, 334.2622375488281]","[223.8756866455078, 359.4552917480469]","[421.98193359375, 312.8838195800781]","[396.4427795410156, 341.18182373046875]","[383.1418151855469, 394.2051086425781]","[401.2727355957031, 418.1902160644531]"
200,"[256.46429443359375, 96.47509002685547]","[261.4119873046875, 81.48471069335938]","[238.3695831298828, 83.0749282836914]","[256.30010986328125, 86.4947280883789]","[200.5854949951172, 94.19881439208984]","[243.7328338623047, 161.39451599121094]","[178.38482666015625, 184.08238220214844]","[269.1163330078125, 259.01129150390625]","[202.1484375, 313.83319091796875]","[323.0279846191406, 291.8971252441406]","[314.45855712890625, 317.4740295410156]","[268.2358093261719, 334.3741149902344]","[225.62937927246094, 359.6574401855469]","[423.8975830078125, 312.93145751953125]","[397.781982421875, 341.8034362792969]","[386.48858642578125, 394.1457824707031]","[403.7489318847656, 418.9510803222656]"
