Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
920,"[439.03619384765625, 198.16639709472656]","[438.23858642578125, 184.7222137451172]","[433.33624267578125, 184.76747131347656]","[424.9155578613281, 175.86753845214844]","[396.9327392578125, 173.49810791015625]","[393.2699279785156, 218.81085205078125]","[323.53277587890625, 234.4882049560547]","[423.5064697265625, 301.62213134765625]","[286.90606689453125, 357.0301208496094]","[503.630615234375, 323.0790710449219]","[401.46771240234375, 375.5389099121094]","[391.59649658203125, 415.5044860839844]","[342.1779479980469, 437.46551513671875]","[527.63037109375, 420.5675354003906]","[495.9013366699219, 448.78765869140625]","[500.140869140625, 478.9364318847656]","[466.6443786621094, 516.5274047851562]"
921,"[437.2033996582031, 198.9388885498047]","[438.7162170410156, 184.2721710205078]","[429.162353515625, 184.0162811279297]","[430.1605529785156, 173.6507110595703]","[390.65692138671875, 170.3564453125]","[396.0716857910156, 216.2294464111328]","[322.1134033203125, 230.6803436279297]","[422.0166320800781, 301.2198791503906]","[288.56103515625, 355.3394470214844]","[497.9814453125, 324.03167724609375]","[400.3260803222656, 376.11029052734375]","[397.00738525390625, 411.305419921875]","[343.2442321777344, 432.7083435058594]","[532.94140625, 416.3918151855469]","[488.6666564941406, 443.96038818359375]","[507.3427734375, 467.32391357421875]","[452.48834228515625, 503.5741271972656]"
922,"[437.83477783203125, 200.55825805664062]","[440.3046875, 184.638427734375]","[429.98529052734375, 183.76817321777344]","[430.2476806640625, 169.5737762451172]","[391.518310546875, 164.777587890625]","[391.764892578125, 212.0499725341797]","[321.69970703125, 226.60340881347656]","[419.08148193359375, 303.9277038574219]","[290.7559814453125, 363.1795654296875]","[496.9550476074219, 319.74163818359375]","[407.83831787109375, 381.4854431152344]","[391.5066833496094, 413.6215515136719]","[338.3185729980469, 435.3179626464844]","[528.9871215820312, 406.4769287109375]","[469.35992431640625, 434.44427490234375]","[499.7736511230469, 445.4208984375]","[414.5010070800781, 482.08135986328125]"
923,"[436.1047668457031, 195.83042907714844]","[436.0241394042969, 181.67161560058594]","[429.64361572265625, 182.01788330078125]","[424.67449951171875, 171.75567626953125]","[393.8218688964844, 170.2958526611328]","[394.00909423828125, 215.27867126464844]","[324.02203369140625, 231.53526306152344]","[420.9195556640625, 301.4886474609375]","[288.18194580078125, 356.515869140625]","[499.68475341796875, 324.24169921875]","[399.8102722167969, 376.096923828125]","[396.6185302734375, 411.175048828125]","[346.4286804199219, 433.2554626464844]","[532.0042114257812, 412.3634948730469]","[492.2583923339844, 440.26971435546875]","[507.7993469238281, 463.42730712890625]","[459.82135009765625, 500.1885070800781]"
924,"[431.1279602050781, 199.12185668945312]","[433.2478942871094, 184.59005737304688]","[423.65057373046875, 180.69448852539062]","[407.1296081542969, 168.22938537597656]","[385.94781494140625, 162.9739532470703]","[375.895263671875, 207.84645080566406]","[325.9764709472656, 230.5607452392578]","[405.2791748046875, 300.0179138183594]","[281.7916564941406, 364.42041015625]","[474.00030517578125, 339.0616760253906]","[382.88043212890625, 386.2629089355469]","[404.5460205078125, 401.80133056640625]","[373.38916015625, 432.03662109375]","[557.4223022460938, 398.2840881347656]","[524.6383666992188, 439.6800842285156]","[529.67626953125, 456.0414123535156]","[533.4859008789062, 492.8143005371094]"
925,"[432.41156005859375, 197.72425842285156]","[435.38287353515625, 183.2670135498047]","[424.42413330078125, 178.6156463623047]","[409.7054748535156, 167.8350830078125]","[384.6181640625, 160.85513305664062]","[374.7281799316406, 209.42637634277344]","[324.8709411621094, 229.96917724609375]","[405.9951171875, 301.977294921875]","[281.0943603515625, 363.67327880859375]","[476.2427978515625, 338.9003601074219]","[380.5733337402344, 387.39727783203125]","[400.8358459472656, 403.6452941894531]","[369.6474304199219, 433.4337463378906]","[558.5064697265625, 397.0176086425781]","[525.953369140625, 439.6456604003906]","[527.0623779296875, 457.4413146972656]","[532.3349609375, 497.5574645996094]"
926,"[434.3381652832031, 195.87808227539062]","[437.5792236328125, 179.5211944580078]","[424.976806640625, 178.3326873779297]","[426.94244384765625, 166.9800262451172]","[383.42718505859375, 161.3701629638672]","[385.65087890625, 213.8928680419922]","[319.52178955078125, 227.10568237304688]","[414.2687072753906, 307.4109802246094]","[290.0672607421875, 364.82867431640625]","[498.0037536621094, 321.3396301269531]","[403.1448669433594, 383.4700012207031]","[389.8381652832031, 421.0283203125]","[341.0796203613281, 441.89447021484375]","[516.900390625, 418.3561096191406]","[475.8506774902344, 445.14056396484375]","[488.5796813964844, 460.6956787109375]","[429.87005615234375, 495.7543029785156]"
927,"[430.77093505859375, 196.51382446289062]","[434.5679016113281, 181.40786743164062]","[421.3338623046875, 176.76495361328125]","[410.84417724609375, 165.97715759277344]","[378.6152648925781, 158.70071411132812]","[375.4644470214844, 210.6473388671875]","[321.72491455078125, 229.97653198242188]","[405.1095886230469, 303.665771484375]","[280.9605407714844, 362.13555908203125]","[473.4041748046875, 339.2060852050781]","[378.9709167480469, 387.8806457519531]","[409.2928161621094, 409.2940979003906]","[374.91448974609375, 439.16729736328125]","[562.7060546875, 402.567626953125]","[525.6084594726562, 445.8069763183594]","[538.1185913085938, 464.4736633300781]","[537.7789306640625, 505.0570068359375]"
928,"[431.06243896484375, 194.3152313232422]","[434.6664123535156, 177.8111114501953]","[421.6117858886719, 176.7808837890625]","[424.1226501464844, 164.84654235839844]","[380.7766418457031, 159.85653686523438]","[383.1976013183594, 211.09744262695312]","[318.8760986328125, 225.3276824951172]","[410.7449645996094, 304.186767578125]","[290.4789733886719, 362.9581298828125]","[493.85662841796875, 320.4934387207031]","[398.9894714355469, 385.19451904296875]","[389.3028564453125, 417.36529541015625]","[342.0836181640625, 438.4988708496094]","[512.7822875976562, 415.2640686035156]","[474.99346923828125, 441.96990966796875]","[485.69732666015625, 452.7704162597656]","[430.7783203125, 487.5535583496094]"
929,"[431.3553771972656, 193.29222106933594]","[434.92071533203125, 176.72567749023438]","[422.1482238769531, 175.9440460205078]","[422.81793212890625, 163.462646484375]","[382.2578430175781, 159.52847290039062]","[379.93743896484375, 208.560791015625]","[320.65814208984375, 224.82945251464844]","[408.2785949707031, 300.7147521972656]","[294.6605224609375, 363.8139953613281]","[495.62750244140625, 317.85028076171875]","[402.5711364746094, 387.254150390625]","[380.30438232421875, 411.8172912597656]","[336.2613525390625, 433.743896484375]","[510.7171325683594, 407.53985595703125]","[477.19244384765625, 435.117919921875]","[477.4305725097656, 444.58355712890625]","[425.9519348144531, 480.6149597167969]"
