Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[374.82073974609375, 88.91332244873047]","[375.16497802734375, 76.2026596069336]","[355.2080078125, 76.66290283203125]","[360.97357177734375, 86.32210540771484]","[311.1678161621094, 93.697021484375]","[345.3206787109375, 163.35308837890625]","[291.5159912109375, 192.23277282714844]","[384.869384765625, 270.77838134765625]","[326.05572509765625, 340.97509765625]","[437.4026184082031, 296.01690673828125]","[435.2537841796875, 330.0390625]","[382.66790771484375, 364.4015808105469]","[346.62371826171875, 393.2052917480469]","[546.9813232421875, 360.26953125]","[532.228271484375, 395.4481201171875]","[475.58526611328125, 458.599853515625]","[503.1487731933594, 489.0621643066406]"
2,"[374.8041076660156, 89.17044067382812]","[375.1937255859375, 76.41364288330078]","[355.3485412597656, 76.91442108154297]","[360.9169921875, 86.52649688720703]","[311.2101135253906, 93.76215362548828]","[345.80841064453125, 163.74842834472656]","[290.94488525390625, 192.2525634765625]","[386.4110412597656, 271.5160217285156]","[326.074951171875, 340.2379150390625]","[439.44671630859375, 298.23541259765625]","[436.2288513183594, 329.9217529296875]","[384.41668701171875, 364.35784912109375]","[347.71600341796875, 393.1570129394531]","[547.36083984375, 360.14361572265625]","[531.1766967773438, 395.35107421875]","[480.3207092285156, 458.7613525390625]","[505.9034118652344, 489.1527404785156]"
3,"[374.76263427734375, 89.12178039550781]","[375.1163635253906, 76.43287658691406]","[355.36883544921875, 76.84419250488281]","[360.8080749511719, 86.61077117919922]","[311.37139892578125, 93.6798324584961]","[345.916748046875, 163.93324279785156]","[291.0301208496094, 192.17486572265625]","[386.6175842285156, 271.9763488769531]","[326.0368957519531, 340.4050598144531]","[439.5500793457031, 298.67333984375]","[436.2466735839844, 330.0220947265625]","[384.0821228027344, 364.9877014160156]","[347.3807373046875, 393.5709228515625]","[546.8906860351562, 361.03839111328125]","[530.901123046875, 395.8370666503906]","[478.77227783203125, 459.289794921875]","[504.75469970703125, 489.14447021484375]"
4,"[374.75830078125, 88.94357299804688]","[375.09503173828125, 76.24443054199219]","[355.2691650390625, 76.73300170898438]","[361.0093688964844, 86.46215057373047]","[311.2837219238281, 93.69967651367188]","[346.4846496582031, 163.72853088378906]","[290.95648193359375, 192.13038635253906]","[387.51141357421875, 271.48858642578125]","[325.9693603515625, 340.1809387207031]","[440.08587646484375, 298.7178955078125]","[436.4501953125, 330.13165283203125]","[384.5416259765625, 364.35400390625]","[347.4639892578125, 393.0094299316406]","[547.4583740234375, 360.71630859375]","[531.2564086914062, 395.6044921875]","[479.1083984375, 459.2207336425781]","[505.0557861328125, 489.0667724609375]"
5,"[374.4941101074219, 88.4358901977539]","[374.9605407714844, 75.68003845214844]","[354.99212646484375, 76.3179931640625]","[360.9883728027344, 86.11734008789062]","[311.2140808105469, 93.6250991821289]","[346.1685791015625, 163.88827514648438]","[291.3082580566406, 192.4347381591797]","[386.7685852050781, 272.5089111328125]","[326.2983703613281, 340.68548583984375]","[439.50250244140625, 299.5529479980469]","[435.53094482421875, 330.3370666503906]","[384.8888854980469, 365.3746643066406]","[348.1630859375, 394.2237854003906]","[547.3486328125, 361.5437927246094]","[531.3810424804688, 396.9364929199219]","[481.68438720703125, 459.5383605957031]","[507.20489501953125, 490.080810546875]"
6,"[374.4315490722656, 88.38334655761719]","[374.8093566894531, 75.64714050292969]","[354.8621520996094, 76.2897720336914]","[360.9263916015625, 86.04737854003906]","[311.20074462890625, 93.64936828613281]","[346.4925537109375, 163.84226989746094]","[291.33197021484375, 192.24481201171875]","[386.96844482421875, 272.4552001953125]","[325.953125, 340.4710998535156]","[439.5412902832031, 299.89508056640625]","[435.41912841796875, 330.355712890625]","[384.4933776855469, 365.2738037109375]","[347.7467956542969, 393.9269714355469]","[546.8899536132812, 361.96600341796875]","[531.9832763671875, 396.79296875]","[479.380859375, 460.109619140625]","[506.73260498046875, 489.7296142578125]"
7,"[374.4715881347656, 88.36724853515625]","[374.8753967285156, 75.6006851196289]","[354.76531982421875, 76.3312759399414]","[361.2414245605469, 85.99542236328125]","[311.0592956542969, 93.81427001953125]","[346.7527160644531, 163.6945037841797]","[291.53179931640625, 192.29315185546875]","[386.9941711425781, 272.14044189453125]","[326.1702575683594, 340.4630432128906]","[439.2607727050781, 300.0861511230469]","[435.34844970703125, 330.40692138671875]","[384.2866516113281, 365.050537109375]","[347.38848876953125, 393.7193298339844]","[546.5068969726562, 361.8387451171875]","[531.3651123046875, 396.76922607421875]","[478.2873229980469, 459.5790100097656]","[505.3294677734375, 489.2415466308594]"
8,"[374.57373046875, 88.09590911865234]","[374.907958984375, 75.4544448852539]","[355.0594482421875, 76.04261016845703]","[360.95892333984375, 86.06708526611328]","[311.452392578125, 93.55062103271484]","[346.7511291503906, 163.93711853027344]","[291.3663330078125, 192.23423767089844]","[387.3399353027344, 272.37017822265625]","[326.099853515625, 340.3544616699219]","[439.4560546875, 300.08428955078125]","[435.5347595214844, 330.27490234375]","[384.41619873046875, 365.6543884277344]","[347.4639587402344, 394.17828369140625]","[546.7699584960938, 362.2467041015625]","[531.3775634765625, 396.8123779296875]","[478.8670349121094, 460.3759765625]","[505.75518798828125, 489.6583557128906]"
9,"[374.574462890625, 88.16089630126953]","[374.88555908203125, 75.51142120361328]","[355.1227111816406, 76.0766372680664]","[360.8407897949219, 86.04843139648438]","[311.5904541015625, 93.49024963378906]","[346.6213073730469, 163.8531951904297]","[291.4062194824219, 192.15660095214844]","[387.22100830078125, 272.54058837890625]","[326.0991516113281, 340.5467834472656]","[439.5025634765625, 300.2127990722656]","[435.5765380859375, 330.1507873535156]","[384.2474670410156, 365.8526306152344]","[347.387451171875, 394.3764953613281]","[546.8651733398438, 362.6540222167969]","[531.4133911132812, 397.2183837890625]","[478.75811767578125, 460.9219665527344]","[505.4723815917969, 490.2532958984375]"
10,"[374.6365051269531, 88.26770782470703]","[375.05731201171875, 75.61141204833984]","[355.1866149902344, 76.08055114746094]","[361.0260009765625, 86.14720916748047]","[311.4598388671875, 93.3351058959961]","[346.4822998046875, 164.05601501464844]","[291.2164306640625, 192.13792419433594]","[386.869384765625, 273.03143310546875]","[325.9896240234375, 340.7220764160156]","[439.20550537109375, 300.3657531738281]","[435.6528625488281, 330.1600646972656]","[384.5872497558594, 366.3212890625]","[347.6575927734375, 394.83489990234375]","[547.1835327148438, 363.0178527832031]","[531.4937133789062, 397.68548583984375]","[479.46087646484375, 461.5138854980469]","[506.0543518066406, 491.1080017089844]"
