Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
855,"[438.87298583984375, 113.58195495605469]","[443.83905029296875, 100.10753631591797]","[430.24578857421875, 97.03777313232422]","[420.9237060546875, 90.38026428222656]","[390.3633117675781, 85.8531723022461]","[395.2471618652344, 145.52565002441406]","[346.9809265136719, 162.56346130371094]","[415.4233093261719, 251.90528869628906]","[385.2657165527344, 292.2030029296875]","[472.1689453125, 192.09054565429688]","[450.72357177734375, 201.80709838867188]","[440.0893249511719, 316.8523254394531]","[411.8732604980469, 341.0473937988281]","[612.208740234375, 304.3429260253906]","[594.298828125, 320.3108825683594]","[651.364013671875, 419.4787902832031]","[685.2554321289062, 442.99676513671875]"
856,"[439.10369873046875, 113.38664245605469]","[444.12481689453125, 99.8862533569336]","[430.3748474121094, 96.84075164794922]","[421.4309997558594, 90.3838119506836]","[390.3117370605469, 85.85470581054688]","[395.7491455078125, 145.9263153076172]","[346.955322265625, 162.81031799316406]","[415.4779357910156, 252.4319610595703]","[385.0806884765625, 292.24359130859375]","[471.141357421875, 192.99961853027344]","[449.6021423339844, 202.16529846191406]","[440.54473876953125, 317.0811462402344]","[411.9672546386719, 341.189208984375]","[612.3201293945312, 305.17138671875]","[594.2078857421875, 320.9805908203125]","[651.9093017578125, 419.9950866699219]","[685.6000366210938, 443.1933288574219]"
857,"[438.897705078125, 113.53129577636719]","[443.7891845703125, 100.01836395263672]","[430.3680114746094, 96.95633697509766]","[420.297119140625, 90.26261901855469]","[390.3984680175781, 85.82496643066406]","[394.0267639160156, 145.6094207763672]","[347.2663879394531, 162.7998504638672]","[413.2056884765625, 252.00010681152344]","[385.6589660644531, 292.27392578125]","[469.6729431152344, 193.28521728515625]","[449.47503662109375, 203.1890411376953]","[439.0763854980469, 317.2506408691406]","[411.7900085449219, 341.4100341796875]","[611.458251953125, 305.200927734375]","[594.0421142578125, 320.9034729003906]","[651.3949584960938, 419.8088684082031]","[685.1392822265625, 443.083740234375]"
858,"[438.92376708984375, 113.33641052246094]","[444.00732421875, 99.8415756225586]","[430.26629638671875, 96.77193450927734]","[421.1660461425781, 90.5119400024414]","[390.3611755371094, 85.97303009033203]","[395.1980285644531, 146.3055877685547]","[347.01123046875, 163.1821746826172]","[414.3208923339844, 252.22544860839844]","[385.02392578125, 292.2149353027344]","[470.3965148925781, 193.16342163085938]","[449.60870361328125, 203.16683959960938]","[439.6062927246094, 317.3386535644531]","[411.4109802246094, 341.3758239746094]","[611.8602905273438, 305.4588623046875]","[593.7610473632812, 321.0152893066406]","[651.3784790039062, 419.9587097167969]","[685.023193359375, 443.0631408691406]"
859,"[439.0030822753906, 112.73652648925781]","[444.0410461425781, 99.28699493408203]","[430.5605163574219, 96.24346160888672]","[420.6366882324219, 90.00567626953125]","[390.9460144042969, 85.64030456542969]","[394.345458984375, 145.2033233642578]","[347.28900146484375, 162.87460327148438]","[413.29022216796875, 249.9319305419922]","[384.9628601074219, 291.92791748046875]","[470.5476379394531, 191.16281127929688]","[450.243896484375, 203.42514038085938]","[438.7055969238281, 316.6969299316406]","[411.1885986328125, 340.9968566894531]","[611.6546630859375, 305.6910095214844]","[593.6856079101562, 321.1275939941406]","[651.4772338867188, 420.3684997558594]","[685.1419677734375, 443.0146179199219]"
860,"[439.177490234375, 112.34060668945312]","[444.4156494140625, 98.74137115478516]","[430.1474304199219, 95.90814971923828]","[422.67315673828125, 89.8517837524414]","[390.31768798828125, 85.73747253417969]","[397.3116760253906, 146.18240356445312]","[347.19940185546875, 162.8975372314453]","[415.95697021484375, 252.5830535888672]","[384.4524841308594, 291.9064636230469]","[470.7247009277344, 193.40695190429688]","[449.0075988769531, 202.74359130859375]","[440.8856506347656, 316.7881164550781]","[411.3505554199219, 340.7817077636719]","[612.4290161132812, 305.4547119140625]","[593.7595825195312, 321.1569519042969]","[651.7680053710938, 420.19354248046875]","[684.9186401367188, 443.1773376464844]"
861,"[439.8807678222656, 112.88827514648438]","[445.0111999511719, 99.18301391601562]","[430.5916442871094, 96.52734375]","[423.81903076171875, 90.21409606933594]","[390.47381591796875, 86.39556884765625]","[399.2933349609375, 146.56935119628906]","[346.9580078125, 163.46929931640625]","[419.0150146484375, 251.6001434326172]","[384.3558044433594, 291.5069274902344]","[472.99908447265625, 192.9298095703125]","[449.21514892578125, 202.73707580566406]","[442.0400695800781, 317.3036193847656]","[411.20281982421875, 341.3299255371094]","[612.3053588867188, 305.9495849609375]","[593.26708984375, 321.56365966796875]","[651.5198974609375, 420.3251953125]","[684.7880249023438, 442.606201171875]"
862,"[440.4306640625, 112.54387664794922]","[445.39453125, 98.9934310913086]","[430.93597412109375, 96.23231506347656]","[424.9247131347656, 90.59561920166016]","[390.4001770019531, 86.35819244384766]","[402.2611999511719, 146.99472045898438]","[345.5735778808594, 163.39710998535156]","[424.02337646484375, 251.35523986816406]","[382.9922790527344, 291.2401428222656]","[475.9334411621094, 190.62548828125]","[449.1601867675781, 199.54847717285156]","[444.5907287597656, 317.34613037109375]","[411.1067810058594, 341.1207580566406]","[613.830810546875, 306.3932189941406]","[593.4981689453125, 321.1839294433594]","[651.2003173828125, 421.2704772949219]","[685.111083984375, 441.7123718261719]"
863,"[439.6734924316406, 112.51512908935547]","[444.99822998046875, 98.89155578613281]","[429.6665344238281, 96.0380859375]","[425.6620788574219, 90.5548324584961]","[388.83087158203125, 86.12674713134766]","[402.891357421875, 147.66986083984375]","[345.1181945800781, 163.11268615722656]","[424.18853759765625, 253.62823486328125]","[383.38800048828125, 291.38800048828125]","[477.21673583984375, 190.87376403808594]","[449.50115966796875, 197.11273193359375]","[445.1089172363281, 318.7173156738281]","[410.8172607421875, 342.15594482421875]","[615.7926635742188, 304.9625549316406]","[594.7592163085938, 319.0456848144531]","[651.8895263671875, 421.2574768066406]","[685.5181884765625, 440.8614807128906]"
864,"[439.37933349609375, 111.84917449951172]","[444.9583740234375, 98.01056671142578]","[428.9228515625, 95.41688537597656]","[426.856201171875, 89.9286880493164]","[388.24908447265625, 86.02104949951172]","[404.4994812011719, 147.895751953125]","[345.4646301269531, 163.3094482421875]","[425.7204895019531, 254.50978088378906]","[383.6194763183594, 291.5721435546875]","[478.6130676269531, 191.08612060546875]","[449.1143493652344, 196.26951599121094]","[446.0068359375, 318.9421691894531]","[410.89453125, 342.4107360839844]","[616.364013671875, 304.5335998535156]","[595.2405395507812, 318.9017639160156]","[652.274169921875, 421.3120422363281]","[685.767822265625, 441.1590270996094]"
