Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[309.61346435546875, 154.89120483398438]","[315.79266357421875, 142.2204132080078]","[303.93560791015625, 138.17088317871094]","[288.87457275390625, 127.56441497802734]","[264.3047790527344, 120.76490020751953]","[254.55880737304688, 175.85037231445312]","[205.6367950439453, 192.46481323242188]","[277.4136962890625, 275.5157165527344]","[233.73211669921875, 322.0501403808594]","[361.3992919921875, 282.91461181640625]","[348.9784240722656, 310.74346923828125]","[286.24420166015625, 345.399658203125]","[259.525390625, 370.6355895996094]","[447.7054443359375, 337.2001647949219]","[425.688720703125, 357.68170166015625]","[493.9089660644531, 479.48193359375]","[524.9960327148438, 505.721923828125]"
2,"[310.49041748046875, 154.34136962890625]","[316.1847229003906, 141.4482421875]","[304.9878845214844, 137.765625]","[287.8453369140625, 126.2015609741211]","[265.5748596191406, 120.45856475830078]","[253.8538055419922, 173.67303466796875]","[206.00930786132812, 192.18113708496094]","[276.7345275878906, 273.13739013671875]","[230.71551513671875, 322.4686279296875]","[361.52508544921875, 283.0011901855469]","[346.4469299316406, 312.3097229003906]","[285.7333984375, 344.4873352050781]","[259.98114013671875, 370.6391906738281]","[447.67401123046875, 336.77392578125]","[426.4811096191406, 358.96124267578125]","[493.1402282714844, 478.2285461425781]","[523.9373168945312, 506.1039733886719]"
3,"[310.32794189453125, 154.44757080078125]","[316.231201171875, 141.3527374267578]","[304.7213439941406, 137.83181762695312]","[287.8709411621094, 125.43444061279297]","[265.6838073730469, 120.19784545898438]","[253.3205108642578, 172.66859436035156]","[205.99420166015625, 191.76870727539062]","[274.53125, 273.25762939453125]","[228.61244201660156, 323.3866271972656]","[361.2920837402344, 282.6838684082031]","[346.03582763671875, 312.7877502441406]","[284.806640625, 344.97174072265625]","[259.4705505371094, 371.58599853515625]","[447.5039978027344, 336.05950927734375]","[426.61810302734375, 359.21502685546875]","[492.6032409667969, 477.299560546875]","[523.765869140625, 506.4721984863281]"
4,"[310.05096435546875, 154.5425262451172]","[315.9707946777344, 141.5005645751953]","[304.6201477050781, 137.85031127929688]","[287.5668029785156, 125.85098266601562]","[265.56549072265625, 120.1545639038086]","[253.27377319335938, 173.58651733398438]","[205.20611572265625, 192.16934204101562]","[274.65179443359375, 274.56109619140625]","[228.04925537109375, 324.10687255859375]","[360.11187744140625, 283.07806396484375]","[344.5123596191406, 313.52703857421875]","[285.3481140136719, 345.6143493652344]","[259.64532470703125, 371.977294921875]","[446.9341735839844, 336.7272644042969]","[425.92547607421875, 359.01171875]","[494.52667236328125, 479.0602111816406]","[526.0051879882812, 507.0531311035156]"
5,"[309.91864013671875, 154.58204650878906]","[316.05157470703125, 141.43386840820312]","[304.29736328125, 137.87696838378906]","[288.1142883300781, 125.64512634277344]","[265.2456359863281, 120.17191314697266]","[253.57186889648438, 173.51138305664062]","[205.03294372558594, 192.41465759277344]","[274.1909484863281, 274.4198913574219]","[226.79937744140625, 324.5445556640625]","[359.76904296875, 283.2357482910156]","[343.23736572265625, 313.9969482421875]","[285.3019104003906, 345.5738525390625]","[259.3431701660156, 372.1365051269531]","[446.8144226074219, 336.7687072753906]","[425.64471435546875, 359.4809265136719]","[494.1405334472656, 478.7660827636719]","[525.75, 507.22406005859375]"
6,"[309.72509765625, 154.4377899169922]","[316.0928649902344, 141.23904418945312]","[303.8118591308594, 137.6981964111328]","[289.01104736328125, 125.60363006591797]","[264.57452392578125, 120.079833984375]","[254.43429565429688, 173.91114807128906]","[204.562744140625, 192.30276489257812]","[274.4891662597656, 274.93023681640625]","[225.74423217773438, 324.1020812988281]","[359.7811279296875, 284.4084167480469]","[342.6080322265625, 314.6786193847656]","[285.97113037109375, 345.7173156738281]","[259.12261962890625, 372.1751403808594]","[447.1934509277344, 336.5316162109375]","[425.4744873046875, 359.2862548828125]","[494.09674072265625, 478.7831726074219]","[525.7036743164062, 507.25079345703125]"
7,"[309.82061767578125, 154.29177856445312]","[316.151611328125, 140.9048309326172]","[303.6942443847656, 137.6059112548828]","[289.21417236328125, 125.055908203125]","[264.4415588378906, 120.1058578491211]","[254.64193725585938, 173.55284118652344]","[204.42379760742188, 192.1781768798828]","[273.8390808105469, 275.2968444824219]","[224.48959350585938, 324.4006652832031]","[359.0889587402344, 284.28570556640625]","[341.7210388183594, 314.5751037597656]","[285.8840026855469, 345.3973083496094]","[258.8494873046875, 372.04779052734375]","[447.31201171875, 336.4842529296875]","[425.8408203125, 359.473876953125]","[494.8412780761719, 478.9485168457031]","[526.3311767578125, 507.3983459472656]"
8,"[309.7526550292969, 154.3268280029297]","[316.1207580566406, 141.0852813720703]","[303.8463439941406, 137.54623413085938]","[288.8275146484375, 125.41898345947266]","[264.59710693359375, 119.92533874511719]","[253.92526245117188, 174.0391082763672]","[204.2503662109375, 192.20553588867188]","[273.3098449707031, 276.0028381347656]","[224.4803009033203, 324.6058349609375]","[358.52032470703125, 284.18902587890625]","[340.84075927734375, 314.85430908203125]","[285.18011474609375, 346.23394775390625]","[258.5081787109375, 372.65966796875]","[447.1856689453125, 336.884521484375]","[425.8005065917969, 359.5170593261719]","[494.67022705078125, 479.3008117675781]","[526.443603515625, 507.7209777832031]"
9,"[309.72747802734375, 153.56918334960938]","[316.2048034667969, 140.23977661132812]","[303.6611633300781, 136.92343139648438]","[289.52960205078125, 125.24039459228516]","[265.1686706542969, 120.38148498535156]","[254.50799560546875, 174.25535583496094]","[205.46640014648438, 192.68527221679688]","[273.6219177246094, 275.0599060058594]","[224.7490997314453, 323.9717102050781]","[359.2785339355469, 284.071044921875]","[341.21539306640625, 314.754638671875]","[283.5721740722656, 345.11492919921875]","[257.2101745605469, 371.559814453125]","[448.46185302734375, 335.8853759765625]","[427.41900634765625, 358.25701904296875]","[494.6033935546875, 479.70904541015625]","[525.8514404296875, 507.62786865234375]"
10,"[309.64703369140625, 153.55087280273438]","[316.0478515625, 140.3426513671875]","[303.7200012207031, 136.83856201171875]","[289.0876159667969, 125.38390350341797]","[265.1613464355469, 120.11400604248047]","[254.2957000732422, 174.20352172851562]","[205.15887451171875, 192.48675537109375]","[273.9425354003906, 274.7373046875]","[224.02072143554688, 323.90692138671875]","[359.57763671875, 284.20880126953125]","[340.14764404296875, 315.2931823730469]","[283.7637634277344, 345.2203063964844]","[257.3880920410156, 371.5511474609375]","[448.454345703125, 335.1608581542969]","[427.0356750488281, 357.3932800292969]","[493.31524658203125, 479.28948974609375]","[524.479248046875, 507.1723327636719]"
11,"[309.659912109375, 153.65341186523438]","[315.95294189453125, 140.3316650390625]","[303.61944580078125, 137.0222930908203]","[289.01324462890625, 125.48550415039062]","[265.1324157714844, 120.69971466064453]","[254.2340850830078, 174.57070922851562]","[205.5325469970703, 192.85667419433594]","[273.2855529785156, 275.14154052734375]","[224.00706481933594, 323.6436767578125]","[358.8780212402344, 284.0238342285156]","[340.1686096191406, 314.7834777832031]","[283.7294006347656, 344.70465087890625]","[257.58856201171875, 371.0577392578125]","[448.6622314453125, 335.1371154785156]","[427.68878173828125, 357.4065246582031]","[493.95758056640625, 479.2780456542969]","[524.7702026367188, 507.09539794921875]"
