Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1,"[302.6212463378906, 178.0181121826172]","[300.32537841796875, 163.66085815429688]","[302.94854736328125, 163.14791870117188]","[250.7926483154297, 142.174560546875]","[271.70245361328125, 146.6410675048828]","[210.1210479736328, 170.06883239746094]","[221.49652099609375, 219.92152404785156]","[235.27427673339844, 253.58840942382812]","[241.99264526367188, 357.33294677734375]","[307.85821533203125, 276.92755126953125]","[312.6360168457031, 320.7588806152344]","[233.46922302246094, 349.39453125]","[243.75814819335938, 384.3452453613281]","[390.6369323730469, 305.0447998046875]","[393.33740234375, 345.27923583984375]","[396.77178955078125, 384.3137512207031]","[429.65435791015625, 430.7751159667969]"
2,"[302.8212585449219, 178.67596435546875]","[300.83233642578125, 164.63153076171875]","[303.1268005371094, 163.57562255859375]","[252.09628295898438, 142.78932189941406]","[272.2475891113281, 146.2547149658203]","[211.16213989257812, 170.02317810058594]","[221.9483184814453, 218.6516876220703]","[235.73130798339844, 254.31552124023438]","[243.1219482421875, 357.2613220214844]","[309.7400817871094, 275.64422607421875]","[315.5082092285156, 319.01177978515625]","[233.38714599609375, 350.1986389160156]","[243.0446319580078, 384.5849609375]","[394.5071716308594, 306.77886962890625]","[396.1146545410156, 345.8189392089844]","[395.20562744140625, 385.2659912109375]","[428.62811279296875, 431.02093505859375]"
3,"[301.7355651855469, 177.2306671142578]","[299.64349365234375, 163.17176818847656]","[302.5318603515625, 162.28147888183594]","[250.44085693359375, 142.36900329589844]","[272.6905212402344, 146.06272888183594]","[209.68812561035156, 169.58815002441406]","[221.75537109375, 220.320556640625]","[236.3319854736328, 250.53846740722656]","[243.79473876953125, 358.34979248046875]","[308.4010314941406, 269.888671875]","[315.8573913574219, 316.3822021484375]","[231.7357635498047, 349.51519775390625]","[242.29547119140625, 384.8442077636719]","[394.26727294921875, 304.0119323730469]","[396.3990783691406, 344.50909423828125]","[396.4768981933594, 383.22796630859375]","[430.1452331542969, 430.8145751953125]"
4,"[301.3564758300781, 175.84112548828125]","[299.62811279296875, 161.81446838378906]","[302.1790466308594, 160.91156005859375]","[251.0784454345703, 141.43702697753906]","[272.5286865234375, 144.90017700195312]","[210.42681884765625, 169.2093505859375]","[221.64358520507812, 219.5562286376953]","[237.31553649902344, 250.83847045898438]","[242.80418395996094, 357.5581359863281]","[309.8194274902344, 271.0103759765625]","[314.19158935546875, 316.3406066894531]","[232.3721923828125, 348.72125244140625]","[242.50794982910156, 383.9653015136719]","[392.0692138671875, 301.6368713378906]","[393.97796630859375, 342.8888854980469]","[395.014892578125, 381.6591796875]","[429.21783447265625, 430.81072998046875]"
5,"[300.0028381347656, 174.9342498779297]","[298.3102111816406, 161.22476196289062]","[300.853271484375, 159.8531494140625]","[250.9833221435547, 141.17764282226562]","[272.129150390625, 143.57701110839844]","[213.10675048828125, 169.2593994140625]","[220.03395080566406, 217.47735595703125]","[238.92518615722656, 251.97344970703125]","[240.92803955078125, 356.6592712402344]","[309.3951416015625, 272.4259033203125]","[314.01214599609375, 318.72998046875]","[233.99977111816406, 350.0614929199219]","[241.27940368652344, 384.07666015625]","[394.835205078125, 304.8105773925781]","[394.0597229003906, 342.8967590332031]","[394.27972412109375, 384.3093566894531]","[427.319580078125, 429.4471435546875]"
6,"[302.5330810546875, 176.1426544189453]","[300.7085266113281, 162.3597412109375]","[303.1158142089844, 160.86524963378906]","[252.13995361328125, 141.57069396972656]","[272.59320068359375, 143.9612274169922]","[211.6933135986328, 169.6641845703125]","[221.28933715820312, 217.767333984375]","[237.33267211914062, 252.9169921875]","[242.64633178710938, 356.737060546875]","[308.85809326171875, 273.660400390625]","[315.4221496582031, 319.4889831542969]","[232.5236358642578, 350.4580993652344]","[241.2578582763672, 384.4836120605469]","[395.14996337890625, 307.1416015625]","[395.20733642578125, 345.83062744140625]","[393.4158630371094, 384.943115234375]","[425.48101806640625, 430.8168029785156]"
7,"[303.9408264160156, 176.51939392089844]","[301.4713439941406, 162.22801208496094]","[304.5823059082031, 161.11355590820312]","[250.89266967773438, 139.7607421875]","[274.6350402832031, 143.59107971191406]","[209.9479522705078, 167.60670471191406]","[223.62991333007812, 216.1410369873047]","[234.75723266601562, 252.76629638671875]","[242.3728790283203, 355.6225891113281]","[310.9307556152344, 275.3062744140625]","[318.47833251953125, 321.3267822265625]","[229.44229125976562, 350.2231140136719]","[240.91232299804688, 384.4717102050781]","[395.91790771484375, 306.7717590332031]","[397.7620544433594, 345.90283203125]","[392.8929748535156, 386.605224609375]","[422.24609375, 432.8130798339844]"
8,"[304.01031494140625, 173.6850128173828]","[301.95074462890625, 159.9354248046875]","[304.9013671875, 158.1633758544922]","[252.4028778076172, 138.8910369873047]","[275.37646484375, 140.94967651367188]","[212.54522705078125, 167.03150939941406]","[223.30755615234375, 214.1355743408203]","[239.9033203125, 248.20973205566406]","[240.548095703125, 351.932373046875]","[314.4704284667969, 268.9361877441406]","[320.3895263671875, 320.8319091796875]","[232.6106414794922, 349.8408203125]","[242.1199493408203, 383.5689697265625]","[398.54461669921875, 306.7358093261719]","[398.28912353515625, 345.2750244140625]","[394.5445251464844, 390.6487731933594]","[422.6400146484375, 436.1948547363281]"
9,"[305.6624450683594, 172.68191528320312]","[302.95611572265625, 158.732177734375]","[306.3336181640625, 157.59471130371094]","[253.6822052001953, 137.45779418945312]","[276.7453308105469, 140.7519989013672]","[215.47047424316406, 162.9779510498047]","[224.3594512939453, 215.3685302734375]","[247.21517944335938, 234.72811889648438]","[246.15963745117188, 351.8230895996094]","[316.97039794921875, 252.707763671875]","[322.4015808105469, 317.1453552246094]","[233.6074676513672, 349.70184326171875]","[242.33770751953125, 385.17840576171875]","[397.6190490722656, 304.4695129394531]","[399.16729736328125, 343.36541748046875]","[393.6357421875, 392.4454040527344]","[425.00897216796875, 435.7256774902344]"
10,"[304.2019958496094, 170.823974609375]","[301.54693603515625, 156.4727325439453]","[305.2090759277344, 155.62673950195312]","[250.59408569335938, 134.96400451660156]","[277.13861083984375, 139.42630004882812]","[210.27049255371094, 161.7967987060547]","[226.7005615234375, 214.5509033203125]","[237.55601501464844, 237.13087463378906]","[246.76588439941406, 352.2235107421875]","[310.6636047363281, 255.57005310058594]","[320.6112060546875, 319.0084228515625]","[228.07305908203125, 350.56036376953125]","[241.5629425048828, 386.101318359375]","[395.8777770996094, 301.8578186035156]","[400.610595703125, 340.9006652832031]","[393.20068359375, 390.5047302246094]","[424.3677978515625, 435.06866455078125]"
