Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
25,"[405.8056945800781, 141.9794464111328]","[405.69598388671875, 127.5400390625]","[394.2032165527344, 127.39520263671875]","[378.8450622558594, 121.41511535644531]","[353.3077087402344, 127.17160034179688]","[351.6871032714844, 180.94894409179688]","[332.1662292480469, 202.10194396972656]","[370.92913818359375, 282.345947265625]","[360.6532287597656, 320.6001892089844]","[445.23651123046875, 254.0921173095703]","[427.3432922363281, 260.7779541015625]","[396.5159912109375, 344.8451843261719]","[384.649658203125, 367.8057861328125]","[555.6984252929688, 326.7994079589844]","[551.3111572265625, 347.90411376953125]","[544.9990234375, 476.4679260253906]","[562.8974609375, 500.2118225097656]"
26,"[405.9192810058594, 141.86569213867188]","[405.8428649902344, 127.50334167480469]","[394.3705749511719, 127.18742370605469]","[378.9299011230469, 121.6216812133789]","[353.3462829589844, 126.9797592163086]","[351.7146911621094, 181.5146484375]","[332.017822265625, 202.1245880126953]","[371.035888671875, 283.1142883300781]","[360.4515686035156, 320.6802062988281]","[445.360107421875, 254.35198974609375]","[427.18994140625, 261.0687561035156]","[396.72857666015625, 344.8859558105469]","[384.77410888671875, 367.59100341796875]","[555.816650390625, 326.9440002441406]","[551.2633056640625, 347.5715637207031]","[544.8902587890625, 476.93389892578125]","[562.7530517578125, 500.1847229003906]"
27,"[405.8079833984375, 142.19308471679688]","[405.6968078613281, 127.92947387695312]","[394.50250244140625, 127.4378890991211]","[378.4893493652344, 121.94877624511719]","[353.684326171875, 126.89868927001953]","[351.41961669921875, 181.60858154296875]","[332.06121826171875, 201.86004638671875]","[370.5482482910156, 283.5122985839844]","[360.4429931640625, 320.5059814453125]","[444.2492370605469, 254.78219604492188]","[426.8223571777344, 260.78375244140625]","[396.8821105957031, 344.5384216308594]","[385.1766662597656, 367.0169982910156]","[555.5633544921875, 327.4239807128906]","[550.978759765625, 347.5492858886719]","[544.87646484375, 477.4852294921875]","[562.7869262695312, 500.2735290527344]"
28,"[405.55755615234375, 142.4666748046875]","[405.3962707519531, 128.1949005126953]","[394.338623046875, 127.69466400146484]","[378.0318908691406, 121.78626251220703]","[353.6213073730469, 126.72775268554688]","[350.89776611328125, 181.06805419921875]","[332.07220458984375, 201.24835205078125]","[369.6678161621094, 283.06085205078125]","[360.48095703125, 319.71295166015625]","[443.0347900390625, 254.82875061035156]","[426.503662109375, 260.9814453125]","[396.66314697265625, 344.6174011230469]","[385.26483154296875, 367.10009765625]","[555.4862060546875, 327.79827880859375]","[551.0491943359375, 348.1352233886719]","[545.086669921875, 476.7411804199219]","[562.8352661132812, 500.01361083984375]"
29,"[405.9618835449219, 141.90460205078125]","[405.97479248046875, 127.4697036743164]","[394.1990051269531, 127.15164184570312]","[379.68402099609375, 121.58070373535156]","[352.93670654296875, 126.88097381591797]","[352.9847717285156, 181.84584045410156]","[331.57403564453125, 202.91571044921875]","[372.04388427734375, 285.0592346191406]","[360.55865478515625, 323.61328125]","[444.26654052734375, 255.5753631591797]","[425.9292297363281, 260.3433532714844]","[397.9338684082031, 345.47259521484375]","[384.89385986328125, 368.260009765625]","[556.2652587890625, 328.1950378417969]","[551.0767822265625, 348.5844421386719]","[544.320556640625, 478.4995422363281]","[562.65380859375, 501.0623779296875]"
30,"[405.8500671386719, 141.8789520263672]","[405.8977966308594, 127.49212646484375]","[394.1415100097656, 127.12328338623047]","[379.74755859375, 121.67601776123047]","[352.8586730957031, 126.79283142089844]","[353.2747497558594, 181.8234100341797]","[331.2745056152344, 203.00808715820312]","[373.073974609375, 284.2425537109375]","[360.5350341796875, 323.31451416015625]","[444.884765625, 255.6997833251953]","[426.1146545410156, 260.744140625]","[398.55157470703125, 345.198486328125]","[385.1681213378906, 368.08612060546875]","[556.6146240234375, 328.37542724609375]","[551.0548095703125, 349.0918884277344]","[544.7608032226562, 478.2711181640625]","[563.0918579101562, 501.31585693359375]"
31,"[405.6024169921875, 141.80419921875]","[406.128662109375, 127.62117004394531]","[393.6820983886719, 126.9990234375]","[381.48236083984375, 122.35970306396484]","[352.5445861816406, 126.78536987304688]","[355.3082275390625, 182.84121704101562]","[331.5594482421875, 203.06626892089844]","[374.9923095703125, 283.5782470703125]","[361.307861328125, 321.8408203125]","[445.83489990234375, 254.8176727294922]","[426.6700744628906, 260.4871520996094]","[400.7512512207031, 344.6588134765625]","[386.1788024902344, 367.1361999511719]","[558.6648559570312, 329.2584228515625]","[552.0613403320312, 349.4710388183594]","[545.6105346679688, 477.4278259277344]","[563.97802734375, 500.2813415527344]"
32,"[405.809814453125, 141.89865112304688]","[406.1507263183594, 127.6554183959961]","[393.95379638671875, 127.07604217529297]","[381.0352478027344, 122.42024230957031]","[352.4212646484375, 126.86750793457031]","[354.5049133300781, 183.251953125]","[331.13336181640625, 203.5447235107422]","[374.5449523925781, 283.62860107421875]","[361.40289306640625, 321.9508056640625]","[444.3914794921875, 255.00352478027344]","[426.0953369140625, 261.5884094238281]","[399.9526062011719, 345.1948547363281]","[385.641845703125, 367.78179931640625]","[557.9243774414062, 328.19329833984375]","[551.4744873046875, 348.98895263671875]","[545.772216796875, 476.0847473144531]","[563.8037109375, 499.9117126464844]"
33,"[405.48834228515625, 142.155029296875]","[406.3363952636719, 128.1642608642578]","[393.51470947265625, 127.11054229736328]","[382.0751037597656, 123.25753784179688]","[351.3359375, 126.51210021972656]","[355.0329895019531, 184.2315216064453]","[329.9410400390625, 203.19232177734375]","[375.216064453125, 285.2415466308594]","[361.3019714355469, 321.6316223144531]","[445.4660339355469, 256.2015380859375]","[427.1507263183594, 260.1065368652344]","[400.9640197753906, 345.43701171875]","[385.4357604980469, 367.5753479003906]","[559.1795654296875, 328.7913513183594]","[551.332763671875, 348.989501953125]","[545.9930419921875, 477.0187683105469]","[564.5502319335938, 500.4921569824219]"
34,"[404.9912109375, 141.4398651123047]","[405.8786315917969, 127.43177795410156]","[392.7718811035156, 126.49654388427734]","[381.9859924316406, 122.44134521484375]","[350.4932556152344, 126.01271057128906]","[354.6869201660156, 183.4390106201172]","[329.70611572265625, 201.6093292236328]","[374.0118103027344, 284.03118896484375]","[361.0867004394531, 318.6048889160156]","[444.8617858886719, 255.80032348632812]","[427.7677001953125, 260.8872375488281]","[399.88214111328125, 344.4738464355469]","[384.2820129394531, 366.3098449707031]","[558.9451904296875, 329.4029541015625]","[551.3843994140625, 349.2292785644531]","[546.0943603515625, 476.9554138183594]","[564.2100830078125, 500.098388671875]"
